dataset,method,RMSD¡Ü 2 ? ,PB-Valid,RMSD ¡Ü 2 ? & PB-Valid
DockGen,AutoDock_Vina,43.91534392,88.35978836,40.74074074
DockGen,glideSP,41.7989418,94.17989418,40.21164021
DockGen,DiffBindFR_MDN,30.68783069,47.08994709,18.51851852
DockGen,DiffBindFR_Smina,35.97883598,45.5026455,23.28042328
DockGen,DynamicBind,4.232804233,11.11111111,0
DockGen,DynamicBind_Relaxed,4.232804233,17.98941799,1.058201058
DockGen,SurfDock,75.66137566,40.21164021,33.33333333
DockGen,GAABind,37.03703704,6.349206349,2.645502646
DockGen,Interformer_Energy,46.56084656,69.84126984,34.39153439
DockGen,Interformer_PoseScore,42.85714286,70.37037037,29.62962963
DockGen,KarmaDock,7.407407407,0,0
DockGen,KarmaDock_aligned,4.232804233,6.878306878,1.587301587
DockGen,KarmaDock_FF,5.82010582,1.587301587,0.529100529
DockGen,QuickBind,3.703703704,0,0
