method,success_rate
crystal,1.0
AutoDock_Vina,0.4576271186440678
glideSP,0.4858757062146893
DiffBindFR_MDN,0.24858757062146894
DiffBindFR_Smina,0.2768361581920904
DynamicBind,0.03954802259887006
DynamicBind_Relaxed,0.03389830508474576
SurfDock,0.480225988700565
GAABind,0.2768361581920904
Interformer_Energy,0.3389830508474576
Interformer_PoseScore,0.3559322033898305
KarmaDock,0.03954802259887006
KarmaDock_aligned,0.03389830508474576
KarmaDock_FF,0.05084745762711865
QuickBind,0.005649717514124294
