method,interaction recovery (thresholds 0.1),interaction recovery (thresholds 0.2),interaction recovery (thresholds 0.3),interaction recovery (thresholds 0.4),interaction recovery (thresholds 0.5),interaction recovery (thresholds 0.6),interaction recovery (thresholds 0.7),interaction recovery (thresholds 0.8),interaction recovery (thresholds 0.9),interaction recovery (thresholds 1.0)
crystal,1,1,1,1,1,1,1,1,1,1
AutoDock_Vina,0.829268293,0.829268293,0.780487805,0.743902439,0.731707317,0.62195122,0.536585366,0.390243902,0.256097561,0.243902439
glideSP,0.93902439,0.926829268,0.890243902,0.841463415,0.829268293,0.756097561,0.646341463,0.524390244,0.402439024,0.341463415
DiffBindFR_MDN,0.914634146,0.902439024,0.829268293,0.768292683,0.731707317,0.646341463,0.609756098,0.5,0.390243902,0.353658537
DiffBindFR_Smina,0.890243902,0.853658537,0.829268293,0.792682927,0.768292683,0.682926829,0.573170732,0.524390244,0.37804878,0.353658537
DynamicBind,0.62195122,0.585365854,0.573170732,0.548780488,0.524390244,0.426829268,0.329268293,0.243902439,0.12195122,0.12195122
DynamicBind_Relaxed,0.634146341,0.609756098,0.585365854,0.548780488,0.536585366,0.43902439,0.353658537,0.280487805,0.158536585,0.146341463
SurfDock,0.963414634,0.951219512,0.93902439,0.93902439,0.926829268,0.792682927,0.707317073,0.573170732,0.426829268,0.37804878
GAABind,0.841463415,0.792682927,0.768292683,0.695121951,0.609756098,0.414634146,0.341463415,0.219512195,0.158536585,0.158536585
Interformer_Energy,0.951219512,0.951219512,0.865853659,0.817073171,0.804878049,0.682926829,0.585365854,0.487804878,0.353658537,0.329268293
Interformer_PoseScore,0.902439024,0.865853659,0.792682927,0.743902439,0.719512195,0.609756098,0.475609756,0.37804878,0.292682927,0.280487805
KarmaDock,0.890243902,0.853658537,0.743902439,0.634146341,0.548780488,0.353658537,0.243902439,0.146341463,0.12195122,0.12195122
KarmaDock_aligned,0.829268293,0.780487805,0.62195122,0.573170732,0.524390244,0.402439024,0.256097561,0.182926829,0.170731707,0.158536585
KarmaDock_FF,0.902439024,0.87804878,0.780487805,0.682926829,0.634146341,0.43902439,0.292682927,0.195121951,0.146341463,0.146341463
QuickBind,0.731707317,0.682926829,0.62195122,0.536585366,0.524390244,0.37804878,0.256097561,0.170731707,0.158536585,0.158536585
