method,success_rate
crystal,1.0
AutoDock_Vina,0.24390243902439024
glideSP,0.34146341463414637
DiffBindFR_MDN,0.35365853658536583
DiffBindFR_Smina,0.35365853658536583
DynamicBind,0.12195121951219512
DynamicBind_Relaxed,0.14634146341463414
SurfDock,0.3780487804878049
GAABind,0.15853658536585366
Interformer_Energy,0.32926829268292684
Interformer_PoseScore,0.2804878048780488
KarmaDock,0.12195121951219512
KarmaDock_aligned,0.15853658536585366
KarmaDock_FF,0.14634146341463414
QuickBind,0.15853658536585366
