dataset,method,RMSD_within_2Å,PB_Valid,RMSD_within_2Å_and_PB_Valid,similarity,data_number
DockGen,AutoDock_Vina,16.666666666666664,50.0,16.666666666666664,0.5,6
DockGen,AutoDock_Vina,27.77777777777778,77.77777777777779,27.77777777777778,0.6,18
DockGen,AutoDock_Vina,45.714285714285715,82.85714285714286,45.714285714285715,0.7,35
DockGen,AutoDock_Vina,42.22222222222222,84.44444444444444,42.22222222222222,0.8,45
DockGen,AutoDock_Vina,43.93939393939394,84.84848484848484,42.42424242424242,0.9,66
DockGen,glideSP,16.666666666666664,50.0,16.666666666666664,0.5,6
DockGen,glideSP,27.77777777777778,77.77777777777779,27.77777777777778,0.6,18
DockGen,glideSP,40.0,88.57142857142857,40.0,0.7,35
DockGen,glideSP,37.77777777777778,84.44444444444444,31.11111111111111,0.8,45
DockGen,glideSP,33.33333333333333,87.87878787878788,28.78787878787879,0.9,66
DockGen,DiffBindFR_mdn_ec,66.66666666666666,66.66666666666666,50.0,0.5,6
DockGen,DiffBindFR_mdn_ec,33.33333333333333,55.55555555555556,27.77777777777778,0.6,18
DockGen,DiffBindFR_mdn_ec,37.142857142857146,54.285714285714285,28.57142857142857,0.7,35
DockGen,DiffBindFR_mdn_ec,37.77777777777778,51.11111111111111,24.444444444444443,0.8,45
DockGen,DiffBindFR_mdn_ec,31.818181818181817,48.484848484848484,21.21212121212121,0.9,66
DockGen,DiffBindFR_smina_ec,16.666666666666664,33.33333333333333,16.666666666666664,0.5,6
DockGen,DiffBindFR_smina_ec,5.555555555555555,38.88888888888889,5.555555555555555,0.6,18
DockGen,DiffBindFR_smina_ec,34.285714285714285,54.285714285714285,28.57142857142857,0.7,35
DockGen,DiffBindFR_smina_ec,33.33333333333333,53.333333333333336,26.666666666666668,0.8,45
DockGen,DiffBindFR_smina_ec,36.36363636363637,50.0,25.757575757575758,0.9,66
DockGen,DynamicBind,0.0,16.666666666666664,0.0,0.5,6
DockGen,DynamicBind,5.555555555555555,5.555555555555555,0.0,0.6,18
