dataset,method,RMSD_within_2Å,PB_Valid,RMSD_within_2Å_and_PB_Valid,similarity,data_number
DockGen,AutoDock_Vina,33.33333333333333,100.0,33.33333333333333,0.5,9
DockGen,AutoDock_Vina,27.27272727272727,78.78787878787878,21.21212121212121,0.6,33
DockGen,AutoDock_Vina,23.943661971830984,85.91549295774648,21.12676056338028,0.7,71
DockGen,AutoDock_Vina,39.39393939393939,86.66666666666667,35.75757575757576,0.8,165
DockGen,AutoDock_Vina,41.01123595505618,87.64044943820225,37.640449438202246,0.9,178
DockGen,glideSP,22.22222222222222,100.0,22.22222222222222,0.5,9
DockGen,glideSP,33.33333333333333,87.87878787878788,33.33333333333333,0.6,33
DockGen,glideSP,29.577464788732392,92.95774647887323,29.577464788732392,0.7,71
DockGen,glideSP,36.96969696969697,93.33333333333333,35.15151515151515,0.8,165
DockGen,glideSP,38.764044943820224,93.82022471910112,37.07865168539326,0.9,178
DockGen,DiffBindFR_mdn_ec,22.22222222222222,66.66666666666666,22.22222222222222,0.5,9
DockGen,DiffBindFR_mdn_ec,30.303030303030305,57.57575757575758,21.21212121212121,0.6,33
DockGen,DiffBindFR_mdn_ec,28.169014084507044,47.88732394366197,18.30985915492958,0.7,71
DockGen,DiffBindFR_mdn_ec,27.878787878787882,45.45454545454545,16.969696969696972,0.8,165
DockGen,DiffBindFR_mdn_ec,28.651685393258425,45.50561797752809,16.853932584269664,0.9,178
DockGen,DiffBindFR_smina_ec,22.22222222222222,77.77777777777779,22.22222222222222,0.5,9
DockGen,DiffBindFR_smina_ec,30.303030303030305,54.54545454545454,21.21212121212121,0.6,33
DockGen,DiffBindFR_smina_ec,23.943661971830984,45.07042253521127,14.084507042253522,0.7,71
DockGen,DiffBindFR_smina_ec,32.72727272727273,42.42424242424242,20.0,0.8,165
DockGen,DiffBindFR_smina_ec,34.26966292134831,43.258426966292134,21.34831460674157,0.9,178
DockGen,DynamicBind,0.0,22.22222222222222,0.0,0.5,9
DockGen,DynamicBind,3.0303030303030303,9.090909090909092,0.0,0.6,33
DockGen,DynamicBind,1.4084507042253522,9.859154929577464,0.0,0.7,71
DockGen,DynamicBind,2.4242424242424243,6.0606060606060606,0.0,0.8,165
DockGen,DynamicBind,2.247191011235955,5.617977528089887,0.0,0.9,178
