dataset,method,RMSD_within_2Å,PB_Valid,RMSD_within_2Å_and_PB_Valid,similarity,data_number
DockGen,AutoDock_Vina,40.0,89.28571428571429,36.42857142857142,0.1,140
DockGen,AutoDock_Vina,39.71631205673759,89.36170212765957,36.17021276595745,0.2,141
DockGen,AutoDock_Vina,40.816326530612244,89.1156462585034,37.41496598639456,0.3,147
DockGen,AutoDock_Vina,40.54054054054054,89.1891891891892,37.16216216216216,0.4,148
DockGen,AutoDock_Vina,40.78947368421053,88.81578947368422,37.5,0.5,152
DockGen,AutoDock_Vina,40.50632911392405,87.34177215189874,36.708860759493675,0.6,158
DockGen,AutoDock_Vina,40.50632911392405,87.34177215189874,36.708860759493675,0.7,158
DockGen,AutoDock_Vina,40.0,89.28571428571429,36.42857142857142,0.8,140
DockGen,AutoDock_Vina,41.21212121212121,87.87878787878788,37.57575757575757,0.9,165
DockGen,glideSP,37.142857142857146,95.71428571428572,37.142857142857146,0.1,140
DockGen,glideSP,37.5886524822695,95.74468085106383,37.5886524822695,0.2,141
DockGen,glideSP,38.775510204081634,95.23809523809523,38.775510204081634,0.3,147
DockGen,glideSP,39.189189189189186,95.27027027027027,39.189189189189186,0.4,148
DockGen,glideSP,40.78947368421053,95.39473684210526,40.78947368421053,0.5,152
DockGen,glideSP,40.50632911392405,95.56962025316456,40.50632911392405,0.6,158
DockGen,glideSP,40.50632911392405,95.56962025316456,40.50632911392405,0.7,158
DockGen,glideSP,37.142857142857146,95.71428571428572,37.142857142857146,0.8,140
DockGen,glideSP,41.21212121212121,94.54545454545455,40.0,0.9,165
DockGen,DiffBindFR_mdn_ec,26.42857142857143,44.285714285714285,15.714285714285714,0.1,140
DockGen,DiffBindFR_mdn_ec,26.24113475177305,43.97163120567376,15.602836879432624,0.2,141
DockGen,DiffBindFR_mdn_ec,25.850340136054424,43.53741496598639,14.965986394557824,0.3,147
DockGen,DiffBindFR_mdn_ec,26.351351351351347,43.91891891891892,15.54054054054054,0.4,148
DockGen,DiffBindFR_mdn_ec,26.31578947368421,43.42105263157895,15.789473684210526,0.5,152
DockGen,DiffBindFR_mdn_ec,27.21518987341772,42.405063291139236,15.822784810126583,0.6,158
DockGen,DiffBindFR_mdn_ec,27.21518987341772,42.405063291139236,15.822784810126583,0.7,158
DockGen,DiffBindFR_mdn_ec,26.42857142857143,44.285714285714285,15.714285714285714,0.8,140
DockGen,DiffBindFR_mdn_ec,29.09090909090909,43.03030303030303,16.969696969696972,0.9,165
DockGen,DiffBindFR_smina_ec,30.714285714285715,41.42857142857143,18.571428571428573,0.1,140
DockGen,DiffBindFR_smina_ec,30.49645390070922,41.13475177304964,18.439716312056735,0.2,141
DockGen,DiffBindFR_smina_ec,31.97278911564626,40.816326530612244,19.047619047619047,0.3,147
DockGen,DiffBindFR_smina_ec,31.756756756756754,40.54054054054054,18.91891891891892,0.4,148
DockGen,DiffBindFR_smina_ec,32.89473684210527,41.44736842105263,19.736842105263158,0.5,152
DockGen,DiffBindFR_smina_ec,32.91139240506329,41.77215189873418,20.253164556962027,0.6,158
DockGen,DiffBindFR_smina_ec,32.91139240506329,41.77215189873418,20.253164556962027,0.7,158
DockGen,DiffBindFR_smina_ec,30.714285714285715,41.42857142857143,18.571428571428573,0.8,140
DockGen,DiffBindFR_smina_ec,33.939393939393945,41.81818181818181,20.606060606060606,0.9,165
DockGen,DynamicBind,2.857142857142857,5.714285714285714,0.0,0.1,140
DockGen,DynamicBind,2.8368794326241136,5.673758865248227,0.0,0.2,141
DockGen,DynamicBind,2.7210884353741496,5.442176870748299,0.0,0.3,147
DockGen,DynamicBind,2.7027027027027026,5.405405405405405,0.0,0.4,148
DockGen,DynamicBind,2.631578947368421,5.263157894736842,0.0,0.5,152
DockGen,DynamicBind,2.5316455696202533,5.69620253164557,0.0,0.6,158
DockGen,DynamicBind,2.5316455696202533,5.69620253164557,0.0,0.7,158
DockGen,DynamicBind,2.857142857142857,5.714285714285714,0.0,0.8,140
DockGen,DynamicBind,2.4242424242424243,6.666666666666667,0.0,0.9,165
DockGen,DynamicBind_relaxed,2.857142857142857,7.857142857142857,0.7142857142857143,0.1,140
DockGen,DynamicBind_relaxed,2.8368794326241136,7.801418439716312,0.7092198581560284,0.2,141
DockGen,DynamicBind_relaxed,2.7210884353741496,7.482993197278912,0.6802721088435374,0.3,147
DockGen,DynamicBind_relaxed,2.7027027027027026,8.108108108108109,0.6756756756756757,0.4,148
DockGen,DynamicBind_relaxed,2.631578947368421,7.894736842105263,0.6578947368421052,0.5,152
DockGen,DynamicBind_relaxed,2.5316455696202533,9.49367088607595,0.6329113924050633,0.6,158
DockGen,DynamicBind_relaxed,2.5316455696202533,9.49367088607595,0.6329113924050633,0.7,158
DockGen,DynamicBind_relaxed,2.857142857142857,7.857142857142857,0.7142857142857143,0.8,140
DockGen,DynamicBind_relaxed,2.4242424242424243,10.303030303030303,0.6060606060606061,0.9,165
DockGen,SurfDock,71.42857142857143,41.42857142857143,34.285714285714285,0.1,140
DockGen,SurfDock,71.63120567375887,41.13475177304964,34.04255319148936,0.2,141
DockGen,SurfDock,71.42857142857143,41.49659863945578,34.01360544217687,0.3,147
DockGen,SurfDock,71.62162162162163,41.891891891891895,34.45945945945946,0.4,148
DockGen,SurfDock,72.36842105263158,42.76315789473684,35.526315789473685,0.5,152
DockGen,SurfDock,72.78481012658227,43.67088607594937,36.708860759493675,0.6,158
DockGen,SurfDock,72.78481012658227,43.67088607594937,36.708860759493675,0.7,158
DockGen,SurfDock,71.42857142857143,41.42857142857143,34.285714285714285,0.8,140
DockGen,SurfDock,73.33333333333333,43.63636363636363,36.36363636363637,0.9,165
DockGen,GAABind,31.428571428571427,5.714285714285714,2.857142857142857,0.1,140
DockGen,GAABind,31.20567375886525,5.673758865248227,2.8368794326241136,0.2,141
DockGen,GAABind,31.97278911564626,6.122448979591836,3.4013605442176873,0.3,147
DockGen,GAABind,31.756756756756754,6.081081081081082,3.3783783783783785,0.4,148
DockGen,GAABind,33.55263157894737,5.921052631578947,3.289473684210526,0.5,152
DockGen,GAABind,32.278481012658226,6.329113924050633,3.1645569620253164,0.6,158
DockGen,GAABind,32.278481012658226,6.329113924050633,3.1645569620253164,0.7,158
DockGen,GAABind,31.428571428571427,5.714285714285714,2.857142857142857,0.8,140
DockGen,GAABind,33.939393939393945,6.0606060606060606,3.0303030303030303,0.9,165
DockGen,Interformer_Energy,42.857142857142854,72.85714285714285,32.857142857142854,0.1,140
DockGen,Interformer_Energy,42.5531914893617,73.04964539007092,32.62411347517731,0.2,141
DockGen,Interformer_Energy,42.17687074829932,72.10884353741497,31.97278911564626,0.3,147
DockGen,Interformer_Energy,41.891891891891895,72.2972972972973,31.756756756756754,0.4,148
DockGen,Interformer_Energy,42.76315789473684,72.36842105263158,32.89473684210527,0.5,152
DockGen,Interformer_Energy,43.037974683544306,73.41772151898735,33.54430379746836,0.6,158
DockGen,Interformer_Energy,43.037974683544306,73.41772151898735,33.54430379746836,0.7,158
DockGen,Interformer_Energy,42.857142857142854,72.85714285714285,32.857142857142854,0.8,140
DockGen,Interformer_Energy,43.03030303030303,72.72727272727273,33.33333333333333,0.9,165
DockGen,Interformer_PoseScore,42.142857142857146,72.14285714285714,29.28571428571429,0.1,140
DockGen,Interformer_PoseScore,41.843971631205676,72.3404255319149,29.078014184397162,0.2,141
DockGen,Interformer_PoseScore,40.816326530612244,72.78911564625851,28.57142857142857,0.3,147
DockGen,Interformer_PoseScore,41.21621621621622,72.97297297297297,29.054054054054053,0.4,148
DockGen,Interformer_PoseScore,41.44736842105263,73.02631578947368,29.605263157894733,0.5,152
DockGen,Interformer_PoseScore,41.77215189873418,74.0506329113924,30.37974683544304,0.6,158
DockGen,Interformer_PoseScore,41.77215189873418,74.0506329113924,30.37974683544304,0.7,158
DockGen,Interformer_PoseScore,42.142857142857146,72.14285714285714,29.28571428571429,0.8,140
DockGen,Interformer_PoseScore,41.21212121212121,73.33333333333333,30.303030303030305,0.9,165
DockGen,KarmaDock,7.142857142857142,0.0,0.0,0.1,140
DockGen,KarmaDock,7.092198581560284,0.0,0.0,0.2,141
DockGen,KarmaDock,6.802721088435375,0.0,0.0,0.3,147
DockGen,KarmaDock,6.756756756756757,0.0,0.0,0.4,148
DockGen,KarmaDock,6.578947368421052,0.0,0.0,0.5,152
DockGen,KarmaDock,6.329113924050633,0.0,0.0,0.6,158
DockGen,KarmaDock,6.329113924050633,0.0,0.0,0.7,158
DockGen,KarmaDock,7.142857142857142,0.0,0.0,0.8,140
DockGen,KarmaDock,7.2727272727272725,0.0,0.0,0.9,165
DockGen,KarmaDock_align,2.857142857142857,6.428571428571428,1.4285714285714286,0.1,140
DockGen,KarmaDock_align,2.8368794326241136,6.382978723404255,1.4184397163120568,0.2,141
DockGen,KarmaDock_align,2.7210884353741496,6.122448979591836,1.3605442176870748,0.3,147
DockGen,KarmaDock_align,2.7027027027027026,6.081081081081082,1.3513513513513513,0.4,148
DockGen,KarmaDock_align,2.631578947368421,5.921052631578947,1.3157894736842104,0.5,152
DockGen,KarmaDock_align,2.5316455696202533,5.69620253164557,1.2658227848101267,0.6,158
DockGen,KarmaDock_align,2.5316455696202533,5.69620253164557,1.2658227848101267,0.7,158
DockGen,KarmaDock_align,2.857142857142857,6.428571428571428,1.4285714285714286,0.8,140
DockGen,KarmaDock_align,3.0303030303030303,6.666666666666667,1.8181818181818181,0.9,165
DockGen,KarmaDock_ff,5.0,1.4285714285714286,0.7142857142857143,0.1,140
DockGen,KarmaDock_ff,4.964539007092199,1.4184397163120568,0.7092198581560284,0.2,141
DockGen,KarmaDock_ff,4.761904761904762,1.3605442176870748,0.6802721088435374,0.3,147
DockGen,KarmaDock_ff,4.72972972972973,1.3513513513513513,0.6756756756756757,0.4,148
DockGen,KarmaDock_ff,4.605263157894736,1.3157894736842104,0.6578947368421052,0.5,152
DockGen,KarmaDock_ff,4.430379746835443,1.2658227848101267,0.6329113924050633,0.6,158
DockGen,KarmaDock_ff,4.430379746835443,1.2658227848101267,0.6329113924050633,0.7,158
DockGen,KarmaDock_ff,5.0,1.4285714285714286,0.7142857142857143,0.8,140
DockGen,KarmaDock_ff,4.848484848484849,1.8181818181818181,0.6060606060606061,0.9,165
DockGen,QuickBind,4.285714285714286,0.0,0.0,0.1,140
DockGen,QuickBind,4.25531914893617,0.0,0.0,0.2,141
DockGen,QuickBind,4.081632653061225,0.0,0.0,0.3,147
DockGen,QuickBind,4.054054054054054,0.0,0.0,0.4,148
DockGen,QuickBind,3.9473684210526314,0.0,0.0,0.5,152
DockGen,QuickBind,3.79746835443038,0.0,0.0,0.6,158
DockGen,QuickBind,3.79746835443038,0.0,0.0,0.7,158
DockGen,QuickBind,4.285714285714286,0.0,0.0,0.8,140
DockGen,QuickBind,3.6363636363636362,0.0,0.0,0.9,165
