dataset,method,RMSD_within_2Å,PB_Valid,RMSD_within_2Å_and_PB_Valid,similarity,data_number
astex_diverse_set,AutoDock_Vina,62.5,75.0,37.5,0.6,8
astex_diverse_set,AutoDock_Vina,62.5,81.25,43.75,0.7,16
astex_diverse_set,AutoDock_Vina,62.5,81.25,43.75,0.8,16
astex_diverse_set,AutoDock_Vina,55.00000000000001,80.0,40.0,0.9,20
astex_diverse_set,glideSP,50.0,87.5,50.0,0.6,8
astex_diverse_set,glideSP,68.75,93.75,68.75,0.7,16
astex_diverse_set,glideSP,68.75,93.75,68.75,0.8,16
astex_diverse_set,glideSP,65.0,90.0,65.0,0.9,20
astex_diverse_set,DiffBindFR_mdn_ec,37.5,87.5,37.5,0.6,8
astex_diverse_set,DiffBindFR_mdn_ec,56.25,68.75,43.75,0.7,16
astex_diverse_set,DiffBindFR_mdn_ec,56.25,68.75,43.75,0.8,16
astex_diverse_set,DiffBindFR_mdn_ec,60.0,70.0,50.0,0.9,20
astex_diverse_set,DiffBindFR_smina_ec,50.0,50.0,37.5,0.6,8
astex_diverse_set,DiffBindFR_smina_ec,68.75,56.25,50.0,0.7,16
astex_diverse_set,DiffBindFR_smina_ec,68.75,56.25,50.0,0.8,16
astex_diverse_set,DiffBindFR_smina_ec,65.0,60.0,50.0,0.9,20
astex_diverse_set,DynamicBind,12.5,0.0,0.0,0.6,8
astex_diverse_set,DynamicBind,25.0,18.75,12.5,0.7,16
astex_diverse_set,DynamicBind,25.0,18.75,12.5,0.8,16
astex_diverse_set,DynamicBind,25.0,20.0,10.0,0.9,20
astex_diverse_set,DynamicBind_relaxed,12.5,25.0,12.5,0.6,8
astex_diverse_set,DynamicBind_relaxed,25.0,25.0,12.5,0.7,16
astex_diverse_set,DynamicBind_relaxed,25.0,25.0,12.5,0.8,16
astex_diverse_set,DynamicBind_relaxed,25.0,25.0,10.0,0.9,20
astex_diverse_set,SurfDock,62.5,37.5,37.5,0.6,8
astex_diverse_set,SurfDock,75.0,56.25,50.0,0.7,16
astex_diverse_set,SurfDock,75.0,56.25,50.0,0.8,16
astex_diverse_set,SurfDock,80.0,60.0,55.00000000000001,0.9,20
astex_diverse_set,GAABind,75.0,12.5,12.5,0.6,8
astex_diverse_set,GAABind,75.0,12.5,12.5,0.7,16
astex_diverse_set,GAABind,75.0,12.5,12.5,0.8,16
astex_diverse_set,GAABind,70.0,10.0,10.0,0.9,20
astex_diverse_set,Interformer_Energy,75.0,75.0,62.5,0.6,8
astex_diverse_set,Interformer_Energy,75.0,62.5,56.25,0.7,16
astex_diverse_set,Interformer_Energy,75.0,62.5,56.25,0.8,16
astex_diverse_set,Interformer_Energy,75.0,65.0,60.0,0.9,20
astex_diverse_set,Interformer_PoseScore,75.0,75.0,50.0,0.6,8
astex_diverse_set,Interformer_PoseScore,75.0,62.5,50.0,0.7,16
astex_diverse_set,Interformer_PoseScore,75.0,62.5,50.0,0.8,16
astex_diverse_set,Interformer_PoseScore,70.0,65.0,50.0,0.9,20
astex_diverse_set,KarmaDock,37.5,0.0,0.0,0.6,8
astex_diverse_set,KarmaDock,50.0,0.0,0.0,0.7,16
astex_diverse_set,KarmaDock,50.0,0.0,0.0,0.8,16
astex_diverse_set,KarmaDock,55.00000000000001,0.0,0.0,0.9,20
astex_diverse_set,KarmaDock_align,25.0,0.0,0.0,0.6,8
astex_diverse_set,KarmaDock_align,37.5,6.25,0.0,0.7,16
astex_diverse_set,KarmaDock_align,37.5,6.25,0.0,0.8,16
astex_diverse_set,KarmaDock_align,40.0,15.0,5.0,0.9,20
astex_diverse_set,KarmaDock_ff,37.5,0.0,0.0,0.6,8
astex_diverse_set,KarmaDock_ff,56.25,0.0,0.0,0.7,16
astex_diverse_set,KarmaDock_ff,56.25,0.0,0.0,0.8,16
astex_diverse_set,KarmaDock_ff,60.0,0.0,0.0,0.9,20
astex_diverse_set,QuickBind,25.0,0.0,0.0,0.6,8
astex_diverse_set,QuickBind,25.0,0.0,0.0,0.7,16
astex_diverse_set,QuickBind,25.0,0.0,0.0,0.8,16
astex_diverse_set,QuickBind,30.0,0.0,0.0,0.9,20
