,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,8.790675,8.911,8.204995,8.2785,0.58568,0.512175,0,4.769230769,6.2,3.5,0.70803125,0.077319021,0.138199495
1,UPA,7.4693,7.674,7.168721477,7.21,0.300578523,0.2593,0,2.369230769,3.696,3.477419355,0.587007131,0.059711601,0.105722796
2,CDK2,8.849475,9.0825,8.554206839,8.702,0.295268161,0.147475,0,0,0,0.499596774,0.58456005,0.037256057,0.005548995
3,PIM-2,9.11055,9.1115,8.538075063,8.576,0.572474937,0.53455,0,2.382692308,1.239,1.498790323,0.633183903,0.04755794,0.058261851
4,A2A,8.9029,9.0645,8.79924374,8.8895,0.10365626,0.0134,0,0,1.238,0.998387097,0.521233306,0.033543733,0.018983682
5,CTSK,7.261725,7.235,6.935506678,6.976,0.326218322,0.285725,4.421428571,7.142307692,6.19,2.99516129,0.622652337,0.064257652,0.164927689
6,TPA,8.69415,8.7205,7.924477824,7.992,0.769672176,0.70215,4.410714286,2.375,1.235,1.991935484,0.726401674,0.063887724,0.064182696
7,JAK3,9.593275,9.5755,8.8221625,8.9185,0.7711125,0.674775,8.857142857,7.153846154,6.2,4,0.686927083,0.086705299,0.20329886
8,VEGFR2,8.363875,8.3765,8.110105088,8.096,0.253769912,0.267875,0,0,0,0.499596774,0.587520851,0.041553555,0.003593192
9,PDE5,9.29405,9.1855,9.124042571,9.1425,0.170007429,0.15155,0,0,1.238,1.497580645,0.533002922,0.033738473,0.028621714
10,PPARG,9.453775,9.44,8.869339733,9.0255,0.584435267,0.428275,4.421428571,2.380769231,1.238,2.495967742,0.605592654,0.049791142,0.084558925
11,ADRB2,9.649425,9.7465,8.738790484,8.887,0.910634516,0.762425,0,2.380769231,1.238,2.495967742,0.689085977,0.060248146,0.061384863
12,VEGFR1,9.8702,9.787,8.609544621,8.766,1.260655379,1.1042,4.425,9.530769231,7.434,4.995967742,0.710154295,0.110267604,0.241854108
13,KIF11,9.371375,9.3755,7.799923333,7.808,1.571451667,1.563375,17.71428571,19.07692308,14.88,10.5,0.9150625,0.364335401,0.511909076
14,ERBB2,10.5408,10.642,9.280589808,9.54,1.260210192,1.0008,13.25357143,7.136538462,6.185,4.987903226,0.754010025,0.151522933,0.245076991
15,CATL,7.992575,8.0175,7.767138449,7.779,0.225436551,0.213575,0,0,0,0.999193548,0.596424103,0.037263196,0.003392822
16,TP,4.961275,7.123,6.408182274,7.07,-1.446907274,-2.108725,4.414285714,2.376923077,2.472,1.49516129,0.476975334,0.033411309,0.077154481
17,SIRT2,6.997225,7.088,6.835550628,6.924,0.161674372,0.073225,0,0,2.47,2.489919355,0.540638075,0.041255679,0.062084724
18,TIE2,8.9477,8.7395,8.457119167,8.5095,0.490580833,0.4382,13.28571429,7.153846154,8.68,3.5,0.57953125,0.095316235,0.267013093
19,HDAC8,8.258025,8.3475,7.705338616,7.72,0.552686384,0.538025,0,2.382692308,2.478,2.497983871,0.693265221,0.064467247,0.064665768
20,GSK3B,8.779725,8.8605,8.381464942,8.3975,0.398260058,0.382225,4.421428571,2.380769231,1.238,1.996774194,0.60542571,0.045146406,0.06832875
21,ACE2,9.121975,9.3935,9.2130825,9.227,-0.0911075,-0.105025,0,0,0,0,0.49603125,0.031513097,0.001186631
22,AR,6.325575,8.0295,3.886777314,5.303,2.438797686,1.022575,4.425,7.148076923,11.151,7.993548387,0.752981651,0.19183838,0.318460073
23,NA,7.0968,6.993,6.937109349,6.8995,0.159690651,0.1973,0,0,1.238,0.998387097,0.571911519,0.037989247,0.016702252
24,AKT1,9.546475,9.443,9.149196831,9.213,0.397278169,0.333475,8.85,4.765384615,3.717,1.998387097,0.56734779,0.073095751,0.147250101
25,PNP,8.301625,8.3215,7.497904682,7.523,0.803720318,0.778625,0,0,2.472,0.996774194,0.789140886,0.075789119,0.052205467
26,ADAM17,9.15935,8.9525,9.19601586,9.277,-0.03666586,-0.11765,17.68571429,11.90384615,6.19,2.99516129,0.461164441,0.110646872,0.273667431
27,MDM2,7.1033,6.7155,7.64273093,7.675,-0.53943093,-0.5717,0,0,1.233,0.994354839,0.307502096,0.023945808,0.022005547
28,JNK1,9.0108,9.1,8.589914929,8.671,0.420885071,0.3398,0,0,0,0.999193548,0.633653044,0.047883658,0.010841978
29,COX2,10.279,10.5945,7.080220183,7.304,3.198779817,2.975,26.55,26.20961538,27.258,15.4875,0.928054629,0.702232304,0.828051688
30,QPCT,6.8184,6.776,7.124275833,7.106,-0.305875833,-0.2876,0,0,0,0,0.365197917,0.022794362,0.000255512
31,DHFR,8.949025,9.0345,9.090174059,9.14,-0.141149059,-0.190975,0,0,0,0.497983871,0.469696653,0.029347555,0.005444891
32,JNK2,9.49635,9.2665,8.751016708,8.815,0.745333292,0.68135,17.67142857,9.515384615,4.948,2.992741935,0.597472849,0.136123221,0.255516139
33,HMGR,7.83535,7.9775,7.976558799,7.967,-0.141208799,-0.13165,0,0,0,0,0.467066305,0.02749022,5.93E-08
34,FKBP1A,6.868,7.0065,7.247421053,7.211,-0.379421053,-0.343,0,0,0,0,0.36393066,0.02290941,8.23E-07
35,PI3KG,9.07675,9.1345,8.410903926,8.424,0.665846074,0.65275,8.835714286,4.757692308,3.711,2.493951613,0.690685046,0.080264249,0.15063187
36,BRAF,9.72135,9.4275,9.144629382,9.2455,0.576720618,0.47585,4.421428571,4.761538462,4.952,2.99516129,0.615734558,0.055165405,0.132625225
37,JNK3,9.53225,9.443,8.943532554,9.053,0.588717446,0.47925,0,2.380769231,1.238,1.497580645,0.655363105,0.050745469,0.040898535
38,GR,8.462775,8.3765,8.701978333,8.693,-0.239203333,-0.230225,0,0,0,0,0.415510417,0.025115822,0.00011566
39,PRKCQ,8.5481,8.6835,8.663217863,8.7295,-0.115117863,-0.1814,0,2.380769231,2.476,1.497580645,0.495252504,0.038505556,0.075333303
40,THROMBIN,9.173125,9.2745,8.246062867,8.247,0.927062133,0.926125,4.403571429,2.371153846,3.699,5.468951613,0.803688181,0.119999864,0.139514956
41,FXA,9.365475,9.365,8.465476549,8.4845,0.899998451,0.880975,4.407142857,2.373076923,3.702,3.980645161,0.724539363,0.081908143,0.135884165
42,MMP2,5.347575,5.3525,5.252314644,5.302,0.095260356,0.045575,0,0,1.235,0.995967742,0.548117155,0.035575159,0.017832736
43,ER-BETA,4.83885,8.18,4.837122807,6.358,0.001727193,-1.51915,17.67142857,11.89423077,11.133,5.985483871,0.686173768,0.195724037,0.361654818
44,ROCK-1,8.3151,8.404,8.17178,8.145,0.14332,0.1701,0,0,0,0.5,0.536625,0.038238451,0.00517044
45,FGFR1,8.494525,8.595,7.94501505,7.9585,0.54950995,0.536025,4.414285714,2.376923077,2.472,1.993548387,0.692318144,0.064774638,0.086013928
46,EPHB4,9.424825,9.43,8.774557131,8.824,0.650267869,0.600825,0,2.382692308,1.239,0.999193548,0.752053795,0.06245068,0.044465952
