,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,8.797425,8.748,8.161315833,8.2235,0.636109167,0.573925,0,4.769230769,4.96,4.5,0.704375,0.078982396,0.127534341
1,UPA,7.491975,7.6925,7.16635,7.219,0.325625,0.272975,0,0,2.48,4,0.600083333,0.060905529,0.069630739
2,CDK2,8.918125,9.0785,8.5037725,8.6465,0.4143525,0.271625,4.428571429,2.384615385,1.24,1,0.609083333,0.041961937,0.058714427
3,PIM-2,9.0088,9.1365,8.459391667,8.504,0.549408333,0.5048,4.428571429,4.769230769,2.48,2.5,0.636447917,0.054903183,0.094438077
4,A2A,8.86615,8.97,8.739549167,8.8365,0.126600833,0.02965,0,0,1.24,1,0.52325,0.034069523,0.026111183
5,CTSK,7.2996,7.328,6.899455,6.925,0.400145,0.3746,0,2.384615385,2.48,2.5,0.669583333,0.054540688,0.068434288
6,TPA,8.61325,8.711,7.921060884,7.986,0.692189116,0.62725,0,0,1.239,0.999193548,0.708246455,0.056215926,0.025000918
7,JAK3,9.6324,9.499,8.7701025,8.852,0.8622975,0.7804,8.857142857,7.153846154,6.2,5,0.696072917,0.100577578,0.228078873
8,VEGFR2,8.424875,8.322,8.107885833,8.116,0.316989167,0.308875,0,0,1.24,1.5,0.600958333,0.044663044,0.032947711
9,PDE5,9.417775,9.2465,9.0659075,9.074,0.3518675,0.343775,0,2.384615385,2.48,2,0.600770833,0.04250697,0.064710852
10,PPARG,9.625625,9.6175,8.822058333,8.971,0.803566667,0.654625,0,2.384615385,3.72,2,0.668270833,0.054945704,0.080691182
11,ADRB2,9.602075,9.749,8.732351667,8.8805,0.869723333,0.721575,0,2.384615385,2.48,2.5,0.681729167,0.059081354,0.076679518
12,VEGFR1,9.94985,9.9615,8.6728525,8.799,1.2769975,1.15085,17.71428571,11.92307692,7.44,5,0.714625,0.138718088,0.295902966
13,KIF11,9.2991,9.084,7.783714167,7.7945,1.515385833,1.5046,22.14285714,19.07692308,16.12,8.5,0.899885417,0.35776938,0.532538538
14,ERBB2,10.564375,10.619,9.306888333,9.587,1.257486667,0.977375,8.857142857,7.153846154,7.44,3.5,0.750125,0.146282245,0.241552054
15,CATL,8.007925,8.0025,7.713048333,7.7185,0.294876667,0.289425,0,0,0,0,0.628291667,0.040722157,0.001443766
16,TP,5.184225,7.032,6.451215833,7.05,-1.266990833,-1.865775,0,4.769230769,3.72,1.5,0.465364583,0.034436373,0.090902306
17,SIRT2,7.080275,7.106,6.808156667,6.899,0.272118333,0.181275,4.428571429,2.384615385,1.24,3,0.566083333,0.049500525,0.088705285
18,TIE2,8.887475,8.6345,8.419720833,8.4305,0.467754167,0.456975,8.857142857,7.153846154,6.2,3.5,0.5845625,0.09412143,0.218049868
19,HDAC8,8.13795,8.189,7.7212575,7.741,0.4166925,0.39695,0,2.384615385,1.24,1.5,0.645625,0.050828036,0.055585982
20,GSK3B,8.796225,8.823,8.326643036,8.352,0.469581964,0.444225,8.85,4.765384615,2.478,1.998387097,0.612771059,0.077303922,0.136698285
21,ACE2,8.969425,9.02,9.199893333,9.236,-0.230468333,-0.266575,0,0,0,0,0.452979167,0.028831213,0.000107511
22,AR,6.346225,7.782,3.968711667,5.4395,2.377513333,0.906725,4.428571429,9.538461538,8.68,8,0.7425,0.175285376,0.290919363
23,NA,7.04335,7.0525,6.93122769,6.89,0.11212231,0.15335,0,0,0,0,0.563281902,0.034281108,0.0008443
24,AKT1,9.550275,9.5665,9.073033333,9.136,0.477241667,0.414275,8.857142857,9.538461538,4.96,3,0.594572917,0.065913741,0.189510739
25,PNP,8.126125,8.1155,7.531430833,7.593,0.594694167,0.533125,0,0,0,1,0.724979167,0.054636713,0.005007439
26,ADAM17,9.101325,8.9935,9.1910025,9.258,-0.0896775,-0.156675,13.28571429,11.92307692,6.2,3,0.445958333,0.093351121,0.245131697
27,MDM2,6.9825,6.699,7.639281667,7.664,-0.656781667,-0.6815,0,0,0,1,0.254895833,0.020803411,0.007466884
28,JNK1,9.2305,9.2605,8.525118333,8.665,0.705381667,0.5655,8.857142857,4.769230769,4.96,2,0.693552083,0.072994065,0.147809471
29,COX2,10.487875,10.9495,7.102961667,7.3185,3.384913333,3.169375,31,31,29.76,16,0.940791667,0.795801369,0.907655719
30,QPCT,6.79065,6.796,7.0858575,7.064,-0.2952075,-0.27335,0,0,0,0,0.380770833,0.02336399,3.64E-05
31,DHFR,8.951475,8.997,9.074513333,9.131,-0.123038333,-0.179525,0,0,1.24,1,0.458635417,0.027809191,0.018849238
32,JNK2,9.603975,9.477,8.683013333,8.8025,0.920961667,0.801475,17.71428571,9.538461538,6.2,3.5,0.638260417,0.134064885,0.258520544
33,HMGR,8.012325,8.1295,7.946454167,7.9255,0.065870833,0.086825,0,0,0,0,0.549083333,0.033468366,0.000570811
34,FKBP1A,6.7897,6.909,7.2423825,7.179,-0.4526825,-0.3893,0,0,0,0.5,0.359197917,0.022998589,0.003023585
35,PI3KG,9.11785,9.1865,8.3407625,8.3785,0.7770875,0.73935,8.857142857,7.153846154,4.96,4,0.711833333,0.101245293,0.194878685
36,BRAF,9.714625,9.4015,9.105180833,9.187,0.609444167,0.527625,4.428571429,2.384615385,4.96,2.5,0.635385417,0.053102966,0.113456797
37,JNK3,9.788625,9.661,8.876934167,8.9855,0.911690833,0.803125,0,4.769230769,6.2,4,0.723510417,0.08615172,0.153634338
