,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,58.68367396,57.93284988,40.17326268,38.62468719,18.51041127,20.05898676,4.965811966,2.482905983,9.931623932,10.60495437,0.911592118,0.271783989,0.289446032
1,UPA,35.75936651,37.49209595,30.81173408,30.53449535,4.947632428,5.224871159,4.983333333,4.983333333,4.983333333,4.485,0.678546713,0.089826777,0.175879963
2,CDK2,46.48297086,44.8732605,28.91078408,28.32497311,17.57218678,18.15799775,24.91666667,19.93333333,19.93333333,10.465,0.909061419,0.467905771,0.650857249
3,PIM-2,34.21366379,34.16973114,26.74007503,26.76936531,7.47358876,7.444298475,13.27472527,14.29585799,12.38974359,8.632198403,0.856835779,0.252027227,0.423803944
4,A2A,29.7282618,29.44656849,26.67874709,26.99738312,3.049514711,2.730878687,13.15714286,7.084615385,6.14,3.961290323,0.734111953,0.10449115,0.217517102
5,CTSK,26.55806446,26.38612461,26.42248158,25.07733727,0.135582882,1.480727196,0,0,0,0.497983871,0.614205021,0.041174663,0.004594398
6,TPA,42.30217643,42.74101067,37.93939945,37.57381439,4.362776976,4.728362033,0,0,1.273026316,1.035682426,0.695317992,0.052130388,0.017297142
7,JAK3,56.7032691,53.96019554,32.39426841,31.27012253,24.30900069,25.43314657,19.95,22.44375,18.703125,10.9725,0.94394987,0.49293234,0.651874018
8,VEGFR2,47.9793799,48.50616837,31.84944822,31.12248421,16.12993167,16.85689569,22.34432234,24.06311637,21.27179487,12.30769231,0.908291539,0.503277401,0.682960553
9,PDE5,39.25728396,38.15572357,31.67764648,31.50288677,7.57963748,7.754397191,27.65413534,17.37246964,12.90526316,7.285229202,0.893584973,0.33104793,0.480535908
10,PPARG,43.4955091,44.36643028,40.82852789,40.42195892,2.666981212,3.073550177,0,0,1.239130435,2,0.651772727,0.067122157,0.031274893
11,ADRB2,30.2098721,30.47864723,28.8233403,28.98935699,1.386531805,1.220515108,0,2.397916667,2.397916667,1.488362069,0.605423042,0.05427374,0.077663903
12,VEGFR1,43.20349282,43.41680145,35.18124463,35.28593063,8.022248191,7.917562184,24.95614035,12.47807018,13.02059497,9.457063712,0.811315789,0.306657605,0.47365481
13,KIF11,30.31904159,30.25462151,25.4046199,25.27222061,4.914421684,5.046820974,4.317857143,4.65,7.254,7.927868852,0.902929855,0.218345633,0.244446236
14,ERBB2,66.66269684,67.00469589,43.23544054,42.69713783,23.4272563,23.96555901,29.6,29.6,27.13333333,17.76,0.989991259,0.828096508,0.896990697
15,TP,27.91712023,28.00836372,24.93627529,24.63875961,2.980844935,3.278360613,0,2.985337243,3.12749616,2.575585073,0.717848155,0.063765379,0.086306221
16,SIRT2,21.99957027,22.3534441,20.83915161,21.37147331,1.16041866,0.628096962,4.360714286,4.696153846,2.442,1.969354839,0.57627011,0.046755531,0.100053884
17,TIE2,46.71345696,47.12802505,35.16716681,34.93397141,11.54629016,11.77948556,29.975,29.975,23.73020833,10.99083333,0.788330457,0.552178999,0.788175427
18,HDAC8,30.75420232,29.84354401,31.61734151,31.27037525,-0.863139193,-0.516172934,4.407142857,2.373076923,1.234,0.99516129,0.406323283,0.02834461,0.058856621
19,GSK3B,49.49262357,48.05391884,31.70640559,30.85829735,17.78621798,18.63432622,30.15,25.51153846,21.708,13.83934426,0.920947684,0.59212053,0.741873515
20,ACE2,26.13985445,26.77048397,26.41475848,26.59980583,-0.274904023,-0.459951377,0,0,0,0.499596774,0.479983319,0.028282968,0.001674613
21,AR,36.42831121,35.87010765,30.20176456,30.43968964,6.226546653,5.988621575,16.92857143,19.34693878,13.89010989,9.169642857,0.898651845,0.402669386,0.626170533
22,NA,44.49816136,47.25532913,27.98108476,27.69850159,16.51707661,16.79965978,30.975,30.975,29.736,15.98709677,0.961196831,0.845245754,0.938713774
23,AKT1,42.18459071,42.81465149,33.05308131,31.36583138,9.131509392,10.81875933,0,0,0,2.525641026,0.866186598,0.131028406,0.017244811
24,PNP,48.68178606,50.45121574,33.36629346,33.59990311,15.3154926,15.08188295,30.825,28.45384615,17.262,10.93790323,0.874748533,0.486541211,0.691388517
25,ADAM17,36.75941744,35.79431725,35.41099094,35.67210388,1.348426496,1.087313557,13.17857143,9.461538462,7.38,3.967741935,0.534789916,0.131146682,0.289617503
26,MDM2,29.39483318,29.82062721,24.73701563,24.5486784,4.657817551,4.846154785,4.991666667,4.991666667,6.239583333,7.986666667,0.882426598,0.187970324,0.225434018
27,JNK1,50.02974385,47.1762085,35.13099239,34.67687225,14.89875145,15.35287159,26.25,21,15.75,9.45,0.842286908,0.386418737,0.579152917
28,COX2,37.20964571,38.73088837,32.07644927,32.11588287,5.133196439,5.093762836,9.243243243,7.702702703,8.986486486,8.598365808,0.809687438,0.276721298,0.404075017
29,QPCT,24.34867725,23.98614979,19.5235491,19.20553398,4.825128156,5.143143272,4.421428571,4.761538462,4.952,6.988709677,0.916611018,0.203530968,0.209203577
30,DHFR,34.16120758,35.13391304,28.30698019,28.16990566,5.854227386,5.991301918,13.11428571,11.76923077,12.24,9.377419355,0.819003378,0.262419457,0.432790998
31,JNK2,40.46509841,37.34601974,36.74468242,37.71012115,3.720415981,2.754977251,25.02136752,17.51495726,10.00854701,4.071273359,0.520023557,0.20878908,0.426942074
