,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,8.106526667,8.12548,7.462029555,7.54861,0.644497112,0.557916667,0,4.965811966,4.965811966,3.029986962,0.672671644,0.077549094,0.135696051
1,UPA,7.52618325,7.5709,6.824219377,6.81799,0.701963873,0.70819325,9.966666667,12.45833333,8.720833333,6.976666667,0.675562284,0.164849214,0.31423609
2,CDK2,9.0348225,9.06693,8.396953746,8.43955,0.637868754,0.5952725,9.966666667,7.475,3.7375,2.99,0.646388408,0.079652698,0.178269313
3,PIM-2,9.483841026,9.34085,8.811826108,8.8314,0.672014918,0.652441026,0,4.765285996,3.716923077,2.538881883,0.645313768,0.058490932,0.107945972
4,A2A,8.6641425,8.73556,8.507209672,8.54946,0.156932828,0.1146825,0,0,1.228,1.485483871,0.545054714,0.038000029,0.027771896
5,CTSK,6.6833395,6.655885,6.38597354,6.36516,0.29736596,0.3181795,0,0,1.235,1.991935484,0.657981172,0.049349003,0.042689909
6,TPA,8.658427895,8.700375,7.949947631,7.94029,0.708480263,0.718137895,0,0,0,1.035682426,0.721141679,0.057190635,0.005784797
7,JAK3,9.69690425,9.55972,8.740241538,8.80652,0.956662712,0.89038425,19.95,17.45625,11.221875,4.9875,0.691194901,0.221851552,0.421499495
8,VEGFR2,8.771338462,8.63013,8.419022608,8.3766,0.352315854,0.394738462,0,4.812623274,3.753846154,2.051282051,0.60971797,0.051309064,0.099145977
9,PDE5,9.066536842,9.0212,8.659234604,8.66988,0.407302238,0.396656842,0,0,1.290526316,1.561120543,0.620902002,0.04421962,0.044860536
10,PPARG,8.650495,8.574325,8.287762955,8.34269,0.362732045,0.307805,0,2.375,3.717391304,1.5,0.574704545,0.047733136,0.092275304
11,ADRB2,9.14605625,9.013075,8.556571296,8.57559,0.589484954,0.57046625,4.795833333,2.397916667,2.397916667,1.984482759,0.669576958,0.063095987,0.116352826
12,VEGFR1,9.879496053,10.2002,8.455334664,8.732215,1.424161389,1.147281053,14.97368421,12.47807018,11.71853547,6.83010157,0.709952153,0.17340667,0.363942607
13,KIF11,9.61111625,9.42246,7.536443225,7.49347,2.074673025,2.11764625,30.225,25.575,18.135,10.40532787,0.935650128,0.499234856,0.65184557
14,ERBB2,10.1860175,10.426055,8.69721597,8.87685,1.48880153,1.3091675,4.933333333,7.4,7.4,7.4,0.778277972,0.182616327,0.274091656
15,TP,7.801149032,7.66056,7.460333901,7.4935,0.340815132,0.307649032,5.47311828,2.985337243,3.12749616,1.287792536,0.553191489,0.037762427,0.09220217
16,SIRT2,7.128221,7.25793,6.911438611,7.01378,0.216782389,0.114441,4.360714286,2.348076923,2.442,2.461693548,0.560086791,0.046625029,0.079680649
17,TIE2,9.3324905,9.326115,8.642473503,8.6441,0.690016997,0.6883905,14.9875,17.48541667,9.991666667,4.49625,0.629098361,0.186624139,0.381732517
18,HDAC8,8.1311335,8.27736,7.408022286,7.434505,0.723111214,0.6966285,0,2.373076923,1.234,1.990322581,0.708940536,0.061435744,0.056702571
19,GSK3B,9.202323,9.14144,8.452999906,8.481595,0.749323094,0.720728,12.92142857,9.276923077,6.03,4.448360656,0.687650086,0.136581672,0.256071973
20,ACE2,8.765133,8.69506,8.636815838,8.63438,0.128317162,0.130753,0,0,0,0,0.550667223,0.035903583,0.001156692
21,AR,9.114181786,9.006745,7.233917119,7.339045,1.880264667,1.775136786,5.642857143,9.673469388,8.681318681,7.053571429,0.836004021,0.225041963,0.354773068
22,NA,7.4832745,7.4063,6.838856372,6.8173,0.644418128,0.6659745,8.85,4.765384615,4.956,2.997580645,0.764616347,0.100012088,0.179688872
23,AKT1,9.663045897,9.60452,9.249372861,9.32728,0.413673037,0.335765897,0,2.525641026,3.788461538,3.030769231,0.57915517,0.05377834,0.101795995
24,PNP,8.4544955,8.263285,7.773301802,7.79951,0.681193698,0.6549855,4.403571429,4.742307692,3.699,2.485887097,0.710624476,0.065242115,0.123102722
25,ADAM17,9.1966635,9.07148,8.531354328,8.57066,0.665309172,0.6260035,21.96428571,14.19230769,8.61,4.959677419,0.616890756,0.199634479,0.369644613
26,MDM2,7.7323605,7.60864,7.450161537,7.401805,0.282198963,0.3305555,0,0,0,1.4975,0.61515544,0.044814166,0.013900216
27,JNK1,8.956575526,9.03259,8.533350104,8.57078,0.423225423,0.385795526,5.25,5.25,2.625,2.625,0.635779483,0.061393634,0.121654414
28,COX2,9.172996216,8.94751,8.504662873,8.555135,0.668333343,0.617861216,13.86486486,7.702702703,5.135135135,3.224387178,0.644749884,0.129062241,0.256615364
