,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,6.955192022,6.918718433,6.324048817,6.37627973,0.631143206,0.578912292,9.691666667,4.845833333,4.845833333,3.449576271,0.77524488,0.136005345,0.193156995
1,UPA,5.641422544,5.887401055,5.04473395,5.083738787,0.596688594,0.557683757,0,0,3.734375,2.9875,0.653095238,0.071966739,0.099923655
2,CDK2,6.392571008,6.389579302,5.842302325,5.868105687,0.550268683,0.524465321,0,2.491666667,4.983333333,2.99,0.690960208,0.075776844,0.108969267
3,PIM-2,6.719688781,6.784932421,6.073623206,6.096514627,0.646065576,0.623174155,0,0,2.416,1.485245902,0.704773116,0.065071946,0.045602829
4,A2A,6.944938579,6.901476465,7.326562454,7.322919835,-0.381623876,-0.377981256,0,0,0,0,0.328977273,0.021822086,7.88E-07
5,CTSK,7.590647976,7.584857713,7.384347381,7.384153097,0.206300596,0.206494879,0,2.375,2.47,2.987903226,0.597322176,0.049464805,0.066839043
6,TPA,6.343436648,6.298839776,5.198582471,5.25018052,1.144854177,1.093256128,19.38333333,14.5375,8.480208333,6.899152542,0.835351736,0.212149094,0.382553607
7,JAK3,7.384817357,7.389055966,7.152042119,7.183317018,0.232775238,0.20150034,0,0,1.246875,1.49625,0.605661193,0.043500274,0.026242873
8,VEGFR2,7.181275788,7.197217388,7.016883821,7.064106982,0.164391966,0.117168806,4.360714286,2.348076923,2.442,2.461693548,0.552836579,0.070058308,0.110963753
9,PDE5,7.712189819,7.754628998,7.511049208,7.524773842,0.201140611,0.187415977,0,0,0,0.990322581,0.587268519,0.038450524,0.02176604
10,PPARG,6.886024516,6.818121644,6.905780552,6.9293125,-0.019756036,-0.043287984,0,0,0,0.5,0.482136364,0.034203716,0.01700642
11,ADRB2,8.141738298,8.27147282,7.664125066,7.701016623,0.477613231,0.440721675,0,0,1.198958333,1.488362069,0.705063006,0.069866318,0.027244529
12,VEGFR1,6.961351214,7.078275595,6.891542538,6.940730623,0.069808676,0.020620592,0,0,1.239130435,2,0.533068182,0.043060046,0.040060529
13,KIF11,7.042800627,6.945192044,6.573048108,6.577630713,0.469752519,0.465169914,0,4.65,4.836,3.963934426,0.699572284,0.074629271,0.138761087
14,ERBB2,7.09248261,7.17986909,6.992228877,6.985279213,0.100253733,0.107203397,0,0,0,0,0.565799825,0.036071374,1.85E-05
15,CATL,6.616925092,6.64973237,6.406558289,6.413664598,0.210366803,0.203260494,0,0,0,0.497177419,0.644551551,0.043326176,0.00267681
16,TP,5.929925379,5.828778012,5.154018537,5.159449084,0.775906841,0.770476295,8.55,13.99090909,8.55,4.439423077,0.739046653,0.137796231,0.332136078
17,SIRT2,4.995581494,4.748185918,5.274429248,5.293457532,-0.278847754,-0.297876038,0,0,0,0,0.396822034,0.02528404,0.000114321
18,TIE2,7.305005838,7.384378773,6.883061894,6.911608806,0.421943945,0.393397032,9.991666667,4.995833333,4.995833333,3.996666667,0.692126833,0.095402965,0.194637132
19,HDAC8,6.180802617,6.144176845,5.644485766,5.661481099,0.536316851,0.519321518,4.407142857,4.746153846,3.702,2.487903226,0.671859296,0.065174804,0.1263405
20,GSK3B,7.591638731,7.522326324,7.164930836,7.187717816,0.426707895,0.403920914,4.303571429,2.317307692,1.205,1.975409836,0.662896996,0.054552052,0.081075158
21,ACE2,6.454746238,6.201797092,5.5780348,5.592960265,0.876711438,0.861785973,26.55,21.44423077,16.107,6.994354839,0.747414512,0.317727704,0.544861742
22,AR,8.027815164,8.122570386,6.839873694,6.81941814,1.18794147,1.208397025,8.0375,6.889285714,8.655769231,7.793939394,0.901907131,0.397732233,0.526634548
23,NA,5.882903988,5.758017613,5.261117465,5.252894497,0.621786523,0.630009491,0,0,0,3.497177419,0.675813178,0.061299276,0.046900307
24,AKT1,7.61153643,7.562155958,6.865082825,6.894597493,0.746453605,0.716938937,4.929166667,4.929166667,7.39375,6.407916667,0.819181977,0.134828167,0.192743106
25,PNP,7.269427569,6.520290987,5.685259729,5.620991534,1.58416784,1.648436036,22,21.32307692,16.016,8.44516129,0.725943792,0.320918334,0.555303026
26,ADAM17,7.990333329,7.964470703,7.306122157,7.358755917,0.684211172,0.631577411,13.16785714,11.81730769,8.603,5.451209677,0.742199327,0.175110299,0.322710555
27,MDM2,7.671500798,7.749692938,6.851243438,6.851755881,0.82025736,0.819744917,14.9625,17.45625,9.975,7.98,0.844684529,0.238169586,0.401198835
28,JNK1,6.466211467,6.517879677,6.138452564,6.183217532,0.327758903,0.282993936,4.995833333,4.995833333,3.746875,2.497916667,0.616113028,0.056696922,0.128034475
29,COX2,7.631394077,7.760518677,7.380210598,7.390415522,0.251183478,0.240978555,0,0,0,0.997674419,0.638264059,0.066379569,0.006598858
30,QPCT,6.514362036,6.60822675,5.761443466,5.760951899,0.75291857,0.753410137,0,2.380769231,2.476,3.494354839,0.822245409,0.104815971,0.091059307
31,DHFR,7.144508304,7.19100213,6.821735359,6.843881516,0.322772945,0.300626788,4.367857143,2.351923077,2.446,2.958870968,0.646111581,0.059874547,0.092724969
32,JNK2,6.821729564,6.745436181,6.138929416,6.250897509,0.682800149,0.570832055,14.65,9.766666667,7.325,4.966101695,0.7079947,0.161184213,0.310325396
33,HMGR,6.428328022,6.636908033,5.885998848,5.858759935,0.542329174,0.569568086,0,0,1.237,3.990322581,0.802443609,0.107034907,0.065911446
34,FKBP1A,7.158836518,7.103311474,7.234366248,7.257902071,-0.07552973,-0.099065553,0,2.371153846,1.233,1.988709677,0.459220453,0.036239687,0.06301968
35,PI3KG,6.773593734,6.804841374,6.288303114,6.315602669,0.485290621,0.457991066,0,2.328846154,1.211,1.985245902,0.69295474,0.056991798,0.04215746
36,BRAF,8.216764749,8.277366482,6.487981394,6.554267947,1.728783355,1.662496802,17.28571429,23.26923077,22.99,13.8852459,0.967863248,0.579836738,0.700989605
37,JNK3,6.862063477,6.765657525,6.533708846,6.558189321,0.328354631,0.303874156,0,2.326923077,1.21,1.983606557,0.629017094,0.045850216,0.048394055
38,GR,7.2971093,7.333964192,6.672161326,6.680050664,0.624947974,0.617058636,0,0,1.223,3.452016129,0.794674556,0.088863416,0.042043656
39,PRKCQ,7.952258462,8.092642267,7.409787335,7.458267907,0.542471126,0.493990555,0,2.311538462,4.808,4.433606557,0.705185026,0.088591563,0.122567912
40,THROMBIN,7.559383488,7.57423906,6.276763602,6.3145864,1.282619886,1.244797088,25.99285714,20.99423077,16.982,9.942622951,0.882992327,0.45075472,0.634580264
41,FXA,7.700292561,7.828437406,6.989534046,7.030974041,0.710758515,0.669318519,4.975,4.975,3.73125,4.4775,0.770363951,0.132463856,0.173209861
42,MMP2,7.044902932,7.159253941,6.361485051,6.535036896,0.683417881,0.509866036,4.382142857,2.359615385,1.227,2.473790323,0.722009267,0.094484934,0.097579517
43,ER-BETA,7.830623822,7.831527211,6.986669569,7.015015794,0.843954253,0.815608028,4.2,4.666666667,2.470588235,4.5,0.8431875,0.166133267,0.200475847
44,ROCK-1,7.006761397,6.954115018,6.524612546,6.561247959,0.482148851,0.445513438,0,2.321153846,2.414,3.462704918,0.6739503,0.066848382,0.082230276
45,FGFR1,6.813452417,6.813744515,6.47206538,6.612384108,0.341387037,0.201068309,9.825,4.9125,2.45625,1.998305085,0.592054434,0.094154811,0.146568011
46,EPHB4,6.726884366,6.64940366,6.573403471,6.597309585,0.153480895,0.129574781,0,0,0,0.497540984,0.578172913,0.03535961,0.001403086
47,HDAC2,7.072608018,7.033712946,6.520384066,6.539964432,0.552223952,0.532643587,0,0,1.214,1.990163934,0.726064736,0.067756816,0.041362807
48,BCL2,5.651655448,5.713938608,5.756863072,5.77557934,-0.105207624,-0.123923892,0,0,0,0,0.449661877,0.026717653,7.02E-07
49,SARS-HCOV,6.311436006,6.279316822,6.264262762,6.293311201,0.047173244,0.018124805,0,0,0,1.025641026,0.519158992,0.035152089,0.01409946
50,17BETAHSD1,7.530772378,7.606761552,6.883775801,6.890780933,0.646996577,0.639991445,13.14642857,9.438461538,4.908,3.463306452,0.767628475,0.127771644,0.221994385
51,HSP90,6.407131789,6.431363434,6.020898497,6.023129773,0.386233292,0.384002016,0,0,0,1.492622951,0.642142249,0.044964921,0.015815782
52,EGFR,6.642692026,6.800199073,6.211856314,6.32996965,0.430835712,0.312722376,0,0,1.205,1.975409836,0.635429185,0.056608959,0.031520239
53,PDK1,6.88810856,6.971753354,5.8225733,5.974143317,1.06553526,0.913965243,12.94285714,9.292307692,8.456,6.436065574,0.822303082,0.174269638,0.306492797
54,ACHE,7.160307787,7.564612053,6.345095123,6.416899926,0.815212664,0.743407861,0,4.688461538,2.438,2.997540984,0.717811705,0.093849186,0.095293327
55,PYGL-OUT,5.793652952,5.702569533,5.759872164,5.736232626,0.033780788,0.057420326,0,0,0,0,0.525752508,0.031128321,0.000669554
