,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,EGFR,7.486256933,7.599950314,7.345266913,7.44472456,0.14099002,0.041532373,0,0,2.468,1.990322581,0.557370184,0.041562686,0.0621138
1,VEGFR1,8.861100888,8.870893955,8.606694497,8.665108681,0.254406392,0.195992208,4.407142857,7.119230769,3.702,3.483064516,0.642462312,0.072218795,0.1673501
2,CATL,8.366894937,8.376413345,8.3390634,8.367127895,0.027831537,-0.000232959,0,0,0,0,0.509895833,0.030205617,0.002370994
3,A2A,8.934218764,8.831824303,8.80368865,8.864688873,0.130530114,0.069529891,0,0,2.476,1.497580645,0.5485601,0.04152074,0.06817697
4,THROMBIN,9.38835144,9.364480019,9.166427328,9.19824791,0.221924112,0.190103531,8.85,7.148076923,7.434,3.497177419,0.630337781,0.103722893,0.222958374
5,UPA,5.729247093,5.747078896,5.51899529,5.621578693,0.210251803,0.1076684,0,0,0,0.506617039,0.600402127,0.038848774,0.002623514
6,PPARG,9.007002401,9.150659084,8.874068323,8.919343948,0.132934079,0.087658453,4.425,2.382692308,3.717,2.997580645,0.631567973,0.063735502,0.110397876
7,ERBB2,7.873139262,8.002495289,7.778007559,7.798368692,0.095131704,0.07477057,0,0,0,0,0.586915693,0.038878358,2.21E-05
8,VEGFR2,8.600568974,8.649421692,8.490483776,8.540354729,0.110085198,0.060214245,4.428571429,2.384615385,2.48,2,0.564979167,0.042846842,0.088539476
9,SRC,7.834828687,7.969666481,7.63996009,7.714304447,0.194868597,0.12052424,0,2.384615385,6.2,4,0.602583333,0.064356381,0.12716278
10,TPA,7.068250716,7.089473486,6.789758622,6.863511801,0.278492094,0.204738915,4.414285714,2.376923077,1.236,0.996774194,0.633089465,0.067777249,0.075365445
11,PRKCQ,9.124714637,9.131003857,8.914813678,8.92146492,0.209900959,0.203249717,0,0,0,0.498790323,0.665288221,0.046953389,0.002785115
12,MDM2,8.675314009,8.706270695,8.623119206,8.655199051,0.052194803,0.020114958,0,0,0,0.499596774,0.539824854,0.034468337,0.007362632
13,CTSK,9.059277081,9.075730324,9.015538961,9.084281921,0.04373812,-0.02500484,0,0,0,0.498790323,0.533416876,0.032497122,0.006902404
14,TIE2,8.4738608,8.467573166,8.198509999,8.210512161,0.275350802,0.263348639,0,7.153846154,7.44,4,0.687520833,0.091651254,0.205013766
15,PPARA,8.1958565,8.230697632,8.031871198,8.076948166,0.163985302,0.118908334,8.857142857,7.153846154,4.96,2.5,0.606291667,0.086132603,0.190113178
16,JNK2,8.089020777,8.109314919,7.87933886,7.96333313,0.209681917,0.125687647,13.23214286,7.125,6.175,3.485887097,0.590962343,0.091573403,0.204937643
17,GSK3B,9.048028827,9.067204475,8.827840068,8.845579624,0.220188758,0.202449203,0,0,2.468,1.990322581,0.641938861,0.049393149,0.050802464
18,SIRT2,5.30487351,5.308070421,5.220691557,5.339207649,0.084181953,-0.034334139,0,0,0,0,0.499933769,0.028711623,0.00123324
19,ACE,9.171434236,9.147948742,9.299103137,9.362477779,-0.127668901,-0.191043544,4.421428571,2.380769231,2.476,0.998387097,0.399812187,0.05235112,0.095509504
20,TK,5.241644132,5.174363136,5.380285507,5.414477825,-0.138641375,-0.172833693,0,0,0,0,0.40167364,0.024353384,1.22E-07
21,PR,9.019956338,9.099687099,8.767622966,8.785093784,0.252333372,0.234862553,0,0,0,1.044142615,0.639283822,0.04128781,0.014882565
22,ACHE,8.602049458,8.842812538,8.512928855,8.808979034,0.089120604,-0.206929576,0,7.044230769,4.884,4.431048387,0.547099915,0.06914159,0.169681781
23,AURKB,7.653897549,7.63973999,7.391149684,7.432930231,0.262747865,0.220967318,0,0,0,1.0475382,0.677367541,0.047584449,0.007784003
24,PNP,9.733812881,9.654634476,9.748487755,9.766908646,-0.014674875,-0.033095765,0,0,1.224,1.974193548,0.474113176,0.033486006,0.045876364
25,MMP2,8.407780993,8.425139427,8.478774118,8.557120323,-0.070993125,-0.14933933,0,0,1.238,0.499193548,0.432533389,0.026021159,0.014302847
26,ER-BETA,8.647335267,8.680496693,8.428396234,8.445337296,0.218939033,0.201997972,0,0,1.231,1.489112903,0.613392107,0.041091187,0.033516064
27,AKT1,8.102968693,8.155981541,8.028165553,8.079136848,0.07480314,0.023831844,0,0,0,0,0.546541667,0.035209559,0.001792964
28,JAK3,8.199229813,8.28904438,8.123640192,8.165689468,0.075589621,0.033540344,0,2.380769231,1.238,1.497580645,0.546327212,0.037435872,0.04544368
29,RXR,6.82224319,6.826943159,6.560075034,6.592321873,0.262168156,0.229921317,0,0,0,0.499596774,0.688448707,0.046726539,0.014252756
30,AR,9.224764252,9.253381252,8.988085826,9.06648922,0.236678425,0.158275032,0,0,0,0,0.620829823,0.040165857,0.000512713
31,DHFR,7.683412313,7.791437864,7.38570214,7.416569233,0.297710173,0.266843081,0,2.378846154,3.711,4.987903226,0.674185464,0.08346398,0.111954294
32,PIM-1,7.988291674,8.07709074,7.764078952,7.810442448,0.224212722,0.177849227,0,0,1.363333333,2.198924731,0.625758,0.045308734,0.029568428
33,JNK3,8.062770319,8.079046249,7.853295065,7.909317493,0.209475254,0.153452826,0,2.382692308,1.239,1.998387097,0.619578816,0.047357203,0.050974455
34,INHA,6.870907378,6.857657909,7.142878438,7.168347359,-0.27197106,-0.297439981,0,0,0,0,0.323165138,0.021496189,2.22E-06
35,PI3KG,8.366197872,8.289126873,8.348945789,8.402051449,0.017252083,-0.035853577,8.842857143,7.142307692,6.19,2.495967742,0.490734558,0.067728397,0.207340561
36,HIV1PR,9.443345189,9.496734142,9.687371197,9.694968224,-0.244026008,-0.251623034,0,0,0,0,0.346934946,0.023306853,0.000414231
37,HSP90,5.583656228,5.758075237,5.400969901,5.442007065,0.182686326,0.141649163,0,0,3.711,2.493951613,0.64390142,0.060162067,0.056213859
38,17BETAHSD1,6.558167754,6.507183075,6.416150196,6.424184799,0.142017558,0.133982955,0,0,1.317837838,1.080194949,0.57243792,0.03357618,0.029534235
