,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,EGFR,7.210615,7.352165,5.767733591,5.82832,1.442881409,1.382295,21.7962963,16.34722222,8.173611111,7.758003766,0.854878761,0.222947316,0.356396417
1,VEGFR1,9.498787826,9.63193,7.820189721,7.92832,1.678598105,1.570467826,29.08695652,20.77639752,14.54347826,9.410485934,0.754744919,0.339995031,0.54875814
2,CATL,5.9375095,5.763415,5.238145604,5.26857,0.699363896,0.6689395,0,0,2.428,4.477868852,0.723999148,0.077367738,0.084528902
3,A2A,8.709394054,8.84632,7.684302768,7.78818,1.025091286,0.921214054,20.32432432,17.78378378,15.90599295,7.487908962,0.724787574,0.288622181,0.515782806
4,THROMBIN,7.557769211,7.449035,6.105656044,6.17601,1.452113167,1.381759211,26.25,26.25,17.0625,8.925,0.781980836,0.367816476,0.588686872
5,UPA,5.892934848,6.05014,5.681770863,5.87322,0.211163986,0.019714848,0,0,0,0,0.552484176,0.031404284,4.20E-05
6,PPARG,8.327093913,8.08825,7.809041192,7.99966,0.518052721,0.327433913,6.695652174,3.826086957,4.120401338,2.591865358,0.565877264,0.056854074,0.1508941
7,ERBB2,9.0838312,9.3823,7.209007454,7.529575,1.874823746,1.5542562,28.6,21.45,13.34666667,9.533333333,0.811652174,0.403418772,0.598936732
8,VEGFR2,6.275770606,6.27483,6.265547385,6.3354,0.010223221,-0.059629394,0,2.944444444,2.944444444,2.395480226,0.524512557,0.03880334,0.076435544
9,SRC,6.144756875,5.96791,5.640514585,5.71819,0.50424229,0.426566875,17.96875,8.984375,6.25,3.098060345,0.595371199,0.101866487,0.224674762
10,TPA,5.93827027,5.9101,6.105327948,6.14907,-0.167057678,-0.21079973,0,0,0,0.535880708,0.437604721,0.02595849,0.00895565
11,PRKCQ,7.217140263,7.716635,6.026666943,6.14896,1.190473321,1.068180263,15.17105263,10.11403509,7.585526316,8.893375681,0.807198489,0.21181785,0.328781905
12,MDM2,5.8508485,6.143515,4.633412023,4.81618,1.217436477,1.0346685,8.733333333,7.145454545,7.485714286,7.909433962,0.799578373,0.222775474,0.319688211
13,CTSK,5.9098825,5.82,5.738574397,5.76817,0.171308103,0.1417125,0,0,1.21,0.991803279,0.550512821,0.035870294,0.029384107
14,TIE2,5.569949577,5.358285,4.969296112,5.095385,0.600653465,0.474564577,21.41538462,14.27692308,7.51417004,3.037643208,0.552319632,0.16683661,0.312269381
15,PPARA,8.255251944,8.4611,7.571797239,7.76683,0.683454705,0.488421944,4.872222222,8.12037037,6.766975309,3.321969697,0.630730612,0.104260747,0.259710018
16,JNK2,7.782994242,7.95384,7.442723754,7.73321,0.340270488,0.049784242,5.745454545,2.872727273,1.511961722,0.598484848,0.525285643,0.041912888,0.080761199
17,GSK3B,7.89177075,7.756585,6.402693701,6.50847,1.489077049,1.38330075,19.51666667,21.95625,13.41770833,8.435169492,0.818656057,0.32226881,0.534137236
18,SIRT2,4.860148935,5.13571,4.835890445,4.99318,0.024258491,-0.133031065,6.103225806,3.051612903,1.606112054,1.907258065,0.544473823,0.049594473,0.114694524
19,ACE,7.14361575,6.939555,5.650619517,5.651365,1.492996233,1.49225075,17.42857143,16.42307692,15.86,8.5,0.810487288,0.322282192,0.517335788
20,TK,10.12063212,10.6754,5.851298127,5.893785,4.269333995,4.226847121,35,35,29.16666667,15.0862069,0.915599849,0.72155029,0.858250382
21,PR,9.479071818,9.40879,8.427815038,8.49018,1.05125678,0.988891818,11.63636364,11.63636364,5.818181818,4.848484848,0.810434442,0.148333177,0.286186738
22,ACHE,9.386504474,9.06512,8.271986771,8.33348,1.114517703,1.053024474,20.50877193,10.25438596,5.127192982,3.128456735,0.689201452,0.111817425,0.249695125
23,AURKB,5.898746147,6.43966,5.179134348,5.21829,0.719611799,0.680456147,17.22058824,8.610294118,10.04534314,7.588733799,0.731595013,0.184900664,0.345294736
24,PNP,8.9746235,8.69415,7.152691051,7.20524,1.821932449,1.7693835,26.20714286,25.87115385,18.345,7.890322581,0.830642434,0.417745721,0.641987625
25,MMP2,4.935165108,5.08037,5.091649697,5.20676,-0.156484588,-0.271594892,0,0,1.29954955,1.613233924,0.478163033,0.033074496,0.025783083
26,ER-BETA,9.302551852,9.31884,7.10505972,7.340605,2.197492132,1.961946852,29.07407407,29.07407407,23.62268519,15.26388889,0.961155086,0.730012402,0.841923362
27,AKT1,6.143186765,6.02236,5.532889982,5.59814,0.610296783,0.545046765,16.72058824,13.93382353,10.17774936,5.866873065,0.638845928,0.127825323,0.319710643
28,JAK3,8.353906944,8.58408,7.128297514,7.22487,1.22560943,1.129036944,25.69444444,15.41666667,10.72463768,6.056547619,0.722248086,0.268749364,0.445807486
29,RXR,9.903073056,10.23955,8.171278266,8.3858,1.73179479,1.517273056,17.84444444,17.34876543,18.36928105,11.42479675,0.869585687,0.493973821,0.725316283
