,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,JNK3,7.6405502499999995,7.834495,6.975380026116259,7.09868,0.6651702238837407,0.5418702499999997,4.382142857142857,4.71923076923077,4.908,3.9580645161290327,0.6525168491996631,0.09862706260821252,0.17237796383975812
1,EPHB4,7.481508750000001,7.41486,6.3051501567340065,6.316034999999999,1.1763585932659941,1.1654737500000012,4.385714285714285,2.3615384615384616,3.6839999999999997,3.961290322580645,0.7436868686868686,0.08633338985784451,0.12116790029364145
2,TP,7.597830322580646,7.42667,6.526979417008197,6.563195,1.070850905572449,1.0346353225806455,27.06989247311828,14.765395894428151,10.82795698924731,6.369386464263124,0.7542636171337916,0.24102892732375883,0.4190855941896315
3,NA,5.5612390000000005,5.53738,4.3675276078595315,4.4494050000000005,1.193711392140469,1.111834,17.65714285714286,16.638461538461538,13.596000000000002,8.970967741935485,0.8285744147157191,0.2564180013614625,0.4549324534756372
4,SRC,6.282708000000001,6.0852,5.681685962869198,5.74849,0.6010220371308037,0.534218000000001,13.124999999999998,7.067307692307692,7.349999999999999,3.951612903225806,0.6251898734177216,0.08540234774611033,0.22341379878414097
5,PYGL-OUT,7.497223375,7.44267,6.138558684833333,6.26674,1.358664690166667,1.2304833749999995,31.0,31.0,23.560000000000002,10.0,0.7094583333333332,0.5057473492126068,0.7656650703177426
6,LCK,7.06221375,7.11843,6.1549002438818565,6.27546,0.9073135061181432,0.7867537499999999,17.499999999999996,14.134615384615383,8.575,4.939516129032257,0.7269409282700422,0.20773625061119014,0.360755832659873
7,VEGFR2,6.444546666666666,6.50604,6.281662020990764,6.34122,0.1628846456759021,0.1033266666666659,0.0,2.42603550295858,2.523076923076923,2.5434243176178657,0.5705827897263664,0.049269313380288324,0.06477393163650988
8,PI3KG,7.6373385,7.910095,5.9750389231418914,6.08697,1.6622995768581088,1.5503685000000003,8.742857142857142,11.76923076923077,15.911999999999999,9.37741935483871,0.852660472972973,0.27707402233061695,0.42121540642822736
9,PNP,8.974623499999998,8.69415,7.149406875943001,7.20519,1.8252166240569974,1.769433499999998,26.42142857142857,26.08269230769231,18.495,7.95483870967742,0.831035205364627,0.4176176370873263,0.6404282987392704
10,PARP-1,9.352666750000001,9.50848,6.6702811313559325,6.703475,2.6823856186440684,2.649191750000001,30.5,25.807692307692307,25.619999999999997,18.0,0.9640677966101694,0.7925376627657109,0.8618584022807695
11,PIM-2,6.963763076923078,6.99137,5.796714886267902,5.91571,1.1670481906551755,1.048053076923078,13.47252747252747,9.67258382642998,8.802051282051282,5.577336641852771,0.8560689521093902,0.2189943341660275,0.31529175909551255
12,RXR,9.914027368421053,10.239550000000001,8.112982092592592,8.321545,1.8010452758284607,1.5924823684210523,20.126315789473686,20.126315789473686,18.86842105263158,12.054824561403509,0.8760176585253986,0.49293946496841823,0.7244342208834508
13,MK2,7.5136502499999995,7.643235000000001,6.218243864935064,6.4972,1.2954063850649353,1.0164502499999992,9.958333333333334,9.958333333333334,8.713541666666668,4.979166666666667,0.801948051948052,0.19108803438462654,0.3070335861202376
14,IGF1R,7.337120250000001,7.388065,6.463271155459273,6.62007,0.873849094540728,0.7170502500000007,4.9750000000000005,9.950000000000001,4.9750000000000005,3.9800000000000004,0.6561958405545928,0.08454945995108816,0.19325630954860387
15,ACE2,6.046524499999999,6.29549,5.605994792833333,5.5901,0.4405297071666663,0.4564244999999998,4.428571428571429,2.384615384615385,3.7199999999999998,2.5,0.6212708333333333,0.058083940682277,0.10317660800519306
16,PR,9.483989411764707,9.429715,8.360515375872382,8.45836,1.1234740358923254,1.0256294117647062,10.166666666666666,11.09090909090909,7.261904761904761,4.6923076923076925,0.8210662131253298,0.14819230675099604,0.2793529657989266
17,SARS-HCOV,5.542041538461539,5.34202,5.156359698970841,5.095940000000001,0.38568183949069734,0.4461015384615381,4.413919413919413,2.3767258382642997,2.4717948717948715,1.0130306851618327,0.5871267097682191,0.0680552345911466,0.09766040906478743
18,ER-BETA,9.162715714285714,9.258885,7.017612403658537,7.298795,2.145103310627177,1.8639207142857135,30.285714285714285,26.92063492063492,24.941176470588236,14.790697674418604,0.9322735191637631,0.7051544927383055,0.8284939196409042
19,JNK1,7.884476153846156,7.73826,7.011490707482993,7.154115,0.8729854463631623,0.7303611538461556,22.252747252747252,14.378698224852071,11.215384615384615,5.617906683480454,0.6584140066282923,0.2108619707134998,0.41370125244206113
20,PYGL-IN,6.7777702500000006,7.147595,5.644743887959867,5.638895,1.133026362040134,1.1388752500000008,30.900000000000002,23.769230769230774,16.068,9.469354838709679,0.721425585284281,0.41222087322561823,0.6324540613854924
21,ROCK-1,6.37823025,6.474345,5.716674522231615,5.81689,0.661555727768385,0.5613402499999998,8.735714285714286,7.055769230769232,6.115000000000001,3.452016129032258,0.6372358410819949,0.1014171420988882,0.2094801019215831
22,AURKB,5.957239475,6.43966,5.188302023134954,5.24552,0.768937451865046,0.7117194749999998,17.614285714285714,9.484615384615386,11.097000000000001,7.457661290322582,0.7319991617770327,0.20217123030995238,0.3712043132216085
23,VEGFR1,9.06940794871795,9.17418,7.40487035810206,7.62827,1.6645375906158906,1.4411379487179508,19.760683760683758,14.82051282051282,11.115384615384615,7.15473032714412,0.7430617726051925,0.19760818652876314,0.39671722790013403
24,FXA,7.102789250000001,7.307985,5.806601659829787,5.84674,1.2961875901702138,1.2560492500000011,8.678571428571427,9.346153846153847,8.505,4.48155737704918,0.7833191489361702,0.1629330806885348,0.2914585555685826
