,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,1092.848411,1040.157356,896.9819335,862.7316943,195.8664777,230.1167169,19.84615385,12.40384615,7.442307692,6.054758801,0.706979295,0.178725376,0.335899134
1,UPA,606.7471326,569.568045,612.895928,575.814428,-6.148795417,30.93270462,0,0,1.24375,1.4925,0.465706239,0.032978975,0.026709813
2,CDK2,1194.691296,1193.051807,838.2918229,786.5525045,356.3994733,408.1387917,29.9,19.93333333,13.70416667,6.976666667,0.788321799,0.327034063,0.523714718
3,PIM-2,837.6122855,791.516666,777.3319386,748.8190579,60.28034684,88.79322759,4.421245421,4.761341223,4.951794872,3.044136192,0.573322796,0.080767729,0.158458366
4,A2A,712.4613665,696.6066923,682.9696644,683.2646912,29.4917021,29.19667529,8.771428571,7.084615385,6.14,3.466129032,0.555829125,0.106674376,0.218250783
5,CTSK,593.2899868,597.3776213,587.7015712,586.2585746,5.588415554,7.031412143,0,0,2.47,0.995967742,0.5508159,0.037026222,0.043052569
6,TPA,855.1803571,802.4151361,773.2027481,751.2495028,81.97760899,103.9308543,10.57142857,7.928571429,4.136645963,2.265306122,0.616451827,0.068206039,0.179488595
7,JAK3,1035.742557,962.2617429,898.5134269,815.1984775,137.2291302,220.5440796,4.979166667,2.489583333,3.734375,2.9875,0.597813853,0.061901347,0.113248822
8,VEGFR2,1131.967852,1161.256821,826.7984083,799.7897304,305.169444,332.1781219,17.87545788,12.03155819,12.51282051,11.28205128,0.868407912,0.327073394,0.454311541
9,PDE5,913.4250102,846.1374514,797.0501129,780.5852284,116.3748973,132.8397817,13.81578947,9.91902834,5.157894737,4.679541596,0.680641156,0.132815571,0.271796049
10,PPARG,944.4197568,961.3570899,851.0961344,859.6522988,93.32362241,84.76745797,14.25,7.125,7.434782609,6.5,0.737136364,0.172575373,0.295821805
11,ADRB2,738.1507948,756.0879327,721.3653247,731.0611806,16.78547014,7.08961421,0,0,2.497826087,2.971551724,0.559017133,0.047187219,0.056173302
12,VEGFR1,1063.837708,1015.0289,877.6443953,874.0560301,186.1933126,189.7816779,24.95614035,19.96491228,14.32265446,6.304709141,0.737320574,0.284865646,0.507590807
13,KIF11,763.4642583,763.7896852,718.8334427,715.793907,44.63081553,47.67035128,8.635714286,6.975,3.627,3.468442623,0.626625321,0.097209455,0.184320463
