,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,1232.954966,1229.946177,873.9074646,845.6845476,359.0475015,387.2704185,21.96428571,14.19230769,12.3,10.91129032,0.921302521,0.325689547,0.458307862
1,UPA,810.9124444,817.1594572,666.301041,628.9092992,144.6114034,182.0031452,9.018315018,7.284023669,7.575384615,5.600082713,0.647220788,0.161593365,0.274692025
2,CDK2,1125.95522,1065.767756,820.3818626,769.6844824,305.5733575,356.2707377,21.94642857,16.54423077,11.061,5.451209677,0.772939445,0.263080237,0.427643456
3,PIM-2,1053.334502,1098.216975,771.6947641,753.8578522,281.6397376,299.4766495,21.98214286,21.30576923,18.465,12.40927419,0.827308984,0.444352502,0.620994135
4,A2A,683.627054,658.6524131,621.1792735,624.845269,62.44778047,58.78178496,8.807142857,11.85576923,8.631,4.971774194,0.661777033,0.138216174,0.292032864
5,CTSK,568.4572106,565.6182309,548.3093075,550.7475029,20.14790312,17.70970765,4.410714286,4.75,2.47,2.987903226,0.623054393,0.054090594,0.107580016
6,TPA,756.9941197,753.3038686,712.583109,697.0914234,44.41101073,59.90269639,0,0,1.235,0.497983871,0.633033473,0.04142601,0.024329228
7,JAK3,1515.435849,1557.577364,833.2650808,771.6400071,682.1707679,743.7958416,26.37857143,23.67307692,20.927,13.8983871,0.933648195,0.556531231,0.709099055
8,VEGFR2,1097.202405,1134.80594,813.1107392,777.5569983,284.0916659,319.6454068,13.95112782,15.0242915,13.02105263,9.450764007,0.856064264,0.263965798,0.402511233
9,PDE5,1005.5934,892.729996,778.4872008,764.2337753,227.1061991,241.3596246,30.9,26.14615385,17.304,7.475806452,0.802069398,0.396555189,0.629633905
10,PPARG,896.6872188,919.139367,830.1307595,840.0574475,66.55645923,56.62977125,13.2,11.84615385,6.16,2.980645161,0.682235738,0.127738386,0.259746412
11,ADRB2,766.1936881,760.6148483,736.1057666,741.5729102,30.08792146,24.62077781,0,0,2.478,2.497983871,0.59441201,0.051395087,0.062619528
12,VEGFR1,955.7335906,938.6483469,844.3888711,838.5146065,111.3447194,117.218984,17.65714286,9.507692308,8.652,4.983870968,0.697951505,0.160942182,0.312887282
13,KIF11,723.7935106,716.3147845,703.1184674,698.9678561,20.67504321,24.82565457,0,2.378846154,1.237,1.99516129,0.57462406,0.042611219,0.049282511
14,ERBB2,1467.217322,1448.354031,990.7023214,982.0754653,476.5150005,485.1418565,30.825,28.45384615,25.893,14.41814516,0.972611065,0.71403474,0.829952765
15,CATL,612.757566,624.8291424,583.4870947,583.7630358,29.27047131,28.99453018,4.407142857,2.373076923,1.234,1.492741935,0.626319095,0.059026004,0.058109692
16,TP,645.3659103,631.9372438,637.7704388,637.3638969,7.595471524,8.002013441,0,0,0,0,0.527055369,0.031771849,0.00079157
17,SIRT2,524.7228662,518.7120059,517.438052,521.9854885,7.284814138,2.737377638,0,0,1.234,1.492741935,0.531972362,0.042442975,0.03395191
18,TIE2,948.1022118,896.5367783,729.654923,727.0729649,218.4472888,221.0292469,30.775,26.04038462,18.465,10.42379032,0.818849706,0.455363462,0.666617192
19,HDAC8,682.4519607,687.9496199,702.8414816,698.3944009,-20.38952094,-15.94244023,0,0,0,0,0.43165272,0.025931237,7.77E-05
20,GSK3B,1293.223045,1248.22917,816.5492577,770.7367603,476.6737877,522.4862851,21.92857143,25.97692308,17.192,10.3983871,0.923569024,0.430666015,0.615571123
21,ACE2,814.9937678,817.9249066,791.4606135,793.4244325,23.53315428,21.56933528,4.417857143,4.757692308,3.711,3.491532258,0.611403509,0.064415527,0.142712309
22,AR,1065.154391,1068.380492,755.8674667,726.0361355,309.2869247,339.1182559,13.26428571,14.28461538,16.094,10.48306452,0.914732888,0.365307881,0.496023648
23,NA,1015.553783,1029.425249,632.3416567,626.5538931,383.2121262,388.9998897,30.925,30.925,30.925,17.95645161,0.985359231,0.907287787,0.958217226
24,AKT1,1107.173766,1035.457685,864.1747118,853.9627828,242.9990538,253.2109828,18.55639098,17.48582996,11.69052632,6.808998302,0.851060553,0.224520974,0.407910102
25,PNP,940.8898822,973.0369953,712.1984931,695.4808415,228.6913891,245.4090407,13.16785714,14.18076923,12.29,11.39798387,0.899642557,0.343213904,0.459299939
26,ADAM17,1006.189382,975.9611996,812.6446246,812.1416397,193.5447577,194.0477425,30.75,28.38461538,20.91,9.919354839,0.782394958,0.486259215,0.702904478
27,MDM2,703.867492,697.8156909,632.7169247,629.2567337,71.15056726,74.61075829,22.05357143,16.625,11.115,6.971774194,0.793263598,0.260676174,0.439549634
28,JNK1,1273.222628,1250.549372,843.3238434,795.751786,429.8987846,477.470842,21.96428571,21.28846154,17.22,9.919354839,0.820294118,0.389371255,0.595303724
29,COX2,772.0601197,779.4121613,730.3956578,728.7125568,41.66446193,43.34756295,0,2.495951417,1.297894737,3.140067912,0.682272627,0.065776381,0.073083426
30,QPCT,623.1413117,614.8986488,558.7280215,540.8232238,64.41329013,82.31808785,4.417857143,2.378846154,1.237,1.99516129,0.724832916,0.063969194,0.07941753
31,DHFR,887.9475124,906.4370043,658.2356616,649.9237814,229.7118508,238.023731,31.61538462,29.18343195,22.76307692,12.74813896,0.87003393,0.598054857,0.762860463
32,JNK2,853.9695904,790.4654351,771.7313678,768.7555618,82.23822264,85.21402863,22.07142857,11.88461538,6.18,3.488709677,0.580643813,0.164033337,0.319228057
33,HMGR,867.9672217,875.0746576,687.5336465,682.5835584,180.4335752,185.3836633,30.85,28.47692308,22.212,13.93225806,0.94141541,0.622776633,0.763058961
34,FKBP1A,724.9485262,736.6700725,576.9160179,572.6466277,148.0325083,152.3018985,26.50714286,26.16730769,19.792,11.97096774,0.882477026,0.498776529,0.682201977
35,PI3KG,1122.616011,1101.125448,733.7136936,721.4041863,388.9023177,401.211825,30.925,26.16730769,22.266,13.46733871,0.940935673,0.630229956,0.779133837
36,BRAF,1045.609205,1058.827415,807.071764,790.0428212,238.5374409,255.5663838,4.414285714,9.507692308,12.36,9.967741935,0.893896321,0.259075265,0.344436763
37,JNK3,1180.970965,1128.8392,908.2844049,884.0645012,272.6865598,296.9064634,17.61428571,16.59807692,13.563,8.452016129,0.801948868,0.286399901,0.465959439
38,GR,728.1205298,678.1670263,662.1194491,651.3440773,66.00108069,76.77645251,8.821428571,7.125,4.94,5.477822581,0.626589958,0.092642637,0.219330001
39,PRKCQ,1072.318489,1059.04237,871.8629703,832.4189175,200.4555185,239.8995713,8.828571429,7.130769231,6.18,4.485483871,0.783988294,0.129380375,0.223740957
40,THROMBIN,676.7863838,664.7476542,651.5633058,645.975793,25.22307802,30.8105908,0,4.871794872,3.8,2.553763441,0.605651316,0.057633755,0.1087924
41,FXA,928.2842493,900.9038231,774.5618587,743.9691867,153.7223906,184.3150625,13.2,9.476923077,6.16,3.974193548,0.722651007,0.13400644,0.241683406
42,MMP2,635.3555618,648.3888437,653.2592073,658.7502566,-17.90364554,-23.39469478,0,0,1.229,0.991129032,0.45224979,0.029165635,0.032793764
43,ER-BETA,985.5596597,1018.072283,706.8123315,692.9227739,278.7473282,292.6368858,26.52857143,26.18846154,21.046,13.47822581,0.904465776,0.555334827,0.708330598
44,ROCK-1,1018.660254,964.566162,808.7607796,779.1243764,209.8994742,239.5358774,13.2,7.107692308,6.16,3.974193548,0.799727349,0.164733906,0.256667786
45,FGFR1,1286.749716,1343.022656,723.6545214,684.0494084,563.0951943,602.7003074,26.46428571,23.75,23.465,13.44556452,0.93039749,0.524280279,0.70229767
46,EPHB4,1271.016308,1263.993546,922.0777281,898.0672464,348.9385797,372.9490614,26.37857143,21.30576923,14.772,9.927419355,0.813413098,0.334809477,0.543018225
47,HDAC2,795.1781453,759.8865816,753.2508193,754.1354445,41.92732596,41.04270075,9.032967033,4.863905325,6.323076923,2.549627792,0.560022334,0.079099921,0.187763965
48,BCL2,652.1873735,652.0199394,582.3945424,580.961263,69.79283114,71.22611048,4.367857143,7.055769231,9.784,6.410887097,0.836580727,0.158061861,0.272076806
