,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,7.173677885,7.1992188,7.046840185,7.078125,0.126837699,0.095552885,9.923076923,7.442307692,4.961538462,3.0273794,0.592611637,0.091873402,0.203418823
1,UPA,6.0840332,6.44335935,5.94893949,6.0136719,0.13509371,0.0703613,4.975,2.4875,3.73125,2.4875,0.57110052,0.052306786,0.094240159
2,CDK2,7.095996088,7.2363281,6.794082168,6.9101562,0.30191392,0.185839888,4.983333333,2.491666667,2.491666667,3.488333333,0.661699827,0.085753519,0.11498715
3,PIM-2,6.565504813,6.6875,6.254451384,6.3613281,0.311053428,0.204176713,0,2.380670611,3.713846154,3.551492224,0.611444064,0.060407743,0.101049858
4,A2A,7.163085945,7.2304688,6.804089067,6.9140625,0.358996878,0.249023445,0,2.361538462,3.684,2.475806452,0.67834596,0.061206371,0.096420362
5,CTSK,7.337695315,7.3710938,7.428004053,7.4492188,-0.090308738,-0.111523485,0,0,0,0,0.436841004,0.02667245,0.00067593
6,TPA,6.754799111,6.7382812,6.891250001,6.953125,-0.136450889,-0.198325889,0,0,0,1.132653061,0.435906977,0.027791569,0.011879351
7,JAK3,7.60244141,7.7558594,7.306890897,7.3828125,0.295550513,0.21962891,4.979166667,2.489583333,2.489583333,3.983333333,0.700292208,0.080004935,0.107602178
8,VEGFR2,7.325821318,7.4179688,7.067272838,7.1367188,0.25854848,0.189102518,4.468864469,2.406311637,1.251282051,2.564102564,0.660337828,0.055403097,0.067275791
9,PDE5,8.000925163,8.02734375,7.642780513,7.6953125,0.35814465,0.305612663,0,2.479757085,2.578947368,5.199490662,0.794262404,0.103687317,0.124327327
10,PPARG,7.023437495,7.1386719,6.997766336,7.0703125,0.025671159,-0.046875005,4.75,2.375,1.239130435,1.5,0.536727273,0.040523999,0.06553795
11,ADRB2,6.915039068,7.02148435,6.605997099,6.6679688,0.309041968,0.247070268,4.7875,2.39375,3.74673913,4.457327586,0.693620379,0.085513946,0.140897365
12,VEGFR1,7.491776318,7.55664065,7.185735085,7.2851562,0.306041233,0.206620118,4.99122807,4.99122807,3.90617849,3.152354571,0.657942584,0.070746117,0.136659253
13,KIF11,6.400292967,6.390625,5.565308555,5.578125,0.834984412,0.822167967,12.95357143,11.625,7.254,4.954918033,0.815066296,0.184774006,0.307476448
14,ERBB2,7.706054685,7.6835937,7.285901275,7.3203125,0.42015341,0.385742185,4.929166667,7.39375,8.626041667,5.422083333,0.820242782,0.138380563,0.261631458
15,CATL,7.256835913,7.2734375,7.09344952,7.1328125,0.163386393,0.124023412,0,0,6.05,2.326923077,0.625267094,0.050666795,0.080415605
16,TP,6.074218752,6.1484375,5.531101284,5.6289062,0.543117467,0.445312552,0,0,0,0.642631246,0.682675618,0.045396004,0.013203901
17,SIRT2,5.630468743,5.7773437,5.633919105,5.671875,-0.003450363,-0.041406258,0,0,0,0.999180328,0.506859627,0.032088166,0.013137269
