,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,7.198144537,7.328125,6.980577074,7.0175781,0.217567463,0.180566437,4.392857143,2.365384615,3.69,4.463709677,0.677132353,0.084759872,0.154634914
1,UPA,6.154847759,6.4609375,6.135134293,6.2070312,0.019713466,-0.052183441,0,0,0,2.036393714,0.541763466,0.039987618,0.016481476
2,CDK2,7.03544923,7.15820315,6.688089714,6.8164062,0.347359516,0.21904303,4.389285714,4.726923077,4.916,3.468951613,0.679531119,0.092275549,0.162587569
3,PIM-2,6.51650391,6.57617185,6.188702051,6.2929688,0.327801859,0.22353511,4.396428571,4.734615385,3.693,2.978225806,0.612835852,0.059018393,0.110668308
4,A2A,7.034960938,7.09179685,6.593569913,6.6914062,0.441391024,0.343554737,8.807142857,4.742307692,2.466,2.983064516,0.703310981,0.073654983,0.141508433
5,CTSK,6.933203123,6.8613281,7.127801387,7.1640625,-0.194598264,-0.230859377,0,0,0,0,0.358650628,0.02308887,0.000975552
6,TPA,6.407324215,6.3652344,6.621803085,6.6601562,-0.21447887,-0.252831985,0,2.375,1.235,1.493951613,0.405240586,0.029628757,0.048487164
7,JAK3,7.640039068,7.70507815,7.205829201,7.2890625,0.434209867,0.350976568,4.396428571,2.367307692,2.462,2.978225806,0.764515113,0.085340557,0.100124363
8,VEGFR2,7.263877463,7.3339844,6.997672214,7.0664062,0.266205249,0.197471263,4.65037594,2.504048583,1.302105263,2.625212224,0.643825995,0.052711986,0.086354827
9,PDE5,7.876855468,7.9335938,7.465506768,7.5234375,0.411348699,0.353417968,8.828571429,7.130769231,7.416,4.485483871,0.814119983,0.135756846,0.236111031
10,PPARG,6.91328125,7.0039063,6.897457662,6.9648438,0.015823588,-0.05156255,0,0,0,0.993548387,0.525702601,0.033432115,0.006731238
11,ADRB2,6.753417973,6.828125,6.389769794,6.4609375,0.363648178,0.292480473,0,2.382692308,2.478,2.497983871,0.687030859,0.061105427,0.0759576
12,VEGFR1,7.19238282,7.2949219,6.971163644,7.09375,0.221219176,0.09863282,0,0,1.236,1.49516129,0.600083612,0.045840697,0.03465911
13,KIF11,6.096191418,6.0605469,5.508814353,5.5234375,0.587377064,0.572753918,4.417857143,7.136538462,4.948,2.493951613,0.739995823,0.079817814,0.165350715
14,ERBB2,7.575585935,7.56835935,7.156184513,7.2148438,0.419401422,0.360742135,0,0,3.699,3.480241935,0.787625733,0.088743604,0.08861375
15,CATL,7.0241211,7.0351563,6.971344353,6.9863281,0.052776747,0.037793,0,0,0,0.99516129,0.536474037,0.033620746,0.013097885
16,TP,6.066503908,6.1484375,5.646192716,5.7675781,0.420311192,0.298925808,0,0,0,0.496774194,0.641495386,0.041607819,0.002011776
17,SIRT2,5.416845705,5.41992185,5.466510611,5.5,-0.049664906,-0.083154295,0,2.373076923,1.234,0.99516129,0.482391122,0.031372066,0.037477876
18,TIE2,6.99912108,7.0957031,6.549715311,6.59375,0.449405769,0.40537108,4.396428571,9.469230769,4.924,2.481854839,0.724013434,0.090338097,0.17263804
