,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,64.09562607,60.01961899,41.81481231,40.64912033,22.28081376,23.44650574,29.075,16.96041667,15.74895833,9.855932203,0.850512021,0.3902757,0.56521788
1,UPA,45.09654951,40.34158707,33.45478897,32.4793911,11.64176055,12.61715841,29.85,22.3875,11.19375,4.975,0.676689775,0.274650058,0.4921309
2,CDK2,60.5270391,60.26503754,33.06398746,31.52384567,27.46305163,29.00319343,19.93333333,19.93333333,22.425,12.95666667,0.893057958,0.471699038,0.651092324
3,PIM-2,50.06855702,50.55410194,34.5920633,33.4075737,15.47649372,16.66098332,17.24285714,11.60576923,7.242,4.946721311,0.839910026,0.222921346,0.321131009
4,A2A,33.8426424,33.9130764,29.33309448,29.30154991,4.509547924,4.541092491,13.14642857,7.078846154,6.135,5.44233871,0.722114575,0.13964892,0.245980225
5,CTSK,28.97785592,27.87997913,30.37294693,30.35060692,-1.395091012,-1.372750998,0,2.375,2.47,1.493951613,0.399267782,0.030895837,0.070938619
6,TPA,49.97805104,49.39672661,31.56545817,30.59622192,18.41259288,19.38182912,14.5375,21.80625,16.96041667,9.363135593,0.898998219,0.3652286,0.553874283
7,JAK3,72.46820955,71.81900787,37.0358289,35.47985458,35.43238065,36.98835497,24.9375,27.43125,22.44375,13.46625,0.917999136,0.600232089,0.769637556
8,VEGFR2,34.78229856,33.8024025,25.3742396,24.83183289,9.408058963,9.950465679,21.80357143,18.78461538,12.21,7.385080645,0.835055038,0.280426677,0.460901248
9,PDE5,48.63218374,49.19543457,35.31416392,34.69976997,13.31801982,13.93241377,17.54285714,16.53076923,9.824,8.912903226,0.881513047,0.266615059,0.421662938
10,PPARG,46.14488711,47.57009697,40.20226577,40.47657013,5.942621348,5.668316984,28.5,16.625,11.15217391,5.5,0.622522727,0.249683486,0.448448836
