,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,91.61570053,90.24367142,56.95820111,55.82879639,34.65749942,35.78690414,24.22916667,26.65208333,24.22916667,16.26228814,0.98341496,0.749673096,0.838157612
1,UPA,62.30957656,54.55223846,39.92190333,39.37249756,22.38767323,22.937079,29.85,29.85,19.9,8.4575,0.715749567,0.445771741,0.70402761
2,CDK2,69.462852,71.50382996,39.57825646,37.16935921,29.88459554,32.29349279,14.95,14.95,14.95,9.966666667,0.916695502,0.347266779,0.504626269
3,PIM-2,53.65182333,54.14007759,38.6867313,37.92434311,14.96509203,15.72748022,12.93214286,11.60576923,7.242,6.430737705,0.838474722,0.219983475,0.307727152
4,A2A,36.67710643,35.94506454,32.4413614,32.47619629,4.235745033,4.200910139,13.14642857,9.438461538,7.362,3.958064516,0.680265375,0.131598615,0.272121663
5,CTSK,38.87471423,36.99721909,38.146051,38.09198761,0.728663227,0.782726622,8.821428571,9.5,7.41,3.485887097,0.483305439,0.076594203,0.232359589
6,TPA,76.09048214,76.63317108,43.94265333,42.2557869,32.14782881,33.83469524,29.075,29.075,18.171875,12.31991525,0.938846839,0.595223777,0.757379686
7,JAK3,82.52861824,79.0188446,47.24698031,45.28830338,35.28163793,37.24031487,19.95,19.95,18.703125,10.47375,0.936862576,0.468774524,0.623211342
8,VEGFR2,39.54896631,40.15217209,30.00626667,29.61464691,9.542699646,9.934319401,21.80357143,16.43653846,12.21,8.862096774,0.841363251,0.324075834,0.471642988
9,PDE5,53.99121799,54.50383949,45.85621866,45.88615799,8.134999339,8.105060005,13.15714286,7.084615385,6.14,5.446774194,0.748169192,0.156248856,0.235919705
10,PPARG,61.53769641,67.86301041,52.27815061,53.87560081,9.259545804,7.662095594,23.75,16.625,14.86956522,10,0.743295455,0.324761113,0.55205572
11,ADRB2,48.55898466,49.43225288,45.59109481,46.25321579,2.967889848,2.305768871,0,2.397916667,4.795833333,3.472844828,0.593766877,0.062629587,0.107979838
12,VEGFR1,65.74071131,65.81885529,48.25101745,47.94174957,17.48969386,17.79896173,19,16.625,12.39130435,8,0.823431818,0.309625505,0.478525135
13,KIF11,36.45493965,36.49978638,35.76028209,35.75862122,0.694657566,0.696318436,4.317857143,2.325,2.418,0.990983607,0.539414029,0.043518767,0.088313054
14,ERBB2,90.59659557,92.04194641,57.18393591,55.76384354,33.41265966,34.83275204,29.575,24.64583333,23.41354167,15.77333333,0.918897638,0.702567365,0.81331643
15,CATL,51.31543751,50.67639732,45.15346427,45.22243118,6.161973233,6.093006325,17.61428571,14.22692308,13.563,7.45766129,0.690255658,0.229743923,0.441889886
16,TP,38.29451556,37.59972763,31.27787161,30.81650162,7.016643949,7.478013945,8.525,6.975,7.307142857,3.934615385,0.769455748,0.136342742,0.277728138
17,SIRT2,24.59653331,26.59575844,23.62492158,24.27027512,0.971611733,0.326258194,0,0,0,0.999180328,0.559754029,0.036659682,0.005376238
18,TIE2,68.38480635,71.60718918,49.51433491,49.12965393,18.87047144,19.25515242,29.95,27.45416667,21.21458333,12.47916667,0.756239206,0.529709522,0.751760495
19,HDAC8,31.96389298,32.26930618,33.32177067,32.9176445,-1.357877688,-0.953751516,0,0,0,0,0.438463149,0.026339487,9.68E-05
20,GSK3B,81.12834377,83.24886322,50.54915632,49.144207,30.57918745,31.98413677,30.125,18.53846154,14.46,10.37090164,0.905515021,0.412287268,0.557541269
21,ACE2,37.30478563,38.33235359,34.8298243,34.99653625,2.474961331,2.308249378,8.85,4.765384615,6.195,3.497177419,0.619161802,0.098783315,0.209979265
22,AR,55.92246141,54.79663086,42.20259598,41.66204071,13.71986543,14.2604207,12.05625,13.77857143,11.12884615,7.306818182,0.883830846,0.430221845,0.686392265
23,NA,59.31004286,59.42583466,31.67415983,31.55309868,27.63588303,27.75694418,30.95,30.95,30.95,18.47016129,0.99225793,0.92139717,0.9663081
24,AKT1,73.33458295,75.5130806,45.66201115,43.68196106,27.6725718,29.65262189,19.68333333,14.7625,12.30208333,9.841666667,0.884969325,0.294238911,0.444491087
25,PNP,67.88983364,72.65660095,38.75726238,38.47275162,29.13257126,29.41708202,26.27142857,25.93461538,22.068,10.87580645,0.951454469,0.567044674,0.734466835
26,ADAM17,51.26217117,50.88401222,46.40445091,46.81042099,4.857720263,4.451750183,8.778571429,7.090384615,7.374,3.964516129,0.656223717,0.087944737,0.231235165
27,MDM2,38.00238948,38.37082481,28.89324515,28.31725502,9.109144324,9.685134459,24.91666667,24.91666667,17.44166667,9.468333333,0.838040657,0.418548165,0.64027969
28,JNK1,71.45282021,72.78551865,49.12029586,48.04094315,22.33252434,23.41187706,19.98333333,12.48958333,11.240625,8.9925,0.825949094,0.273759003,0.40990963
29,COX2,41.42159271,41.21718788,38.18950781,38.15328979,3.232084898,3.268302917,8.58,7.15,3.575,2.993023256,0.667328851,0.103316017,0.200145579
30,QPCT,35.82056279,34.79800987,21.32974775,20.43755531,14.49081504,15.38300748,26.50714286,26.16730769,18.555,14.96370968,0.9732665,0.629025287,0.718257261
31,DHFR,51.04712734,51.41375732,37.3446588,37.5655098,13.70246855,13.48161755,26.20714286,23.51923077,19.568,12.32862903,0.871935757,0.489074079,0.657835163
32,JNK2,54.02925582,48.82685089,45.15792775,45.43126869,8.871328065,8.597987127,24.41666667,17.09166667,9.766666667,5.462711864,0.587301237,0.217377989,0.418065785
33,HMGR,58.88604209,61.44548035,36.7122094,36.57378006,22.17383269,22.31226203,30.875,30.875,30.875,16.43346774,0.96334728,0.863240383,0.942593933
34,FKBP1A,53.95723801,53.01002884,31.89119916,31.79825211,22.06603885,22.1589859,30.825,30.825,30.825,15.90967742,0.976550712,0.806308825,0.909441512
35,PI3KG,65.84150248,64.23598862,47.34391164,46.56067657,18.49759083,19.2808259,8.65,6.986538462,12.11,7.940983607,0.839047822,0.212267654,0.332611332
36,BRAF,55.81594582,54.50778961,43.92401838,43.45482635,11.89192743,12.36111946,12.95357143,11.625,7.254,5.450409836,0.780945252,0.139977631,0.275348942
37,JNK3,69.82599268,70.4849968,47.29116946,46.79810524,22.53482322,23.02788744,25.92857143,25.59615385,19.36,10.90983607,0.88034188,0.487214053,0.685454883
38,GR,46.2191988,44.69304848,41.23057702,40.76016235,4.98862178,5.459036446,8.735714286,7.055769231,7.338,6.410887097,0.647168216,0.115830996,0.260537004
39,PRKCQ,69.54725094,70.26962662,46.45227472,44.73884392,23.09497622,24.80840702,25.75714286,20.80384615,12.02,10.34508197,0.86366179,0.401398994,0.527889372
40,THROMBIN,91.19577274,90.55456161,52.84136119,51.02383041,38.35441155,40.17194233,30.275,27.94615385,23.009,13.40040984,0.927839453,0.678078995,0.818812077
41,FXA,75.70902262,78.27756882,47.13867732,46.63217163,28.57034529,29.07685099,19.88333333,24.85416667,23.61145833,14.41541667,0.951214224,0.610778916,0.768487602
42,MMP2,29.46800091,29.86605549,30.09780621,30.62701035,-0.629805296,-1.159009433,0,2.357692308,1.226,0.988709677,0.459548904,0.028834069,0.032496472
43,ER-BETA,45.62769957,43.55778694,36.13761653,36.27952385,9.490083032,9.348175716,16.8,14,12.35294118,8,0.87275,0.387021434,0.588053707
44,ROCK-1,73.51718044,78.33945847,47.88480372,46.9399147,25.63237673,26.57726574,17.24285714,18.56923077,15.691,10.38811475,0.840145673,0.345571469,0.518101407
45,FGFR1,60.36601257,59.48786545,38.18170404,37.62926483,22.18430853,22.73674774,29.475,24.5625,22.10625,13.48855932,0.949297629,0.605390166,0.744926363
