,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,91.36049271,91.65482712,61.62539402,60.69269943,29.73509869,30.66779327,24.22916667,21.80625,23.01770833,13.79830508,0.974109528,0.650629641,0.761516212
1,UPA,66.18534527,55.88041496,43.36270627,42.92378807,22.822639,23.2615572,29.85,29.85,19.9,8.955,0.709098787,0.445280998,0.705417523
2,CDK2,73.66589327,77.90003204,42.3735906,40.67706871,31.29230267,32.98882456,24.91666667,22.425,19.93333333,12.95666667,0.916500865,0.50732197,0.670061338
3,PIM-2,53.20422897,52.71234131,41.33398484,40.82312012,11.87024413,12.38110886,12.93214286,9.284615385,7.242,3.957377049,0.795265638,0.17011558,0.270720159
4,A2A,39.36675882,38.66222572,35.21979852,35.42088318,4.146960301,3.945875645,4.382142857,4.719230769,4.908,3.463306452,0.680918281,0.071819687,0.14768941
5,CTSK,42.9340363,42.09444427,41.79538677,41.61559296,1.138649535,1.318443346,4.410714286,2.375,3.705,4.97983871,0.500334728,0.060153832,0.124990707
6,TPA,78.66651392,78.51557922,47.19110782,46.28749084,31.4754061,32.37902308,29.075,29.075,24.22916667,13.30550847,0.969412289,0.6773426,0.817851612
7,JAK3,84.13068771,87.67066574,51.24299609,50.13272095,32.88769162,33.99796677,24.9375,24.9375,22.44375,10.9725,0.942480553,0.522989272,0.702738085
8,VEGFR2,39.93159814,39.39987946,31.799968,31.52779388,8.13163014,8.403804255,17.44285714,16.43653846,13.431,7.385080645,0.793691787,0.238988547,0.454363461
9,PDE5,56.62066231,56.90909576,49.35621503,49.8507309,7.264447277,6.769931412,4.385714286,4.723076923,6.14,3.466129032,0.752462121,0.11062899,0.162176552
10,PPARG,65.2726737,70.87175751,54.9619738,56.50130844,10.31069991,8.771365261,14.25,14.25,13.63043478,10,0.746840909,0.319203949,0.49330673
11,ADRB2,50.78720069,50.1992569,48.69126715,49.35750198,2.095933538,1.429698706,0,0,1.198958333,2.480603448,0.558955896,0.045483539,0.037451121
12,VEGFR1,72.02239704,72.71900558,53.45920618,52.9583168,18.56319086,19.06408024,14.25,11.875,9.913043478,7.5,0.809772727,0.225099254,0.389257025
13,KIF11,41.04965687,40.29089165,39.57936925,39.51661301,1.470287614,1.533043861,4.317857143,4.65,2.418,1.981967213,0.554116766,0.05147577,0.115136541
14,ERBB2,93.33840847,95.31616211,61.14462506,59.92127991,32.19378341,33.41712856,24.64583333,24.64583333,22.18125,13.30875,0.916863517,0.592886115,0.729092137
15,CATL,53.48276024,53.75607681,47.34612933,47.46983337,6.136630907,6.012926865,13.21071429,9.484615385,8.631,6.463306452,0.697338642,0.182240544,0.321534276
16,TP,41.06739411,39.18357849,34.00275935,32.70129013,7.064634764,8.366103983,4.2625,4.65,6.089285714,3.442788462,0.729908444,0.099454556,0.185649886
17,SIRT2,24.82290106,27.29524708,24.46830665,25.20734215,0.354594408,-0.38444109,0,0,0,0.499590164,0.531043257,0.033792652,0.001824944
18,TIE2,70.83753576,72.92240906,52.99365055,52.5579052,17.84388521,18.27963057,24.95833333,19.96666667,18.71875,11.98,0.811787565,0.464689525,0.644331371
19,HDAC8,34.44836779,34.86784363,35.82937448,35.55607224,-1.381006698,-1.107704449,0,0,0,0.497580645,0.434778057,0.026464614,0.004750965
20,GSK3B,81.24717417,81.06638718,54.07284975,53.42074966,27.17432442,27.8264245,17.21428571,18.53846154,18.075,8.889344262,0.890901288,0.362888339,0.550444085
21,ACE2,38.61466212,39.20560646,37.49178918,37.61787415,1.12287294,0.996787977,4.425,2.382692308,2.478,1.998387097,0.566784821,0.044685662,0.08851403
22,AR,57.29865408,56.16923904,45.16813931,44.90848541,12.13051477,12.39016867,16.075,13.77857143,11.12884615,6.332575758,0.841044776,0.405251797,0.699291538
23,NA,55.83309822,56.89025879,34.73337202,34.14896393,21.0997262,21.68413429,30.95,30.95,24.76,15.97419355,0.977671119,0.75754469,0.857455217
24,AKT1,70.0151545,70.71198273,48.36602686,46.98030853,21.64912765,23.03484597,9.841666667,12.30208333,7.38125,7.38125,0.869763365,0.196348722,0.287795935
25,PNP,66.30927782,74.24789429,41.10979896,41.58919144,25.19947886,24.72008638,30.65,30.65,25.746,10.87580645,0.912647555,0.587740535,0.802840126
26,ADAM17,54.42842503,53.11991692,49.15319266,49.38640976,5.275232365,5.042015266,13.16785714,9.453846154,7.374,3.964516129,0.649684609,0.128952483,0.275516244
27,MDM2,40.66995893,42.68699074,30.17278082,29.79530621,10.49717811,10.87465272,9.966666667,14.95,13.70416667,11.96,0.871237024,0.338564196,0.483252682
28,JNK1,72.97435536,78.47322845,53.06309052,52.33423996,19.91126485,20.6401154,14.9875,12.48958333,12.48958333,8.9925,0.814948231,0.27129674,0.423612421
29,COX2,45.95513411,46.28154755,42.38689504,42.14118576,3.568239068,3.813948345,0,0,1.191666667,1.995348837,0.672157702,0.072268697,0.031817707
30,QPCT,37.21843457,36.70967102,23.57493331,23.05788231,13.64350126,14.16055226,22.08928571,23.78846154,21.029,15.96129032,0.981203008,0.602491594,0.707977476
31,DHFR,50.77556648,51.51847649,38.94598381,39.32077026,11.82958267,11.45479622,8.735714286,14.11153846,14.676,9.862903226,0.873562975,0.307688032,0.467372252
32,JNK2,57.79933939,51.45640945,48.52727771,48.77387047,9.272061676,9.025468922,19.53333333,14.65,9.766666667,5.959322034,0.605410777,0.200612948,0.402138744
33,HMGR,64.46570017,68.04286575,39.20991019,39.52205658,25.25578998,24.94364359,30.875,30.875,30.875,18.42540323,0.962970711,0.890972973,0.956868703
34,FKBP1A,52.4050972,52.3701992,33.73603627,33.47364044,18.66906093,18.93145676,30.825,30.825,25.893,13.92096774,0.970305951,0.708172523,0.839468498
35,PI3KG,67.54697647,70.96243668,49.20413723,48.62391281,18.34283924,18.92306366,4.325,9.315384615,12.11,8.933606557,0.845025619,0.233829561,0.345981664
36,BRAF,61.33192568,60.66578102,47.37206736,46.35948944,13.95985832,14.97243624,8.635714286,6.975,8.463,6.441393443,0.816509837,0.149418862,0.254064617
37,JNK3,74.84081926,77.36077118,52.03710868,51.59496498,22.80371058,23.24585428,30.25,25.59615385,21.78,11.4057377,0.870021368,0.52584943,0.732068323
38,GR,48.2168788,48.87412453,43.29813384,42.58659744,4.918744957,5.630281353,8.735714286,4.703846154,4.892,2.958870968,0.65864328,0.080245054,0.163263899
39,PRKCQ,68.56014357,71.75931549,50.77848888,49.6169796,17.78165469,18.94316397,8.585714286,11.55769231,13.222,8.867213115,0.841028399,0.252711168,0.375475296
40,THROMBIN,89.37134876,87.9473381,56.73667748,55.78572083,32.63467129,33.58562794,30.275,25.61730769,18.165,14.39303279,0.937126388,0.587905493,0.70703902
41,FXA,74.90664244,75.09444809,50.73157854,50.93944931,24.17506389,23.96719313,19.88333333,19.88333333,22.36875,13.91833333,0.951040763,0.54393404,0.69157993
42,MMP2,31.56785132,32.32283592,32.03246686,32.56407166,-0.464615543,-0.996220338,0,0,0,0.988709677,0.479848229,0.029538991,0.009855315
43,ER-BETA,50.08258905,46.5713768,39.15435262,39.1724453,10.92823643,10.91014376,16.8,14,7.411764706,7,0.86559375,0.326067843,0.500958612
