,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,IGF1R,8.590606284,8.370729923,9.094558261,9.48931551,-0.503951977,-0.898709226,0,2.384615385,2.48,1.5,0.407,0.030072138,0.052919488
1,UPA,11.62065179,11.93597507,9.866569991,10.26650286,1.754081803,1.354148936,4.428571429,2.384615385,4.96,3.5,0.631989583,0.059949093,0.10817432
2,CDK2,10.91954222,11.12465954,10.23491589,10.71420956,0.684626329,0.205332661,0,4.769230769,3.72,2.5,0.7140625,0.071723903,0.10883909
3,PIM-2,14.1799083,13.154984,13.27482107,12.76151609,0.905087225,1.418392205,4.428571429,2.384615385,2.48,2,0.627635417,0.05544817,0.088096048
4,A2A,9.178666782,8.561264038,8.766178,8.601385593,0.412488783,0.577281189,4.428571429,2.384615385,2.48,2,0.537875,0.041661427,0.081175206
5,CTSK,7.833411777,7.331073999,7.56576536,7.393420935,0.267646417,0.439990842,4.428571429,2.384615385,1.24,0.5,0.55009375,0.038947419,0.064954481
6,TPA,10.19204547,10.67818832,10.15068452,10.58949471,0.04136095,-0.397449231,0,0,0,1,0.521395833,0.033122806,0.003587593
7,JAK3,13.78520138,13.47538137,13.28158492,13.17773008,0.503616466,0.607471299,0,0,1.24,2.5,0.615395833,0.048619494,0.036768085
8,VEGFR2,10.66755602,11.04030466,10.22069791,10.68477297,0.446858114,-0.017216945,0,0,0,3.5,0.6544375,0.059741987,0.033187584
9,PDE5,11.15227842,11.32036018,10.81081678,10.90798759,0.341461648,0.244290829,4.428571429,2.384615385,2.48,2.5,0.686895833,0.07058661,0.101178394
10,PPARG,12.36008773,12.56236553,12.30120862,12.50113726,0.058879107,-0.141049528,0,0,0,0.5,0.5691875,0.037562076,0.003971811
11,ADRB2,7.440336967,7.851274014,7.431180048,7.915437222,0.009156919,-0.475100255,8.857142857,4.769230769,2.48,2,0.487541667,0.047708989,0.128968378
12,VEGFR1,9.142670345,10.06367302,8.911526359,9.473070145,0.231143986,-0.330399799,0,0,2.48,1,0.545020833,0.037504524,0.035634139
13,KIF11,10.13975872,10.23470116,9.811375278,9.840126991,0.32838344,0.299631727,0,0,1.24,1,0.706291667,0.055561495,0.027724419
14,ERBB2,10.82796142,11.13341999,9.666940166,10.04785919,1.161021255,0.780102229,4.428571429,4.769230769,7.44,4.5,0.759979167,0.103762404,0.179325239
15,CATL,8.953950107,9.041870117,9.35818089,9.620042801,-0.404230783,-0.666092694,0,0,0,0,0.401145833,0.024307541,9.29E-09
16,TP,9.05668354,8.646584034,10.07423155,10.44896746,-1.017548014,-1.392283916,0,0,0,0.5,0.38084375,0.024311464,0.002711388
17,SIRT2,14.71623759,14.68120289,15.1745602,14.47271395,-0.45832261,0.243523645,4.428571429,2.384615385,1.24,1,0.4608125,0.033205413,0.058413433
18,TIE2,10.86318334,11.07609463,9.967224259,10.10910749,0.895959084,0.754075849,4.428571429,4.769230769,6.2,4.5,0.6470625,0.077273557,0.167433011
19,HDAC8,13.25895365,13.5532937,13.08837009,13.12213898,0.170583562,0.136814678,8.857142857,4.769230769,2.48,1,0.579354167,0.050654303,0.110403175
20,GSK3B,11.17952471,11.21536112,10.96352173,11.00010157,0.216002979,0.179423141,0,0,1.24,1.5,0.6049375,0.042658511,0.019638743
21,ACE2,12.81935589,12.95827293,12.42701829,12.5415287,0.3923376,0.277827191,0,0,0,1,0.657479167,0.051655774,0.011085105
22,AR,11.32657156,11.48230267,11.25994266,11.45985889,0.066628897,-0.133287334,0,0,0,0.5,0.485916667,0.028316592,0.002322173
23,NA,4.227763176,4.227763176,4.228834372,4.227763176,-0.001071196,0,0,0,0,14,0.499583333,0.016129032,0.109266197
24,AKT1,10.48388321,10.56040907,9.86082693,10.0159483,0.623056284,0.467934918,0,0,3.72,5,0.799520833,0.106609282,0.110142253
25,PNP,11.93889449,11.88095093,11.79918461,11.99402571,0.139709881,-0.055131221,0,0,0,0,0.49525,0.028842507,0.00012368
