,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,EGFR,147.3436923,138.0661671,100.1709218,103.8484524,47.17277045,43.49523987,22.05357143,16.625,11.115,6.971774194,0.673096234,0.19765313,0.419877491
1,VEGFR1,271.577297,237.5175849,204.2425909,201.7968276,67.33470608,69.78046942,31.46153846,16.9408284,10.06769231,5.581885856,0.600060433,0.246563588,0.440312745
2,CATL,81.62354875,78.33246435,67.98626416,67.03810243,13.63728459,14.58544632,0,2.384615385,2.48,3.5,0.6884375,0.069313105,0.096757261
3,A2A,173.7203226,147.6433415,152.7726406,154.8515606,20.947682,18.86876202,8.835714286,9.515384615,6.185,3.990322581,0.532727652,0.118075524,0.253796005
4,THROMBIN,181.4990762,170.5362453,128.7271709,125.4824031,52.7719053,56.01667315,13.26428571,11.90384615,11.142,5.491129032,0.776940735,0.188534162,0.335436226
5,UPA,140.4598286,140.1858779,115.5797451,116.4713316,24.88008347,23.98849695,0,2.369230769,2.464,1.987096774,0.710696309,0.05878014,0.074274897
6,PPARG,164.0033676,156.7410028,151.1616852,149.9260467,12.84168241,14.07732099,13.275,7.148076923,3.717,1.998387097,0.543890742,0.068574397,0.186249979
7,ERBB2,266.8503995,262.8518175,246.7557451,240.1453472,20.09465438,26.70505224,0,0,0,0.998387097,0.614357262,0.042115278,0.010814902
8,VEGFR2,154.6133764,147.0048525,122.0545155,119.9617831,32.55886088,34.65159327,4.417857143,4.757692308,4.948,3.990322581,0.67059315,0.099065953,0.163463332
9,SRC,114.489662,118.4303696,157.3395079,159.989102,-42.84984586,-45.49943997,0,0,0,0,0.255942452,0.019696495,1.71E-08
10,TPA,231.6665322,209.1874307,187.6015087,183.5163121,44.06502351,48.1502201,8.8,9.476923077,6.16,2.980645161,0.630620805,0.08152683,0.219060151
11,PRKCQ,211.8219143,196.2229244,162.7414322,157.5874862,49.08048211,54.23442808,13.24285714,7.130769231,4.944,4.485483871,0.692872074,0.133142752,0.224541592
12,MDM2,106.2188998,103.1849452,78.64110598,75.85129674,27.57779379,30.36760303,8.835714286,7.136538462,4.948,3.990322581,0.818859649,0.118122901,0.192683538
13,CTSK,78.81961484,72.3115916,75.08438718,71.21617202,3.735227657,7.603442813,0,2.380769231,1.238,0.998387097,0.552587646,0.036840533,0.037962038
14,TIE2,203.3185943,168.8964312,203.4053973,204.2245565,-0.086803049,-0.905962203,13.275,9.530769231,4.956,2.497983871,0.414053378,0.086609506,0.212760316
15,PPARA,262.2268463,287.2359634,196.3713627,199.8356438,65.85548365,62.39120249,8.857142857,9.538461538,7.44,5,0.729791667,0.129303957,0.259641485
16,JNK2,178.765978,146.8351669,143.236983,140.7991579,35.52899496,37.96682006,13.275,7.148076923,4.956,2.497983871,0.546601334,0.103034485,0.208565421
17,GSK3B,223.0724274,194.7340492,186.8244009,179.6159171,36.24802643,43.45651029,4.403571429,4.742307692,6.165,3.480241935,0.569341995,0.083294315,0.182642355
18,SIRT2,131.5031657,137.2812486,128.6511952,130.6571256,2.851970505,0.8460401,0,0,0,0,0.528051839,0.032432371,0.0010257
19,ACE,153.7903193,153.9658455,123.2795248,121.3855152,30.51079444,32.40480406,17.68571429,14.28461538,11.142,6.489516129,0.678234558,0.230866368,0.40984258
20,TK,212.7666674,206.8299405,217.687505,220.0341948,-4.920837626,-7.267527432,0,0,0,0.499193548,0.491694491,0.030042351,0.003943189
21,PR,165.0317106,148.4728482,139.8324778,133.8595097,25.19923275,31.17220086,8.835714286,7.136538462,6.185,2.992741935,0.610735171,0.072743094,0.19636865
22,ACHE,111.1373242,118.7371158,92.1105903,100.376268,19.02673391,10.76105623,4.414285714,7.130769231,8.652,3.987096774,0.553762542,0.079409874,0.22695872
23,AURKB,177.0014127,184.7193732,113.4425673,105.6637832,63.55884544,71.33762953,13.17857143,9.461538462,9.84,8.431451613,0.770210084,0.245321207,0.382682772
24,PNP,289.1409963,291.4978385,194.0811957,191.2676697,95.05980065,97.87332661,13.23214286,9.5,9.88,6.473790323,0.839288703,0.189245133,0.333669211
