,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,EGFR,624.1792445,588.3117466,396.2314853,398.3484565,227.9477592,225.830788,30.875,26.125,18.525,9.959677419,0.82251046,0.457893431,0.67107572
1,VEGFR1,676.6853785,654.9959148,567.4304692,570.6418872,109.2549093,106.0434912,26.96703297,14.52071006,11.32615385,5.581885856,0.644824311,0.22420897,0.419544336
2,CATL,397.7871838,401.5881938,340.2713975,340.1175654,57.51578632,57.66961836,8.857142857,9.538461538,4.96,6.5,0.754854167,0.170484513,0.253338824
3,A2A,452.8362959,464.7807767,442.8842324,456.4870666,9.952063571,-3.650770625,8.835714286,9.515384615,4.948,3.491532258,0.52157477,0.098124263,0.231560761
4,THROMBIN,734.743242,744.5325802,500.0512865,495.4322152,234.6919554,239.3110268,26.52857143,23.80769231,18.57,11.98064516,0.892237062,0.487041171,0.657314731
5,UPA,400.2288251,408.8826249,303.7414373,300.0930719,96.48738778,100.1357532,30.8,23.69230769,13.552,8.941935484,0.728187919,0.369732941,0.572558138
6,PPARG,661.5336703,690.2067554,601.689459,612.0561842,59.84421135,49.47748615,13.275,7.148076923,7.434,3.497177419,0.655796497,0.148580746,0.256701029
7,ERBB2,832.7660444,860.4310294,620.2004025,621.799443,212.5656419,210.9666015,30.95,26.18846154,18.57,11.98064516,0.863000835,0.523015582,0.696527655
8,VEGFR2,547.9587934,515.8994225,425.4316746,420.7126238,122.5271188,127.2461696,17.67142857,14.27307692,11.133,6.484274194,0.778508772,0.240300686,0.396492174
9,SRC,432.324062,425.146693,376.9619797,375.9371731,55.36208232,56.38688894,8.85,7.148076923,4.956,4.496370968,0.630608841,0.124020977,0.223450193
10,TPA,664.3426004,673.0925758,475.9057419,483.1913075,188.4368585,181.151293,17.6,18.95384615,12.32,8.44516129,0.844442114,0.29515018,0.458374416
11,PRKCQ,726.9838535,712.1913978,537.4038775,511.7568115,189.579976,215.227042,8.828571429,7.130769231,12.36,6.977419355,0.738921405,0.170196078,0.330761468
12,MDM2,351.6681127,347.5581545,291.5415267,287.6278372,60.12658594,64.04027543,4.417857143,7.136538462,6.185,6.484274194,0.795196324,0.128873967,0.205205913
13,CTSK,268.8792508,272.4062429,251.9739989,249.6809248,16.90525193,19.19832604,0,0,1.238,0.998387097,0.626732053,0.043508336,0.021971835
14,TIE2,739.5491993,663.72769,561.2611152,564.6254662,178.2880841,174.9237332,30.975,28.59230769,18.585,8.493145161,0.675166806,0.420129808,0.679525377
15,PPARA,757.1816933,813.1347043,586.0886862,592.2653567,171.0930071,164.9163366,22.14285714,23.84615385,17.36,11.5,0.81,0.404382167,0.601474529
16,JNK2,647.7992525,552.8604242,563.134036,572.6073875,84.66521645,75.19186501,22.125,11.91346154,7.434,3.497177419,0.512906589,0.16041674,0.322857326
17,GSK3B,616.6442917,547.2246428,490.8196287,488.5135654,125.8246631,128.1307263,13.21071429,14.22692308,9.864,6.463306452,0.68357083,0.199439224,0.375873318
18,SIRT2,244.2781616,250.4869915,254.9783835,259.7649053,-10.70022193,-15.48674375,0,0,0,0,0.414339465,0.024880822,5.75E-05
19,ACE,446.4434343,434.6771936,413.9651473,418.034613,32.47828699,28.40882138,26.52857143,19.04615385,12.38,5.990322581,0.595805509,0.228963534,0.459414227
20,TK,563.7258971,598.8556058,533.5877474,550.5037934,30.13814963,13.22210369,8.842857143,4.761538462,3.714,1.497580645,0.549102671,0.050156952,0.135559572
21,PR,486.7460063,446.7491924,418.8596408,414.3810513,67.88636547,72.36495498,22.08928571,11.89423077,8.659,3.491532258,0.624352548,0.183616092,0.339969898
22,ACHE,330.4155905,355.2123067,358.4017847,408.3963723,-27.9861942,-77.98078184,0,0,0,0,0.432002508,0.02618211,8.32E-06
23,AURKB,681.4714305,668.7481974,362.608816,341.0270352,318.8626145,340.4443953,30.75,28.38461538,23.37,13.88709677,0.925042017,0.619004445,0.770026556
24,PNP,650.2729194,614.7045401,425.4106755,422.9946281,224.8622439,227.2782912,26.46428571,23.75,17.29,9.959677419,0.928828452,0.449335588,0.607752805
25,MMP2,465.0653566,491.3684838,432.3713801,440.9562811,32.69397645,24.10907546,13.24285714,9.507692308,4.944,4.485483871,0.65,0.090283888,0.196435767
26,ER-BETA,547.8183096,550.3489034,427.4384408,422.2499516,120.3798689,125.568358,17.71428571,14.30769231,8.68,6.5,0.806041667,0.22075607,0.35959306
27,AKT1,518.796528,508.8380224,446.3508272,454.2340084,72.44570073,64.56251958,8.828571429,9.507692308,8.652,4.485483871,0.658716555,0.117161267,0.27513718
28,JAK3,743.1699398,707.3146823,393.0204749,372.1451864,350.1494649,371.0247534,26.48571429,26.14615385,19.776,11.46290323,0.924811873,0.521012345,0.682521676
29,RXR,790.3489503,787.7183793,537.5058365,540.6424694,252.8431138,249.7064809,30.95,30.95,29.712,17.97096774,0.994949917,0.897813122,0.938740449
30,AR,646.8030903,626.5683957,472.331694,470.294752,174.4713964,176.5083384,22.10714286,21.42692308,14.856,6.988709677,0.796202003,0.317925405,0.520608984
31,DHFR,470.020961,495.5328664,357.4585169,358.2298139,112.5624441,111.7911471,26.50714286,21.40961538,17.318,9.975806452,0.795154553,0.41479742,0.614383914
32,PIM-1,538.8863852,521.4733966,421.8875108,412.0761609,116.9988744,126.8102242,8.814285714,11.86538462,8.638,5.970967742,0.736829983,0.141246859,0.302721541
33,JNK3,756.5332826,760.0690296,556.5437418,564.4708565,199.9895408,192.0624261,30.975,26.20961538,17.346,8.493145161,0.768974145,0.399862682,0.620391239
34,INHA,357.1513945,372.3517365,314.5374899,320.7186687,42.61390463,36.43272586,8.85,7.148076923,7.434,3.996774194,0.695829858,0.12514022,0.24089748
35,PI3KG,593.7514375,574.9214056,473.8015264,468.6636115,119.9499111,125.087826,13.24285714,11.88461538,8.652,4.983870968,0.742119565,0.168994963,0.319493064
36,HIV1PR,960.6656106,967.5340954,582.8381527,577.4599047,377.8274579,383.2057059,26.55,28.59230769,27.258,16.48669355,0.923936614,0.74454339,0.856102686
