,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,21.44595412,21.12946415,20.23221457,20.19604015,1.21373955,1.249913963,3.318421053,2.488815789,2.488815789,1.82994723,0.635494449,0.025532143,0.05368604
1,CP3A4,25.60748925,26.34607315,24.16650249,24.82307243,1.440986761,0.784416816,2.34627451,1.173137255,1.466421569,2.46770107,0.587552111,0.022338934,0.039756818
2,AA2AR,31.2088432,31.24220181,27.34582469,27.43543339,3.863018502,3.773409808,10.781639,10.98897822,8.9155861,6.01659751,0.794872111,0.072854808,0.185046107
3,ADRB1,33.28548874,33.38438797,29.73678854,29.93690014,3.548700202,3.3485886,20.90838207,13.7557774,10.5191239,6.877888702,0.784637465,0.107299736,0.248129666
4,CXCR4,20.00464084,19.93681431,18.48319748,18.47883224,1.521443363,1.525808597,0,2.461428571,1.248550725,2.489884393,0.673737522,0.020944054,0.033001112
5,GRIA2,15.97611738,15.37725353,16.67690617,16.74483776,-0.70078879,-0.768720379,1.264767932,1.897151899,1.580959916,1.011814346,0.438337677,0.01194053,0.027302885
6,GRIK1,28.00501609,27.79774475,16.90191147,16.63252449,11.10310462,11.3724916,60.01397787,55.99763558,36.62264572,16.80135581,0.955751784,0.680047353,0.798203478
7,AKT1,35.57077169,35.44568253,26.40528376,24.80039406,9.165487926,10.77037763,1.358605558,1.018954169,0.681330549,3.071488642,0.870633379,0.072244799,0.033614403
8,MK10,50.95169902,50.43927574,35.56502104,35.31106949,15.38667798,15.64062953,43.59983032,33.17378394,22.91623932,13.04384158,0.897987166,0.402387837,0.538844123
9,MK14,41.51237103,40.01952553,32.78499127,31.74080276,8.727379764,9.771568269,2.075440131,1.902486787,1.470103426,7.056496445,0.786786423,0.063979635,0.066940414
10,KIF11,32.84310405,33.40592194,28.1340885,28.28796101,4.70901555,4.555143044,15.43743842,12.00689655,10.29162562,8.084873036,0.812724078,0.118721911,0.24615592
11,XIAP,26.42874348,25.12944603,19.4214499,19.08465385,7.007293578,7.344089622,36.90925926,33.64716981,20.48047619,10.17091255,0.839201166,0.321128796,0.526135248
12,ESR1,34.07247958,34.53665924,28.11634725,28.66715813,5.95613233,5.40532145,44.58239322,29.4284088,18.01224239,8.767014052,0.725078024,0.337982385,0.494294135
13,MCR,34.05883771,34.39615822,28.77391883,28.86273098,5.284918875,5.196106728,24.77541371,17.88036933,15.39614995,10,0.858787242,0.232631178,0.362564102
14,THB,41.58019471,42.43340683,36.31531833,36.75867081,5.264876385,4.821523907,23.12927951,18.31067961,13.09638012,8.719371244,0.806017043,0.169929308,0.299046047
15,PPARD,41.54517501,41.23978806,37.03296153,37.19410324,4.512213486,4.351071771,10.71554233,11.2167,10.17811667,6.241486378,0.85513615,0.109889585,0.225143861
16,FNTA,25.27729984,25.16858387,23.4291415,23.41065025,1.848158342,1.866649589,4.713566204,3.880758776,3.45893717,3.276348397,0.683165509,0.030019689,0.076019654
17,HDAC8,31.04913129,32.134655,24.15854424,23.82748222,6.890587055,7.221649069,34.69934641,33.27245739,26.09781828,13.99736347,0.901464395,0.344671299,0.549493035
18,HIVINT,22.22681282,22.45673466,20.93107219,20.98639107,1.295740632,1.240421753,0,1.983529412,1.498666667,2.194792899,0.648903522,0.024995507,0.0348551
19,KITH,27.9356321,28.63526917,27.92647517,28.10897446,0.009156933,-0.173342353,0,0,0.86440678,0.349315068,0.525835642,0.020560916,0.007906669
20,PARP1,39.28107613,39.49602509,27.49747669,27.88815308,11.78359943,11.39292305,36.54597036,29.47255674,21.2549712,12.0798906,0.917149939,0.325778656,0.49613222
21,PUR2,52.19296936,51.40004158,36.83664453,36.88698196,15.35632483,15.3059874,54.88,54.88,39.91272727,19.08869565,0.993325909,0.868315428,0.908492656
22,DPP4,28.62144414,28.15596581,24.83942278,24.91951561,3.782021356,3.701928527,28.4136239,17.80130654,10.59986376,5.364300589,0.689563798,0.147406315,0.259266269
23,FA10,68.72096506,68.90719604,47.82029623,46.44895935,20.90066883,22.27200571,2.230297771,5.761602575,9.757552747,9.720670391,0.896052315,0.191287805,0.242790896
24,LKHA4,36.33622079,36.9248848,32.52837535,33.18137169,3.807845438,3.154849103,5.739945101,6.958943751,7.286458807,5.145663883,0.782672529,0.068418616,0.145063697
25,MMP13,38.75958508,39.07143402,35.20681424,35.25717735,3.55277084,3.502407731,10.46120546,8.565979114,6.730412161,5.664035169,0.763076618,0.071509153,0.161046504
,,,,,,,,18.419,15.766,11.647,7.290,0.774,0.187,0.271
