,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score,
0,CP2C9,-8.476826417,-8.7216,-8.241667742,-8.348255,-0.235158674,-0.128571417,1.659210526,1.659210526,1.244407895,1.164511873,0.429629443,0.014190304,0.030632965,
1,CP3A4,-8.759896412,-8.86129,-8.441532332,-8.527855,-0.31836408,-0.232041412,0,0,0.293284314,0.23501915,0.425529093,0.011631018,0.003787009,
2,AA2AR,-8.991905373,-8.90073,-8.359841281,-8.411025,-0.632064093,-0.580880373,0,0.207339212,0.103669606,0.20746888,0.329939179,0.010064412,0.002403403,
3,ADRB1,-9.448963765,-9.52507,-8.434730705,-8.42546,-1.01423306,-1.023503765,0,0,0.202290844,0.080916338,0.2350045,0.009048348,0.003040317,
4,CXCR4,-7.87248325,-7.818995,-7.4671101,-7.433535,-0.40537315,-0.43894825,0,0,0,0,0.393269231,0.008629831,7.61E-05,
5,GRIA2,-5.279126456,-5.239835,-5.033152104,-5.020985,-0.245974352,-0.258141456,1.264767932,1.264767932,0.948575949,0.758860759,0.405390124,0.010634496,0.019037733,
6,GRIK1,-7.171013861,-7.19135,-6.584460134,-6.51088,-0.586553727,-0.660133861,0,0,0.494900618,0.988315048,0.321179529,0.010768399,0.008949771,
7,AKT1,-9.166451331,-9.19016,-8.2610268,-8.25828,-0.905424531,-0.908171331,0,0.679302779,0.340665274,0.204765909,0.252331898,0.010610243,0.006461197,
8,MK10,-9.148961635,-9.058775,-8.292573216,-8.36081,-0.856388419,-0.788151635,0,0,0,0.1918212,0.27088166,0.009538166,0.003153434,
9,MK14,-9.043789394,-9.011635,-8.272073373,-8.274385,-0.771716022,-0.769404394,0,0,0.086476672,0.103772007,0.288685503,0.010025092,0.001262903,
10,KIF11,-9.810599397,-9.713705,-8.05986144,-8.02103,-1.750737957,-1.789569397,0,0,0,0,0.107846741,0.008734927,1.86E-09,
11,XIAP,-6.6294362,-6.605935,-5.861923182,-5.82522,-0.767513018,-0.8042162,0,0,0,0,0.194641399,0.010776298,2.31E-05,
12,ESR1,-9.821899008,-9.69857,-8.085964464,-8.09293,-1.735934544,-1.728969008,0,0,0,0.156553822,0.178551071,0.010082161,0.001885254,
13,MCR,-7.123992447,-7.113205,-6.11859855,-6.417395,-1.005393896,-0.706597447,0,0,0.530901722,0.425531915,0.378707693,0.013595601,0.008364588,
14,THB,-10.40788447,-10.73653,-7.587617523,-7.91154,-2.820266943,-2.496344466,0,0,0,0,0.170490056,0.007476972,3.88E-06,
15,PPARD,-9.608516875,-9.56247,-8.583199386,-8.61692,-1.025317489,-0.991596875,0,0,0,0.083219818,0.222426982,0.011300349,0.000156896,
16,FNTA,-8.914914223,-8.82371,-8.485341984,-8.45635,-0.429572239,-0.458564223,0,0.506185927,0.421821606,0.270214301,0.374387704,0.009853809,0.007044764,
17,HDAC8,-8.099541176,-8.145565,-6.682176499,-6.638205,-1.417364678,-1.461336176,0,0,0,0.235249806,0.128437753,0.008547651,0.001476122,
18,HIVINT,-7.0551074,-7.09493,-6.42725887,-6.473685,-0.62784853,-0.5814224,1.983529412,0.991764706,0.499555556,0.399053254,0.273816225,0.009716445,0.016434937,
19,KITH,-8.262576316,-8.34781,-7.2291298,-7.196615,-1.033446516,-1.065961316,0,0,0,0,0.232203755,0.011805486,0.000119033,
20,PARP1,-9.308430177,-9.307915,-7.852711925,-7.8305,-1.455718252,-1.477930177,0,0,0,0.039348178,0.192704279,0.00937939,0.000665857,
21,PUR2,-8.5243488,-8.554935,-7.598777832,-7.58225,-0.925570968,-0.9420988,0,0,0,0,0.186262064,0.010352038,6.26E-15,
22,DPP4,-8.268271857,-8.14684,-7.724446063,-7.70209,-0.543825794,-0.566181857,0,0,0.093804104,0.225075549,0.369884461,0.009200564,0.00231013,
23,FA10,-10.32412443,-10.33316,-8.672376505,-8.68751,-1.651747928,-1.636614432,0,0,0,0,0.144731324,0.014110185,3.36E-07,
24,LKHA4,-10.70659251,-10.87955,-7.433304498,-7.6027,-3.273288016,-3.103892515,0,0,0,0,0.083936821,0.009204505,7.12E-06,
25,MMP13,-9.455481836,-9.58145,-8.51443551,-8.569145,-0.941046326,-0.886336836,0,0,0.08740795,0.13985272,0.274657126,0.009403823,0.001187957,
,,,,,,,,0.189,0.204,0.206,0.227,0.264,0.010,0.005,
