,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,6.465843351,6.615699262,6.424371006,6.448317099,0.041472345,0.017526252,0,0,0,0.166380827,0.529045253,0.016612656,0.001392091
1,CP3A4,6.197440261,6.262555485,5.731160744,5.761339393,0.466279517,0.436100869,5.865196078,4.105637255,4.692156863,3.759992144,0.66979029,0.032893789,0.092187144
2,AA2AR,7.456701115,7.472029318,7.754714369,7.779887508,-0.298013254,-0.323186393,0,0,0,0,0.355551388,0.01042715,2.66E-05
3,ADRB1,8.664414444,8.75375507,8.375636874,8.379310763,0.288777569,0.285103681,0,0,0.404757714,1.052370056,0.643736447,0.022318021,0.008703005
4,CXCR4,7.242788009,7.118559571,7.478679783,7.487238132,-0.235891774,-0.244450123,0,0,0,0.497976879,0.396909865,0.009095429,0.001684918
5,GRIA2,6.934068437,6.860455655,6.922816432,6.8956273,0.011252005,0.038441137,0,0,0.316376582,0.253101266,0.504466037,0.012337118,0.00347011
6,GRIK1,6.7273446,6.851298145,6.428887853,6.450864845,0.298456747,0.276479755,0,0,0,0.988166384,0.61527106,0.020607304,0.007899512
7,MK10,6.751079586,6.848095793,6.353543435,6.419648082,0.397536151,0.331431504,0,0.947680995,0.954700855,1.150755495,0.677086005,0.024750714,0.018727307
8,AKT1,7.763277245,7.817824839,6.643835399,6.678037301,1.119441845,1.085239944,27.88972859,22.44783033,15.69216036,10.29609749,0.889213262,0.224738623,0.394664229
9,MK14,7.007544718,7.020046529,6.215040977,6.263351808,0.792503741,0.744192909,4.47590145,4.488164194,4.753608536,4.636423578,0.79660472,0.053457168,0.103860081
10,KIF11,6.590974662,6.849315049,6.448239565,6.492684421,0.142735096,0.09829024,6.863054187,6.005172414,6.005172414,3.957563482,0.567898314,0.039274507,0.117811985
11,XIAP,6.480810566,6.64985976,5.116739172,5.126269563,1.364071394,1.354541003,38.88888889,34.66981132,28,15.37072243,0.940856311,0.494866289,0.647288225
12,ESR1,7.491534456,7.446731582,6.923391031,6.982206953,0.568143425,0.509327503,4.680924627,4.964392943,4.311183345,2.77486911,0.722784136,0.044170775,0.097199407
13,MCR,7.396704316,7.368924574,6.494839056,6.495135237,0.90186526,0.901569079,14.4605989,9.471497391,9.561702128,7.634819189,0.888336095,0.129118572,0.236569157
14,THB,8.196490978,8.376691623,7.99010493,8.023352032,0.206386048,0.173138945,3.859478794,3.859478794,2.894609096,2.133944624,0.612540562,0.024596103,0.062808696
15,PPARD,7.328362714,7.384604226,6.815385212,6.842323512,0.512977502,0.486039202,4.956349206,6.245,5.412333333,4.579666667,0.73157483,0.062367187,0.135869712
16,FNTA,6.623597795,6.668165962,6.17865151,6.183730859,0.444946285,0.439866937,2.357797453,2.19358562,2.617941428,2.600551858,0.732403272,0.025814917,0.045810492
17,HDAC8,6.199657391,6.181207009,5.971151457,6.006473095,0.228505935,0.193184296,0,1.751346894,2.63935377,1.999811676,0.585732381,0.020566416,0.04318784
18,HIVINT,4.108568713,4.057687903,4.663604501,4.701720701,-0.555035788,-0.593151988,0,0,0,0,0.310342857,0.009619233,0.000159121
19,KITH,6.431608935,6.57829781,6.451609277,6.498560269,-0.020000342,-0.066951334,0,0,0,0,0.518885811,0.021077964,0.000680437
20,PARP1,7.21883327,7.235229835,6.699826164,6.748828417,0.519007106,0.470004853,5.108074726,4.518681488,3.640540227,3.385826772,0.708854584,0.039076952,0.08744751
21,PUR2,6.801926358,6.749617711,5.611362098,5.578592989,1.190564259,1.223333368,0,3.925714286,4.996363636,9.956521739,0.951616012,0.152270415,0.142717277
22,DPP4,7.452145862,7.426187035,6.489258137,6.5270977,0.962887725,0.925048161,11.2196926,10.87183707,7.966432333,5.738596869,0.799669514,0.058979722,0.160318132
23,FA10,7.926945117,7.912858587,6.94357413,6.992740366,0.983370987,0.934204752,12.96885635,13.01373129,11.0616716,7.446724765,0.861254686,0.123289137,0.250151124
24,LKHA4,6.321233412,6.59636302,5.663527294,5.727108376,0.657706118,0.594125036,0,0.579851691,0.874284156,1.520151731,0.716580715,0.037909799,0.025045127
25,MMP13,7.492479027,7.491754507,6.961873665,7.008738266,0.530605362,0.483740761,4.192141192,2.969433344,3.056769619,2.831193291,0.697967948,0.031222762,0.066748619
,,,,,,,,5.684103194,5.270340281,4.609696846,3.643547243,0.670191244,0.066979182,0.105862609
