,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,6.917580557,7.071144581,6.706976381,6.817998886,0.210604176,0.099581671,3.312719298,4.140899123,3.312719298,2.830709877,0.599945065,0.035724147,0.073459523
1,CP3A4,7.363742164,7.491065502,7.198522427,7.297475338,0.165219737,0.066266826,2.340588235,1.755441176,2.056583805,2.234732486,0.600072236,0.023693928,0.046109342
2,AA2AR,9.004096841,9.045801163,8.981211227,9.025509834,0.022885614,-0.021412993,0,0.208055556,0.208055556,0.416666667,0.505839976,0.015139171,0.006252386
3,ADRB1,9.38900329,9.392015457,9.512012001,9.587052345,-0.123008711,-0.198049055,1.607437397,1.61742148,1.010888425,0.48582996,0.421530289,0.012500595,0.019931407
4,CXCR4,7.477905488,7.510733366,7.553892939,7.583267689,-0.075987451,-0.105362201,0,0,0,0.497543353,0.435314428,0.009277351,0.001788311
5,GRIA2,6.157375342,6.224277735,5.849264767,5.880998611,0.308110574,0.27637673,0,1.276282051,1.922433215,2.304990996,0.659957374,0.021913596,0.036481101
6,GRIK1,6.268863076,6.346441269,6.185346649,6.143270016,0.083516427,0.12559306,0,0,0,0.201776069,0.561929754,0.016823543,0.001335521
7,AKT1,8.348915138,8.379878998,8.120744829,8.178964615,0.228170309,0.169950523,0,0.681139922,0.853966469,1.163478239,0.621246438,0.024284021,0.021077521
8,MK10,8.397249579,8.390419483,8.218431464,8.259757042,0.178818116,0.137492537,0,0.95924225,1.918484501,2.494029851,0.60191577,0.022606512,0.038296689
9,MK14,8.122359584,8.160625935,7.643837359,7.693049669,0.478522225,0.429309914,7.946233697,7.600745275,7.438218398,5.948938146,0.778961655,0.067169842,0.15847176
10,KIF11,9.243993052,9.322165012,8.886877466,8.952142715,0.357115586,0.291850337,0,0,1.284605911,2.411712247,0.690013212,0.032054345,0.0224181
11,XIAP,7.325110788,7.406125546,7.163239618,7.218941689,0.16187117,0.1061691,0,0,0,0,0.611810043,0.02276395,0.000288684
12,ESR1,9.088504801,9.117058277,8.931875038,9.001991272,0.156629763,0.086513529,0.521964597,0.521964597,0.392407752,0.471114178,0.565055871,0.019167103,0.012239207
13,MCR,8.268448507,8.25951004,8.063224442,8.110786438,0.205224064,0.157662069,0,0,0,0.215053763,0.619492839,0.022233503,0.001471367
14,THB,9.824041561,9.860134125,9.5168678,9.581707001,0.307173761,0.24233456,11.54931017,5.774655084,4.359673375,3.104323865,0.678959698,0.035913314,0.10223984
15,PPARD,9.175245392,9.227323055,8.828587103,8.851869106,0.346658289,0.323376286,0,0.4154,0.6231,1.830689103,0.759212895,0.046029078,0.026197181
16,FNTA,8.687600407,8.730467796,8.508018916,8.544916153,0.179581491,0.142684254,4.049766112,3.206064839,3.293601891,2.330408136,0.614182403,0.019257564,0.056051291
17,HDAC8,5.665442071,5.684113264,5.349354754,5.39500165,0.316087317,0.270440421,2.310675381,4.081473337,3.514830157,2.584823308,0.696791649,0.031845273,0.069002933
18,HIVINT,4.937577252,4.976322651,4.804896465,4.857630968,0.132680788,0.079946284,0,0,0.498962963,0.199881306,0.581857294,0.017374869,0.008048393
19,KITH,7.126529886,7.108429432,7.077279842,7.134694099,0.049250044,-0.008164213,0,0,1.728218852,0.69838981,0.519178782,0.021551699,0.018935728
20,PARP1,8.426301658,8.485359669,7.947536317,7.993513584,0.478765341,0.432788074,12.34815999,7.966554833,5.676170319,3.943444642,0.708975952,0.064366447,0.14755875
21,PUR2,8.17112874,8.197999954,7.470538903,7.483908415,0.700589838,0.687220325,0,5.88,10.976,14.31652174,0.958158872,0.207901665,0.236335998
22,DPP4,8.38660657,8.448466301,8.045500219,8.103923798,0.341106351,0.282682772,1.87783771,1.690053939,1.971729596,2.631515321,0.666487085,0.023627362,0.042401649
23,FA10,9.429906742,9.453952789,9.016635522,9.062971592,0.41327122,0.36693515,16.71014807,14.48212833,11.63250373,6.480131424,0.730581271,0.170203157,0.339611594
24,LKHA4,8.507979538,8.586097717,8.534072132,8.585302353,-0.026092594,-0.077322815,0,0,0,0,0.475792374,0.015227913,7.00E-06
25,MMP13,9.121038495,9.128769875,9.058939416,9.085882187,0.062099079,0.035156308,1.045399045,0.873476656,0.611433659,0.908897896,0.539862732,0.016152079,0.016587452
,,,,,,,,2.523855373,2.428115325,2.510945687,2.334830861,0.623197152,0.039030847,0.057792259
