,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,34.06591791,33.17044067,31.10845528,31.05808067,2.957462628,3.007837232,3.317982456,3.317982456,3.317982456,2.827726473,0.610145512,0.027906372,0.07150945
1,CP3A4,17.6172946,16.96421337,14.68776257,14.94725227,2.929532022,2.670042323,11.72352941,11.13735294,7.620294118,3.999331104,0.610991736,0.049671401,0.16619362
2,AA2AR,32.13955514,32.38363647,29.98258498,29.95854187,2.156970161,2.18101327,0,0.20720306,0.31080459,0.995819463,0.636224144,0.02103434,0.009545336
3,ADRB1,33.95693189,34.3289299,30.5656633,30.44119644,3.391268593,3.515735449,2.412655571,3.236854679,2.832247844,3.236854679,0.69078465,0.032045515,0.062650292
4,CXCR4,22.06484675,21.98117924,19.42883216,19.01070404,2.636014597,3.054142714,0,2.456428571,1.246014493,2.999127907,0.679861724,0.020341273,0.034633871
5,GRIA2,29.42066829,28.38746929,28.35342179,27.91469955,1.067246496,1.505968734,1.264029536,1.896044304,1.264029536,1.76964135,0.545098616,0.01546948,0.030555089
6,GRIK1,24.61933293,24.56909561,23.08009693,22.94554329,1.539236002,1.673789638,1.933605125,0.981232452,0.49430507,1.386138614,0.616488427,0.021510461,0.022465205
7,MK10,46.84479754,47.83719254,37.76836687,38.20901871,9.076430666,8.635778831,17.04298643,11.5315729,8.168197474,6.534557979,0.819161629,0.107716195,0.203310574
8,AKT1,45.92168835,46.22533035,36.82189191,36.39798737,9.099796444,9.523700988,2.040224281,2.720299041,2.557893128,3.617315212,0.810673701,0.056797405,0.067991218
9,MK14,44.36250109,45.02575874,33.89969159,34.2515831,10.46280949,10.11091799,36.4787755,28.98690809,20.04222498,10.92855175,0.874995907,0.31507077,0.468020754
10,KIF11,38.31856815,39.38347626,34.52266656,34.91262817,3.795901586,3.405939974,5.145812808,2.572906404,3.001724138,2.580278629,0.689179322,0.035408804,0.069723773
11,XIAP,29.58447197,29.41058064,26.58207452,26.12648964,3.002397452,3.45798233,0,0,0,0.797414449,0.732076609,0.036821615,0.00753086
12,ESR1,39.90310757,43.8095417,32.0182688,32.92788315,7.884838766,6.975224423,16.63538477,15.14726682,12.95811518,8.79163497,0.727489039,0.141074264,0.302537016
13,MCR,41.04594981,40.69794846,35.68569503,36.32612228,5.360254784,4.719827529,4.175228992,4.254006898,4.831336406,4.072038922,0.705690843,0.047449228,0.10449388
14,THB,37.09746109,38.32236099,36.46664727,37.15361023,0.630813821,-0.05614914,0,0,0,0.775568911,0.529815969,0.01359516,0.006466217
15,PPARD,45.61057248,45.16243172,34.36733589,35.18846512,11.24323658,10.42210736,27.25555556,21.64586667,14.56933333,8.7416,0.886613461,0.251581669,0.394580031
16,FNTA,28.62544066,28.66536903,24.47845816,24.67585373,4.146982505,3.949586934,13.46613855,10.96223803,8.862620726,6.283421397,0.763132366,0.077259508,0.179330844
17,HDAC8,26.67237136,27.41072845,22.66208918,22.06295776,4.01028218,4.609413596,0,0,0.87920464,2.703844023,0.709902599,0.034696144,0.027367585
18,HIVINT,23.11006828,23.8144474,21.58977707,21.9439106,1.520291215,1.166157684,1.98,1.98,3.989333333,3.19620178,0.632997587,0.028375055,0.068902712
19,KITH,40.19868329,39.67758942,39.03938689,38.18318176,1.159296398,2.015501524,0,0,0,0,0.598690371,0.021944184,1.08E-06
20,PARP1,41.45952592,41.59585953,25.51205638,25.26042175,15.94746953,16.19910417,39.63773095,29.04150584,22.79951545,14.12598554,0.923253088,0.391308576,0.530686114
21,PUR2,56.04421432,54.92002678,44.10821761,43.98044586,11.93599672,12.06376846,11.78571429,11.78571429,10,7.173913043,0.92722963,0.132616085,0.216063652
22,DPP4,30.88447032,30.9763279,23.5410157,23.38875389,7.343454615,7.495716426,17.9380863,14.23520423,12.84589132,8.515973726,0.829152322,0.11081154,0.254693459
23,FA10,65.11976019,65.43188477,45.65447343,45.81970978,19.46528676,19.30005041,49.22357927,37.88103845,25.29779344,13.10895987,0.917401165,0.51638088,0.647327361
24,LKHA4,37.4026963,36.23153687,35.43207368,35.42141724,1.970622615,1.981279061,0,0,0.291397752,1.169225906,0.580773074,0.020709813,0.010136493
25,MMP13,41.23793702,41.78538513,38.81335339,38.81479263,2.424583629,2.423144391,1.395456395,1.744320494,2.183288566,2.27242601,0.636607143,0.02554775,0.046778391
,,,,,,,,10.1866337,8.373921024,6.552444152,4.71552122,0.718631948,0.098197826,0.153980572
