,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,28.80545292,28.23897362,26.31135136,26.31877708,2.49410156,2.486675835,3.317982456,3.317982456,3.732730263,2.661389622,0.628694874,0.029590231,0.069921647
1,CP3A4,14.6558473,14.735116,13.11118083,13.42058754,1.544666477,1.235259764,4.689411765,3.517058824,3.223970588,2.352547708,0.584781632,0.022621375,0.064947142
2,AA2AR,26.65692414,26.52588558,24.32419366,24.25715637,2.332730478,2.399767765,3.315248963,2.486436722,2.486436722,2.821488479,0.670677279,0.029866589,0.059205504
3,ADRB1,26.47927155,26.37070084,25.54838035,25.4049778,0.930891204,1.074293754,2.412655571,1.213820504,1.618427339,1.537505972,0.564731074,0.019600538,0.033993363
4,CXCR4,20.3748894,20.04589844,17.90212222,17.68848228,2.472767181,2.686407113,4.776388889,2.456428571,2.492028986,2.499273256,0.688842307,0.023839905,0.053458665
5,GRIA2,22.95975663,22.49929905,22.39906786,22.13626099,0.560688773,0.823495648,1.264029536,0.632014768,0.316007384,0.632014768,0.544288276,0.014006634,0.011483473
6,GRIK1,21.3951889,21.14509392,18.75374855,18.62390137,2.641440348,2.771287531,7.734420501,4.906162258,5.437355766,4.752475248,0.678407847,0.045351567,0.117220451
7,MK10,42.74766854,43.46383286,29.69431395,29.48736858,13.05335459,13.26029996,37.87330317,28.82893226,22.58266361,11.91595867,0.900866143,0.333905656,0.496361979
8,AKT1,34.64778715,34.01429367,27.38750757,26.60121536,7.260279577,8.046571787,9.521046644,9.181009264,9.208415262,5.664852125,0.761711237,0.084156023,0.190565529
9,MK14,37.17511901,36.33877945,27.8485142,27.81525612,9.326604809,9.35986289,46.80295725,31.22994265,19.26472487,9.752694915,0.814298497,0.343704837,0.488681978
10,KIF11,33.16055221,32.84272575,28.15710996,28.35073471,5.003442245,4.809817495,15.43743842,8.57635468,8.147536946,5.332575832,0.74661366,0.082926607,0.194342529
11,XIAP,24.81710499,24.48758698,20.4375048,20.16311646,4.379600191,4.653988533,9.709259259,9.89245283,8.988,6.179961977,0.767116469,0.081687935,0.188204711
12,ESR1,34.53418113,35.41308975,28.21699322,28.21766949,6.317187906,6.316511639,19.75451941,15.93074614,11.12565445,6.332070425,0.719057941,0.131764002,0.278300607
13,MCR,35.73348849,35.68250275,31.43110132,31.79779243,4.302387177,3.935696058,4.175228992,3.190505173,4.294521249,2.571814056,0.702485293,0.039009777,0.087578084
14,THB,33.46495225,32.90747452,31.9786779,32.32085228,1.486274351,1.144099967,5.786152274,7.714869699,4.853725969,2.908383418,0.563954322,0.029480723,0.107476746
15,PPARD,36.50952121,36.83859062,29.92219655,29.94792175,6.587324669,6.561599461,18.17037037,14.9856,12.27986667,7.4928,0.792820937,0.165577071,0.3020614
16,FNTA,21.99030191,21.9333725,19.40567997,19.3762207,2.584621944,2.614081207,8.079683131,6.577342818,5.486384259,3.817347408,0.684242599,0.030663722,0.103578257
17,HDAC8,21.15508263,21.65489388,18.57445465,18.02512455,2.580627978,3.129958083,2.311982571,2.333589885,4.102954985,3.056519331,0.646032426,0.035752688,0.069825365
18,HIVINT,21.17160844,21.63557243,19.42151955,19.7113533,1.750088893,1.460255136,3.96,2.97,3.490666667,2.796676558,0.650129674,0.028465192,0.065731903
19,KITH,37.92298337,38.46766281,30.84342849,30.58378792,7.079554879,7.339195452,10.19298246,11.89181287,11.22955694,8.028719058,0.842222304,0.133098989,0.263883693
20,PARP1,31.16621558,29.76664925,18.91102773,18.41164398,12.25518786,12.7545716,35.71320313,25.11697802,17.00136281,9.522252092,0.889089126,0.27186626,0.422957963
21,PUR2,44.30729755,44.41817093,35.48357335,35.1957016,8.823724203,9.111595955,7.857142857,7.857142857,8,6.775362319,0.868077778,0.109395994,0.194244075
22,DPP4,21.62766977,21.13038445,17.20354824,16.8691082,4.424121536,4.758561574,11.21130394,8.05412871,6.001000324,4.651897542,0.756656174,0.06278024,0.135673576
23,FA10,43.95381739,42.17786789,30.02475019,29.60411644,13.92906721,14.34970095,37.01020998,26.55386519,17.39223299,9.57103036,0.825879967,0.308211923,0.462223498
24,LKHA4,28.81324527,29.05342102,27.30163164,27.65619087,1.511613626,1.157054394,1.147750328,0.579791403,0.291397752,0.350767772,0.588259457,0.020041624,0.011099432
25,MMP13,32.48747809,32.91173363,31.48696208,31.5002861,1.000516007,0.987191984,1.395456395,2.093184593,2.532614736,2.34234681,0.554714848,0.022069499,0.05065753
,,,,,,,,12.06231263,9.311082813,7.522316828,4.858489451,0.709025082,0.096132139,0.173987658
