,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,7.6489205,7.510155,7.215402752,7.239025,0.433517748,0.4098955,8.324324324,6.659459459,4.162162162,2.164324324,0.583738426,0.034245561,0.107060464
1,CP3A4,6.643407665,6.6869,6.217153967,6.21005,0.426253698,0.433357665,4.913871636,2.477582337,1.548488961,2.233578016,0.639031797,0.023395514,0.051005778
2,AA2AR,8.988269127,9.11288,7.4224702,7.52032,1.565798927,1.467949127,24.90618174,20.96270297,15.9028536,9.185404035,0.809094292,0.182550213,0.352701226
3,ADRB1,7.589000006,7.68417,6.71753372,6.83318,0.871466285,0.755820006,8.055668016,6.847317814,5.656644626,3.72422843,0.719958499,0.057911479,0.125230583
4,CXCR4,5.86244825,5.74304,5.64670179,5.67893,0.21574646,0.18351825,9.625,4.990740741,2.49537037,1.497222222,0.577683616,0.02732849,0.07451387
5,GRIA2,3.729925205,3.984235,3.64442793,3.747065,0.085497276,-0.017139795,0,0,0,1.604285714,0.571151818,0.015620563,0.007056111
6,GRIK1,5.911281546,5.89275,4.872645725,4.94177,1.038635821,0.969511546,18.18556701,16.42994761,13.86276829,8.241996744,0.851141366,0.150979598,0.298081175
7,AKT1,5.793612199,5.7251,5.133200063,5.34682,0.660412136,0.446792199,17.73676556,11.99840023,7.82504363,4.599209317,0.629511806,0.094351811,0.208683553
8,MK10,7.95806099,7.99791,6.992677575,7.107225,0.965383416,0.85083599,5.843131188,7.914505736,5.935879302,4.155115512,0.753950645,0.052451805,0.121785435
9,MK14,5.810729844,5.81577,5.477632407,5.566485,0.333097437,0.244244844,19.0878079,12.4655072,7.401394901,3.898002171,0.556595692,0.102573743,0.207279261
10,KIF11,7.19670569,7.178055,5.649721976,5.69111,1.546983714,1.50559569,42.28448276,32.98189655,21.35579937,10.14140034,0.855541795,0.468498693,0.637168912
11,XIAP,6.3284562,7.04931,3.605354909,3.66112,2.723101291,2.6673362,29.95,29.95,29.45083333,15.37433333,0.903789292,0.788166145,0.925543048
12,ESR1,9.781718433,9.78477,6.971130815,7.148985,2.810587619,2.632733433,55.44,48.46850299,32.79783784,15.39259615,0.922089864,0.67414915,0.780560898
13,MCR,8.23146675,8.059605,6.737976857,6.98732,1.493489893,1.24414675,42.85714286,21.42857143,16.07142857,6.428571429,0.778758879,0.237912451,0.356251658
14,THB,10.43523085,10.5445,8.183264763,8.39959,2.25196609,2.035640854,29.03189493,27.82223265,21.7739212,11.21516355,0.869992772,0.519769255,0.712713882
15,PPARD,8.573632905,8.73044,7.566868984,7.70869,1.006763921,0.864942905,6.685627222,7.799898426,6.685627222,5.137323272,0.715562724,0.072021229,0.166031595
16,FNTA,7.117114544,7.08574,6.906007333,6.98015,0.211107211,0.136964544,3.435064299,2.40944225,2.237339232,1.721030178,0.550007885,0.015411551,0.042899603
17,HDAC8,6.47010109,7.14808,4.83699182,4.43708,1.63310927,2.03302109,0,1.784088965,3.286479672,4.904535756,0.789240348,0.056306787,0.070845141
18,HIVINT,4.9958024,5.03092,4.735298751,4.80107,0.260503649,0.1947324,0,0.988656716,1.992180451,1.995180723,0.60434626,0.022296643,0.040164682
19,KITH,7.468208246,6.62357,5.324245233,5.401295,2.143963013,2.066913246,48.61403509,31.2518797,17.36215539,8.743531491,0.779221451,0.379588801,0.537187344
20,PARP1,8.904981284,9.19289,6.491608382,6.497795,2.413372902,2.407186284,53.25425771,47.758055,31.76857403,15.2320845,0.925551903,0.607314368,0.73192611
21,PUR2,11.0517718,11.78295,5.802280466,5.854045,5.249491334,5.1977268,49.16,49.16,38.3448,18.78471545,0.989700997,0.880515278,0.924521346
22,DPP4,5.844444207,5.75522,5.172362591,5.19442,0.672081616,0.650024207,8.407614275,7.26112142,6.210169635,4.664702163,0.740606635,0.042222747,0.1253539
23,FA10,8.392253971,8.56467,6.764280292,6.823715,1.627973679,1.568538971,32.15609487,26.72697905,17.55221288,9.51840088,0.795849773,0.353624174,0.537896959
24,LKHA4,9.537718138,9.51484,7.205450974,7.415305,2.332267163,2.122413138,25.41600985,17.7060815,14.43226827,9.639198783,0.873622581,0.31302873,0.459522304
25,MMP13,7.011500367,6.91344,5.842139431,5.92035,1.169360935,1.091150367,20.01783675,13.85850237,9.930161454,6.408361146,0.703347905,0.132889624,0.267392576
,,,,,,,,21.66878377,17.6193105,12.92470748,7.177095986,0.749580347,0.242504785,0.3411299
