,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,9.265958333,9.4215,8.6685509,8.825,0.597407434,0.440958333,1.659210526,2.488815789,3.733223684,3.327176781,0.628406191,0.030728181,0.067818134
1,CP3A4,8.933052941,8.9875,8.578467107,8.663,0.354585834,0.270052941,2.34627451,1.173137255,1.466421569,0.940076598,0.582399816,0.018469059,0.029456025
2,AA2AR,9.044070539,9.048,8.635877453,8.698,0.408193087,0.346070539,1.658713693,1.658713693,1.866052905,2.199170124,0.605947055,0.021570682,0.041998297
3,ADRB1,9.700004049,9.775,9.060818899,9.096,0.639185149,0.604004049,0.804168541,1.213745065,1.618326753,1.941992104,0.666028831,0.026545506,0.035380598
4,CXCR4,7.525575,7.927,8.0042064,7.998,-0.4786314,-0.472425,0,0,0,0.497976879,0.42526791,0.009339863,0.001459404
5,GRIA2,5.731348101,5.745,5.462268002,5.46,0.269080099,0.271348101,2.529535865,1.897151899,1.897151899,2.150105485,0.622063317,0.021032674,0.038153013
6,GRIK1,7.232346535,7.291,6.898453032,6.812,0.333893503,0.420346535,3.87186954,2.947243978,1.979602472,1.976630095,0.589669972,0.025362663,0.055649967
7,AKT1,9.313812287,9.615,8.675508949,8.78,0.638303337,0.533812287,6.793027791,4.415468064,3.747318017,3.071488642,0.667398393,0.043203025,0.091479605
8,MK10,9.289211538,9.28,8.478387634,8.586,0.810823904,0.703211538,3.791289593,2.843467195,3.819373219,3.836423993,0.717593429,0.039298569,0.085436868
9,MK14,8.688282007,8.6875,7.94347699,7.972,0.744805017,0.716282007,6.226320392,6.226320392,4.929170311,3.701201567,0.737764963,0.04550872,0.108735165
10,KIF11,9.384198276,9.4785,7.980845794,7.9615,1.403352481,1.422698276,12.00689655,17.15270936,12.86453202,8.772947337,0.860122135,0.142010986,0.289298424
11,XIAP,6.12053,6.0565,6.254093489,6.273,-0.133563489,-0.15247,0,0.989622642,1.498571429,2.193726236,0.45271137,0.02092739,0.035999934
12,ESR1,9.502660574,9.472,8.12022354,8.095,1.382437035,1.407660574,20.73599685,15.62570379,10.05030916,6.053414464,0.797208567,0.158425951,0.275367673
13,MCR,4.644882979,5.2755,4.584162262,5.9105,0.060720717,-1.265617021,12.38770686,6.310718587,3.716312057,2.127659574,0.497977152,0.075387561,0.121460701
14,THB,10.62966019,10.695,8.104410026,8.756,2.525250169,1.873660194,36.62135922,29.87531937,16.97678904,8.525607438,0.813490722,0.243554397,0.39858437
15,PPARD,9.996904167,9.9625,8.916979792,8.952,1.079924374,1.044904167,1.648544974,0.830866667,1.2463,2.746254006,0.772891441,0.044045617,0.041393642
16,FNTA,8.803787162,8.7465,8.785217908,8.7945,0.018569254,0.009287162,0.673371648,1.180662188,1.18179635,0.776758263,0.500686728,0.011249727,0.018411584
17,HDAC8,7.369070588,7.5015,6.524238515,6.5405,0.844832074,0.828570588,24.28954248,16.92809236,12.90229218,8.586617924,0.751661168,0.151618318,0.311946605
18,HIVINT,7.17861,7.204,6.666518513,6.7285,0.512091487,0.45011,5.950588235,4.958823529,2.497777778,1.995266272,0.683891481,0.028507749,0.069711543
19,KITH,8.635438596,8.956,7.433777544,7.446,1.201661053,1.189438596,40.8,30.6,17.28813559,9.431506849,0.765047707,0.287890245,0.489156948
20,PARP1,9.992885827,10.036,8.353417413,8.323,1.639468414,1.669885827,13.75385981,11.7890227,10.52908295,6.098967566,0.806715361,0.091773439,0.22181685
21,PUR2,8.7126,8.7205,7.730431329,7.817,0.982168671,0.8956,0,1.96,1.995636364,3.976811594,0.834498886,0.058144891,0.057189206
22,DPP4,8.471547842,8.507,8.038311475,8.053,0.433236367,0.418547842,1.495453889,0.93691087,1.219453353,1.275428112,0.614865303,0.017521754,0.022680462
23,FA10,9.956113594,9.904,8.694465615,8.733,1.261647979,1.223113594,20.07267994,14.31107736,10.96563071,6.592178771,0.800845601,0.20392214,0.346672359
24,LKHA4,10.60154971,10.83,8.243349915,8.26,2.358199792,2.341549708,11.4798902,12.75806354,12.53270915,10.64216848,0.888291591,0.167493149,0.288867123
25,MMP13,9.158816434,9.288,8.759007192,8.814,0.399809242,0.344816434,4.184482184,3.671133906,3.059278255,3.216612565,0.611009889,0.02924806,0.073313858
,,,,,,,,9.068491665,7.490107315,5.599278739,4.102083374,0.680555961,0.077414628,0.139132244
