,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,6.645565254,6.8164062,6.391006802,6.5195312,0.254558451,0.126034054,3.342326404,3.342326404,2.088954003,2.520008003,0.618331145,0.027253805,0.057511453
1,CP3A4,6.721197149,6.9296875,6.419653107,6.6132812,0.301544042,0.107915949,4.689019608,3.516764706,2.930637255,2.822821169,0.616566107,0.026986209,0.068128542
2,AA2AR,7.139077088,7.1738281,6.550710928,6.625,0.58836616,0.514077088,9.11436722,7.042920124,5.601659751,4.894733562,0.782055847,0.054853105,0.132350697
3,ADRB1,6.76417004,6.78125,6.504453668,6.5664062,0.259716372,0.19776384,2.409206778,2.020142329,1.616113863,1.537217757,0.638049515,0.024636024,0.04104629
4,CXCR4,6.83300782,7.046875,6.407922467,6.4765625,0.425085353,0.35644532,0,0,3.742391304,4.477890173,0.723538055,0.033649634,0.053468383
5,GRIA2,4.674928304,4.6015625,4.607292306,4.5820312,0.067635998,0.092897104,0,1.261708861,1.261708861,0.884670654,0.526914419,0.013420864,0.020141615
6,GRIK1,6.555344991,6.625,6.145668281,6.1875,0.40967671,0.367844991,0,0.980789124,2.470408695,1.979303352,0.70765721,0.029006455,0.037782948
7,MK10,7.202824521,7.24414065,6.840491631,6.9296875,0.36233289,0.273137021,5.679298643,5.764064294,5.764064294,4.034845006,0.685640393,0.040642771,0.111879346
8,AKT1,6.891918199,6.9804688,6.481821912,6.5039062,0.410096287,0.388011999,4.070453437,3.412356175,4.265445219,3.480603299,0.69586218,0.041635034,0.086547499
9,MK14,7.204550986,7.34570315,6.797690521,6.84375,0.406860465,0.360800986,12.4416898,9.504068596,7.776056124,4.98215081,0.671812563,0.070826468,0.178069294
10,KIF11,6.70586948,6.8574219,5.923791857,5.9804688,0.782077624,0.72540068,22.26970443,17.98706897,15.41748768,8.269916766,0.802804403,0.162956537,0.33693982
11,XIAP,6.45863281,6.46484375,6.158920095,6.1992188,0.299712715,0.25941401,3.877777778,3.950943396,4.487142857,2.797328244,0.653623174,0.039002866,0.09258218
12,ESR1,7.300271297,7.4296875,6.133110143,6.1484375,1.167161154,1.151833797,48.16766836,41.37073243,30.38451902,15.02987223,0.913278085,0.586464778,0.718761317
13,MCR,7.075922547,7.04296875,6.590625,6.5976562,0.485297547,0.478266347,14.4357762,10.50582096,7.954407295,4.675491311,0.705579932,0.073197197,0.196146149
14,THB,7.549946902,7.6445312,6.596971099,6.6328125,0.952975802,0.917134402,22.31067961,20.37062051,18.91557619,12.41637822,0.90793728,0.625443958,0.830433931
15,PPARD,6.911523439,6.8886719,6.39883126,6.40625,0.512692179,0.505273439,4.941269841,5.810933333,5.395866667,5.329909042,0.813267858,0.069072802,0.122608067
16,FNTA,7.707394162,7.71875,7.594937599,7.625,0.112456563,0.082394162,2.363318607,2.194510135,1.688084719,1.553635494,0.597998521,0.015830036,0.03431433
17,HDAC8,7.202389707,7.2617188,6.842854545,6.8789062,0.359535162,0.323483507,2.311328976,2.332930181,2.343882905,2.585554448,0.724052901,0.034616553,0.055017423
18,HIVINT,4.990648676,4.96875,5.011417003,5.0351562,-0.020768327,-0.044507524,0,0,0.504302282,1.414141414,0.489206932,0.014307726,0.012298118
19,KITH,6.140076749,6.1835938,5.886482672,5.9257812,0.253594078,0.214295549,3.395321637,5.092982456,2.589652096,2.093006489,0.607060078,0.031661912,0.07316881
20,PARP1,7.12448379,7.1875,6.542657755,6.609375,0.581826035,0.51510879,7.867373116,7.080635805,6.107193239,4.535597313,0.76996334,0.057932445,0.135631768
21,PUR2,6.8878125,6.87109375,6.122899647,6.1679688,0.764912853,0.7198437,0,1.959285714,2.992363636,5.167971014,0.889279614,0.07959449,0.065991479
22,DPP4,7.591756567,7.6484375,7.0736683,7.125,0.518088267,0.466756567,16.88473774,14.63343938,10.69366724,7.016546573,0.749564082,0.083566775,0.225517226
23,FA10,7.840900479,7.88085935,7.036162991,7.1289062,0.804737488,0.711994279,23.06020867,17.2951565,14.16806479,8.504977547,0.859903341,0.272273494,0.431077453
24,LKHA4,7.1931296,7.2441406,6.718271236,6.7617188,0.474858364,0.4314108,3.460984394,5.827774409,5.857970131,4.465941054,0.76503583,0.059389692,0.118015529
25,MMP13,7.824423623,7.8515625,7.533352741,7.5742188,0.291070881,0.250204823,19.84887335,15.88630335,10.92541257,6.291366626,0.727266809,0.106304464,0.249586846
,,,,,,,,9.113130177,8.044010698,6.843962796,4.760072214,0.717009601,0.102866388,0.172500635
