,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,609.4863725,618.8345658,576.0593318,581.1227656,33.42704069,28.36360695,1.671163202,1.671163202,2.506744803,2.184006936,0.6509645,0.029247365,0.046529819
1,CP3A4,611.2999442,624.8155208,571.9706854,579.5572593,39.32925887,31.74268494,15.23931373,11.72254902,7.033529412,4.587084399,0.649833565,0.057335312,0.175894062
2,AA2AR,738.7050359,726.6684357,622.4234214,629.2126143,116.2816145,109.4924216,33.14315353,24.85736515,15.87136929,8.130235408,0.794116542,0.212936695,0.375816323
3,ADRB1,738.1744535,739.6013135,685.6245257,690.2908909,52.54992786,47.88356266,8.030689259,6.060426987,4.444313124,3.802591295,0.741890294,0.044015014,0.105827878
4,CXCR4,598.653469,594.0240269,566.915818,568.8677386,31.73765093,29.78573037,4.781944444,2.459285714,1.247463768,0.497543353,0.653151631,0.016075999,0.025769218
5,GRIA2,405.5894354,396.2932534,382.0708532,378.528089,23.51858219,27.06134639,3.785126582,1.892563291,2.523417722,1.642959785,0.615292508,0.019775007,0.039403458
6,GRIK1,620.9656145,624.5537146,510.1316533,506.0100298,110.8339612,114.9555847,7.730926034,10.78868036,11.36388,8.906865084,0.837689506,0.104383504,0.225423001
7,MK10,1078.502518,1027.530208,816.7748454,782.7877856,261.727673,295.7147328,32.18269231,20.17422503,13.44948335,7.877554535,0.777134645,0.187340938,0.34118312
8,AKT1,997.6318412,957.8912392,730.4618839,697.0474383,267.1699573,300.5844029,16.28181375,12.28448223,8.872126055,7.643677832,0.868132346,0.162361279,0.240900963
9,MK14,1053.002995,1030.86742,861.3236223,853.8747393,191.6793726,199.1282556,36.28826191,27.30259706,18.23053158,9.099344883,0.764576141,0.266656932,0.429497386
10,KIF11,865.3713525,875.7576055,696.6677787,693.849801,168.7035738,171.5215515,58.24384236,38.54371921,25.26754926,11.37113555,0.88461839,0.487191474,0.616601395
11,XIAP,558.8280993,556.9711389,474.8135353,469.8242418,84.01456394,89.00385749,15.51111111,10.86509434,11.96571429,8.591793893,0.811883155,0.158397806,0.278841055
12,ESR1,1015.549434,963.9839883,761.9646661,758.5704086,253.584768,256.9790255,47.64973644,31.74358086,20.47368878,10.59397244,0.868003423,0.406109814,0.546749077
13,MCR,909.8848306,857.0118231,765.9065084,759.1464397,143.9783222,150.7383909,24.74704492,13.65756724,9.545288754,6.588192301,0.786455832,0.169612597,0.276359424
14,THB,1022.488697,1025.539857,912.792935,918.1074045,109.6957618,104.3812923,7.436893204,6.790206838,6.790206838,6.0141832,0.744857023,0.181860115,0.323071151
15,PPARD,1012.753468,1013.186723,809.5520548,809.8738311,203.2014132,202.8796368,32.94179894,33.6204,26.35673333,14.57397004,0.953919642,0.476530857,0.621249157
16,FNTA,718.536547,716.6040486,678.9227812,679.7362317,39.61376578,38.80031528,6.414721933,5.908296518,4.473424506,3.276144411,0.687788557,0.029233794,0.088587828
17,HDAC8,909.4141476,918.5935679,662.6318174,648.2819111,246.7823302,261.1322364,30.04727669,25.07899945,20.21599006,13.63292345,0.942526048,0.303549127,0.44966997
18,HIVINT,573.1948476,569.6152655,529.0431954,532.4259768,44.15165219,40.7688708,6.007130125,8.009506833,5.547325103,3.434343434,0.716218046,0.041119553,0.117463631
19,KITH,648.0230165,654.0254996,553.0904176,555.3943259,94.93259882,92.62869059,40.74385965,30.55789474,20.71721677,10.81386686,0.824468938,0.332818779,0.542157005
20,PARP1,1464.881214,1487.059886,743.0195424,699.4435811,721.8616711,765.4376324,53.10476853,47.00755437,36.34765008,18.37902911,0.982825704,0.696897283,0.789842787
21,PUR2,1201.29207,1241.245172,696.6046747,678.2688539,504.6873953,523.0232162,54.86,54.86,41.89309091,18.6842029,0.988971407,0.877400585,0.920035555
22,DPP4,840.9622695,826.5880864,725.3192,722.9629178,115.6430695,117.9993516,24.76428202,17.82277873,12.28833691,6.866460016,0.730959649,0.132329198,0.268967107
23,FA10,1408.513859,1440.628013,929.8473998,904.7766241,478.666459,503.7372347,36.0780684,30.49898565,21.34530813,11.41457513,0.853932968,0.473981277,0.647855341
24,LKHA4,936.86445,962.025865,751.3465354,754.3715595,185.5179146,182.4928906,29.99519808,22.14554275,16.10941786,10.57722881,0.867402168,0.257252989,0.402361541
25,MMP13,1157.359931,1161.579121,896.2035254,895.8728247,261.1564057,261.4871064,49.44807045,35.43867671,23.33668125,11.84874048,0.854723458,0.40575919,0.550852912
,,,,,,,,26.04341875,20.45239009,14.93140315,8.501254828,0.802012926,0.25116048,0.363342699
