,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,32.00397568,32.0016098,29.25981825,29.39878464,2.744157428,2.60519104,9.953947368,4.976973684,4.14747807,2.328715919,0.612519588,0.034403695,0.101557065
1,CP3A4,18.0004439,17.98885441,15.35357512,15.72197962,2.646868782,2.278464281,12.89588235,9.965,6.741029412,3.764076333,0.611200822,0.050883873,0.158697313
2,AA2AR,30.69017449,31.10796642,27.9205062,28.03194046,2.769668294,2.65823403,0.41440612,2.072030602,2.175632132,2.697011046,0.676662879,0.027829773,0.045005255
3,ADRB1,32.66797513,32.89761734,29.14536205,29.1185894,3.522613078,3.549385727,4.825311141,2.832247844,3.236854679,3.317776045,0.712036964,0.036136321,0.074271367
4,CXCR4,21.55687945,21.67343712,19.37232219,19.13353157,2.18455726,2.423347878,0,2.456428571,2.492028986,1.499563953,0.666070903,0.018718396,0.031945009
5,GRIA2,26.77233732,26.53915977,26.01139108,25.64432144,0.760946244,1.12801588,1.264029536,1.264029536,0.948022152,0.758417722,0.546614928,0.014372211,0.020745844
6,GRIK1,23.28243377,23.57688332,20.87009354,20.72337532,2.412340229,2.559058454,1.933605125,0.981232452,1.482915209,2.376237624,0.691238706,0.030807783,0.037426504
7,MK10,46.27183219,46.31039619,35.28088006,35.72496796,10.99095213,10.54686423,24.61764706,20.18025258,15.37543054,9.225258324,0.860553585,0.203528208,0.336645604
8,AKT1,43.54840669,43.94149399,33.33695056,32.86500549,10.21145612,10.68340119,9.521046644,8.500934503,8.014731802,6.279113199,0.833728314,0.102179726,0.187925494
9,MK14,43.98071954,44.34865952,33.17271737,33.45194626,10.80800217,10.52877328,44.7381209,31.92010712,21.33805849,11.48189614,0.884171233,0.367356246,0.515598232
10,KIF11,37.10287689,37.97237206,32.92267188,33.39248657,4.180205018,3.710390321,12.00689655,6.861083744,5.574630542,4.300464381,0.718800984,0.061332227,0.136906723
11,XIAP,30.45433842,29.99918652,24.64633915,24.1275444,5.807999267,6.326794014,0,0,0.998666667,5.781254753,0.864280576,0.078066231,0.044705274
12,ESR1,38.43804836,41.96028709,31.33682309,32.23155594,7.101225274,6.206492422,15.07581745,13.05798864,10.60209424,7.431024796,0.723332197,0.118351356,0.25594467
13,MCR,39.93669311,39.00785065,34.65098638,35.24149704,5.285706733,4.69519607,6.262843489,6.381010347,4.831336406,5.35794595,0.70606465,0.067214715,0.136159636
14,THB,36.79095739,37.11729431,35.86675053,36.49274063,0.924206858,0.298216755,0,0,0.485372597,0.969461139,0.544589002,0.015332563,0.014561501
15,PPARD,43.42816187,42.75239182,34.57979971,34.83344078,8.848362158,8.594721087,26.42962963,21.2296,14.15306667,8.158826667,0.868523092,0.218837797,0.372663718
16,FNTA,27.91023569,27.79367065,23.50623673,23.63587379,4.40399896,4.274361891,21.54582168,16.35903214,12.91410449,7.161749119,0.774875015,0.099047636,0.247761197
17,HDAC8,26.35056093,27.50621796,20.86756534,20.19399548,5.482995592,6.156565459,1.155991285,4.083782298,3.809886772,4.702337432,0.771197765,0.05501151,0.080316826
18,HIVINT,23.41929743,24.35927868,21.39303566,21.83088398,2.026261764,1.588413448,3.96,1.98,3.989333333,3.395964392,0.661917973,0.036121283,0.074351879
19,KITH,41.20514224,41.28101349,35.35033981,35.22322845,5.854802426,5.981913784,0,0,0,3.141672675,0.813029765,0.055772894,0.026010899
20,PARP1,41.04795503,41.72076225,24.33182529,23.97898483,16.71612974,17.06897019,42.38490042,35.12452396,24.17534827,14.04728924,0.914518299,0.428726023,0.577302632
21,PUR2,56.27929504,55.88528061,41.39394595,41.15262032,14.88534909,15.12667473,31.42857143,19.64285714,17,13.15217391,0.964874074,0.304775532,0.442874321
22,DPP4,29.75615266,29.52153206,21.6395388,21.39475918,8.116613861,8.361393479,23.17002814,19.47975316,15.84639148,8.891126754,0.828358557,0.141511214,0.3097644
23,FA10,64.81052978,65.11591339,43.36213227,43.22725677,21.44839751,21.583273,48.48337507,37.50965572,26.13485278,13.14620123,0.92416838,0.527674769,0.658235469
24,LKHA4,33.32232353,32.62937164,31.72991537,31.97247887,1.592408159,1.349844665,0,0.579791403,0.291397752,0.935380725,0.574644052,0.020202664,0.008971429
25,MMP13,38.81232837,39.43108368,36.07773941,36.16641235,2.734588958,2.645916018,3.488640989,3.488640989,2.794609364,2.656990411,0.659440696,0.02959338,0.06242459
,,,,,,,,13.29063509,10.42026755,8.059741263,5.652228073,0.746438961,0.120914924,0.190722033
