,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,11.33921335,11.58807755,11.57711352,11.57782078,-0.237900175,-0.23860743,0,0,0.271717809,0.983226297,0.489455586,0.023239047,0.011072582
1,CP3A4,10.44875037,11.14148712,10.92231156,11.21164751,-0.473561194,-0.762897141,1.093308451,0.546654226,0.686084251,0.880326285,0.437629839,0.026265281,0.021478174
2,AA2AR,8.921934865,9.211151123,7.462679043,7.702308416,1.459255821,1.219626448,5.907654747,4.726123797,3.845802559,3.197886014,0.671793003,0.055210434,0.117392558
3,ADRB1,9.494561972,9.10680294,9.888690113,9.523390293,-0.39412814,-0.028828321,0,0,0.21788933,0.305602391,0.449209059,0.024215283,0.00706448
4,CXCR4,6.988750505,6.907489061,6.042869529,5.792301178,0.945880975,1.196449327,6.440801457,3.220400729,1.632879243,1.964990275,0.674432424,0.053601206,0.089381851
5,GRIA2,10.24637453,10.42058754,9.730318359,9.338659286,0.51605617,0.907715242,5.368958401,6.040078201,4.530058651,2.356520981,0.528608641,0.040402848,0.121924349
6,GRIK1,14.03865993,14.98842764,12.86770594,13.89547253,1.170953991,0.143187407,2.619582043,1.309791022,0.982343266,2.23321301,0.631517304,0.034213592,0.045821678
7,AKT1,10.66031075,10.69488907,9.978230796,10.00446129,0.682079956,0.655849464,2.363927131,2.363927131,3.900479766,6.382603254,0.871067401,0.11922083,0.12428682
8,MK10,13.44735356,13.23769236,12.67731995,12.50836563,0.770033615,0.938987932,0,1.612903226,3.225806452,1.935483871,0.745124535,0.053298988,0.063928037
9,MK14,11.00221735,11.00340462,10.80812406,10.79046249,0.194093293,0.211754859,3.710581222,3.274042255,2.73202098,2.381684628,0.694133708,0.049273748,0.079477373
10,KIF11,10.2337811,10.17879677,10.51758939,10.43711853,-0.28380829,-0.203337427,0,0,0,0.101365996,0.384489859,0.020217702,0.000508982
11,XIAP,9.515658929,9.659938812,7.728469516,7.947736263,1.787189413,1.567922666,32.208441,28.37410278,19.35086575,9.116568321,0.761989629,0.340833202,0.551439323
12,ESR1,9.55544945,9.076993942,9.752473101,9.069404602,-0.197023651,0.486044848,0.316690295,0.318163273,0.239178684,0.286880677,0.511120414,0.026743563,0.00894789
13,MCR,11.46047152,11.39220142,11.3247207,11.37757778,0.135750828,0.082893742,2.010732791,2.047291569,2.582592575,1.655897592,0.557401218,0.045200279,0.075104055
14,THB,11.3622112,11.52822685,10.83968162,11.19732189,0.522529587,0.164889313,1.163839286,1.767857143,1.186078253,0.831313776,0.601843037,0.026456358,0.031500869
15,PPARD,8.655573189,8.303379059,8.834647493,8.334300041,-0.179074304,0.321273148,0,0,0.866133661,1.041666667,0.490176382,0.019766237,0.019642311
16,FNTA,13.94711762,13.84590101,13.75652559,13.74270058,0.190592024,0.204417041,0.708442089,0.885552611,0.856830502,0.933476118,0.551491191,0.034534866,0.028717348
17,HDAC8,13.95727696,13.91837883,14.11892616,14.2237525,-0.161649192,-0.266475535,3.402342513,2.551756885,3.418167362,2.134369142,0.459373054,0.025043514,0.074043702
18,HIVINT,6.542244837,6.399353981,6.197385162,6.027101517,0.344859675,0.51514332,0.943398781,0.943398781,1.179248477,0.756881544,0.583350169,0.045187019,0.034568688
19,KITH,9.868665641,10.59029961,8.507246151,7.747745991,1.36141949,2.12091965,3.028282828,10.5989899,13.62727273,8.630606061,0.662802132,0.249587691,0.464252514
20,PARP1,11.98273739,11.66616058,12.24276063,11.8108263,-0.260023247,0.171911085,0.538582487,0.942519352,0.875196541,0.754499135,0.40794095,0.018804919,0.022828605
21,PUR2,6.999745943,6.98243618,7.691230095,7.181824684,-0.691484152,-0.182078741,0,0,0,0,0.315945045,0.046719097,1.78E-12
22,DPP4,4.32693524,4.227763176,4.28351176,4.227763176,0.043423479,0.099172064,1.292959487,1.296001745,1.712573734,1.834643476,0.522679955,0.036770912,0.048730574
23,FA10,5.398343184,4.842069149,5.906111469,5.231719494,-0.507768286,0.16662369,0,0.251446389,0.252038027,0.328112653,0.415725309,0.029431074,0.00865932
24,LKHA4,12.09365076,12.31696081,11.72515986,11.79632187,0.368490906,0.297328894,0.81306457,1.219596855,2.04308533,2.61783418,0.626517695,0.044235599,0.053080638
25,MMP13,4.370962793,4.227763176,4.333400093,4.227763176,0.037562699,0.143199617,0.383842554,0.769648498,1.348609436,1.232698669,0.541026983,0.033484015,0.034329498
,,,,,,,,2.858285851,2.886932553,2.752421283,2.110705808,0.561032482,0.058536819,0.082237778
