,Target Name,Active Mean,Active Median,Decoy Mean,Decoy Median,Delta Mean,Delta Median,EF_0.5%,EF_1%,EF_2%,EF_5%,ROC_AUC Score,ROC_PR Score,BEDROC_score
0,CP2C9,270.8951898,271.1062938,267.2569469,267.6777428,3.63824285,3.217447022,1.65877193,1.65877193,1.244078947,0.831574318,0.535000224,0.016984674,0.02568498
1,CP3A4,259.6225325,258.460999,244.6245787,256.0734374,14.99795377,3.549095063,5.863235294,3.517941176,2.931617647,2.81905136,0.560841519,0.022448216,0.068570947
2,AA2AR,369.565423,361.0120383,324.5496261,324.363555,45.01579693,45.20186798,40.18984699,26.93134077,16.4695507,7.716151933,0.739855279,0.239038662,0.403380913
3,ADRB1,378.4576465,375.6468246,358.939243,354.9147677,19.51840343,23.54287876,6.432548608,5.25890814,3.033985465,2.103563256,0.564482374,0.029630178,0.079359968
4,CXCR4,215.8404166,216.169623,187.1005886,187.7407547,28.73982793,28.09966191,43.0625,27.06785714,17.47463768,7.965317919,0.774566814,0.249237667,0.389455652
5,GRIA2,395.8697713,407.0569551,335.6804761,335.7378712,60.18929527,60.13190012,12.6371308,13.26898734,9.477848101,6.708860759,0.719983554,0.06882818,0.191729808
6,GRIK1,366.1107637,366.6076261,262.8338385,262.0051708,103.2769252,104.1055929,50.2813046,38.27382888,24.71897566,11.84729284,0.907281921,0.441132435,0.57935408
7,AKT1,493.497364,483.3901981,389.339556,382.0369117,104.157808,111.4604523,17.65764668,14.26194539,11.5798482,7.028614236,0.78243121,0.121827551,0.26584789
8,MK10,704.8167063,712.8656164,470.6835745,462.7155045,234.1331317,242.1012018,45.45475113,35.56099311,24.02769805,11.91773823,0.861508126,0.396232232,0.555290831
9,MK14,563.22056,558.4681879,456.4743595,464.3917584,106.7462005,98.82880158,27.65200198,17.97380129,12.01133836,6.985968944,0.741194882,0.167075387,0.305642995
10,KIF11,577.7445735,575.0456989,426.5446197,420.9670241,151.1999538,156.7775494,30.86600985,23.14950739,15.43300493,9.458304515,0.816152397,0.244977603,0.396428588
11,XIAP,440.5315291,444.5270505,322.4388109,321.9622367,118.0927182,118.5692924,52.44,40.56679245,25.47085714,13.15984791,0.911992613,0.546943937,0.676746404
12,ESR1,530.2763472,516.875916,399.6064137,392.9234274,130.6699335,137.3529198,37.39938753,27.921528,17.39431794,8.792885155,0.776610085,0.293244772,0.45788198
13,MCR,680.6034482,677.8174582,550.0695156,551.9420323,130.5339326,128.661416,22.94185583,20.18725908,15.01648746,8.812156283,0.802444439,0.208551848,0.367407809
14,THB,650.5002271,673.3149125,496.4861424,501.9947226,154.0140847,148.5055045,48.14767501,36.59223301,25.20259757,13.20038114,0.8699225,0.403543612,0.552326212
15,PPARD,585.7445269,583.1306847,483.0395377,479.4332832,102.7049893,106.3112438,8.240740741,6.645333333,8.099,6.083333333,0.847599905,0.103426234,0.18397121
16,FNTA,364.5252099,374.3531895,344.3162542,350.7878997,20.20895575,13.7373102,2.704828843,3.719139659,3.042932448,2.571565528,0.606028402,0.019173624,0.057707318
17,HDAC8,342.6898431,347.7620198,308.284452,311.3677081,34.40539111,31.32213496,10.40784314,9.921495327,7.915824358,6.468151102,0.743383338,0.07484545,0.185295278
18,HIVINT,305.5759114,304.8157911,278.0727792,277.3434988,27.50313221,28.23241263,3.966470588,2.974852941,1.997925926,2.992455621,0.664183351,0.028194179,0.057395941
19,KITH,466.0540727,507.1893947,411.6874501,415.0689946,54.36662265,50.98507806,34,27.2,16.42372881,9.780821918,0.701988304,0.255384727,0.457008137
20,PARP1,544.0572633,554.0197471,359.1064024,371.9478125,184.9508608,172.1094508,49.4814729,34.55848901,21.53606776,10.46661149,0.814919837,0.400007153,0.545072511
21,PUR2,669.9943408,666.5472285,483.3538234,480.7388927,186.6405174,189.2554481,27.44,23.52,17.96072727,11.93043478,0.95250928,0.313770352,0.45337536
22,DPP4,484.913332,489.9505874,342.4139866,343.4588236,142.4993453,141.4545084,40.80801764,29.64772171,18.88095087,9.62127326,0.806277587,0.268395625,0.420376866
23,FA10,848.0684373,854.6219765,529.2282753,533.304219,318.840162,314.7642183,38.26815642,36.96778218,30.16759777,15.56039823,0.960777543,0.72791264,0.836764796
24,LKHA4,623.5841005,636.5723488,545.3800587,552.2939198,78.20404171,71.29018067,1.147511636,2.898354133,2.622034361,2.68866032,0.712653351,0.038597287,0.060881631
25,MMP13,511.6771683,498.3455154,403.2822754,402.8499616,108.3948929,108.8272067,46.69325119,29.17334588,17.64376009,8.878997595,0.813511787,0.316726131,0.450554389
,,,,,,,,27.148,20.747,14.145,7.938,0.769,0.231,0.347
